phrase,count,sample_file,sample_key,sample_translation,sample_source
talk,348,mistral_translate_work\split_by_prompt\json\quest\lang_multi_text\lang_multi_text__quest__part_0001.json,Quest_139900000_InteractContent_139_1,Talk,Talk
to,333,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0016.json,Guide_BWHC_1_4,"Đừng lo! Chuyện nhỏ thôi mà, thật đấy. Chắc chắn không to tát bằng việc lao vào mấy cái token đó đâu.","No worries at all! It’s no biggie, really. Well, not as huge as diving into those tokens, that’s for sure."
test,315,mistral_translate_work\split_by_prompt\json\ui\lang_generic_tips\lang_generic_tips__ui__part_0001.json,137,"Không thể thanh toán trong bài test này, không thể mua hàng.","Payment is unavailabie in this test, cannot purchase."
skill,303,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0002.json,PrefabTextItem_4197251610_Text,Skill,Skill
resonance energy,299,mistral_translate_work\split_by_prompt\json\ui\lang_advice\lang_advice__ui__part_0001.json,3,Resonance Energy,Resonance energy
buff,289,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0003.json,PrefabTextItem_1511603652_Text,Thay đổi Buff,Buff Change
concerto energy,256,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8151_MonsterTips,"Breath Alloy:
Concerto Energy của Resonators <color=Wind>Aero</color> và <color=Light>Spectro</color> được phục hồi tự động
Khi Resonators <color=Wind>Aero</color> sử dụng Intro Skill, một cơn lốc sẽ được triệu hồi.
Khi Resonators <color=Light>Spectro</color> sử dụng Intro Skill, gây <color=Light>Spectro DMG</color> và đánh dấu kẻ địch trong phạm vi nhất định. Một vụ nổ sẽ được kích hoạt khi kẻ địch bị đánh dấu nhận sát thương, gây thêm sát thương.","Breath Alloy:
Concerto Energy of <color=Wind>Aero</color> and <color=Light>Spectro</color> Resonators is automatically restored
When <color=Wind>Aero</color> Resonators cast Intro Skills, a whirlwind will be summoned.
When <color=Light>Spectro</color> Resonators cast Intro Skills, deal <color=Light>Spectro DMG</color> to and mark the enemies within"
outro skill,250,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0012.json,InstanceDungeon_301010_MonsterTips,DMG của Outro Skill tăng 100%.,Outro Skill DMG increased by 100%.
weapon,241,mistral_translate_work\split_by_prompt\json\ui\lang_guide_new\lang_guide_new__ui__part_0001.json,30,"Hướng dẫn Chuyển Weapon.
Chạm {0} để mở trang Resonator.","Weapon Switching Guide.
Tap {0} to open Resonator page."
challenge,240,mistral_translate_work\split_by_prompt\json\ui\lang_generic_tips\lang_generic_tips__ui__part_0001.json,61,Hoàn thành Challenge. Bạn có thể rời khỏi bằng cách tương tác với lối ra.,Challenge Complete. You can exit the challenge by interact with the exit.
unlocked di,188,mistral_translate_work\split_by_prompt\json\item\lang_phantom\lang_phantom__item__part_0001.json,4,Unlocked Di Vật Wutrelic.,Wutrelic Unlocked.
basic attack stage,187,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_9703_DungeonTask_1,Chụp ảnh Jinhsi thực hiện Basic Attack Stage 4,Photo of Jinhsi performing Basic Attack Stage 4
return,162,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0004.json,PrefabTextItem_LeaveHazardZone_Text,Return,Return
forte circuit,134,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0017.json,GuideFocusNew_1520_Content,"Khi <color=Highlight>Full Stop</color> đầy, giữ <color=Highlight>Resonance Skill</color> để thực hiện <color=Highlight>Forte Circuit - Learn My True Name.</color>","When <color=Highlight>Full Stop</color> is full, hold <color=Highlight>Resonance Skill</color> to perform <color=Highlight>Forte Circuit - Learn My True Name.</color>"
enter,117,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0001.json,PrefabTextItem_543965728_Text,Enter đây,Enter here
resonance energy cho,113,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8303_MonsterTips,"Mô phỏng: Tất cả kẻ địch có 0 RES trong sự kiện Tactical Simulacra.
Dồi dào: Phục hồi toàn bộ Resonance Energy khi vào chiến đấu.
Bùng nổ: Phục hồi 50 Resonance Energy khi đánh bại kẻ địch.
Xoáy: Phục hồi 20 Resonance Energy cho bản thân sau khi Dodge thành công. Có thể kích hoạt 1 lần mỗi 5 giây.","Simulation: All enemies have 0 RES during the Tactical Simulacra event.
Abundance: Recover all Resonance Energy when entering combat.
Surge: Recover 50 Resonance Energy when defeating an enemy.
Whirl: Recover 20 Resonance Energy to self after dodging successfully. This can be triggered 1 time every 5s."
yes,109,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0014.json,Guide_YCHC_3_7,"Yes. Sau khi mỗi Faded Zone được khôi phục, chúng ta chỉ cần tìm một nghệ nhân đáng tin cậy để tô màu lên thôi.","Yes. After every Faded Zone is restored, finding a reliable artist to fill in the colors is all we need to do."
resonance mode,103,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0010.json,PrefabTextItem_2224013953_Text,Đội có Resonators với nhiều Resonance Mode. Có thể tạm thời chuyển đổi giữa các mode trong quá trình chơi.,There are Resonators with multiple Resonance Modes in the team. The gameplay allows temporary switch between the modes.
finish,102,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0006.json,PrefabTextItem_2731866900_Text,Finish,Finish
true sight,99,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8522_MonsterTips,"Trong thử thách này:
<color=Highlight>Changli</color> duy trì trạng thái <color=Highlight>True Sight</color>.
Chi phí STA khi bay được giảm.

Buff chính: <color=Highlight>Mid-air Attack</color> triệu hồi Thiên Thạch khi trúng đích, gây Fusion DMG.","In this challenge:
<color=Highlight>Changli</color> remains in the <color=Highlight>True Sight</color> state.
Flight STA cost is reduced.

Key Buff: <color=Highlight>Mid-air Attack</color> summons a Meteorite on hit, dealing Fusion DMG."
switch,95,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0001.json,PrefabTextItem_3526358274_Text,Switch,Switch
echo skill,92,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0003.json,PrefabTextItem_1101170257_Text,Echo Skill,Echo Skill
skill dmg,91,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0002.json,PrefabTextItem_2933674891_Text,Skill DMG,Skill DMG
fusion dmg bonus,84,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0002.json,LevelPlay_316700008_LevelPlaySubInfoContent_316_4,"Khi Overlapping Force đạt tối đa, Resonators trong đội nhận thêm 40% Fusion DMG Bonus.","When Overlapping Force is at full stacks, Resonators in the team gain a 40% Fusion DMG increase."
new,78,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0001.json,PrefabTextItem_3814869707_Text,New,New
hello,76,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0008.json,PrefabTextItem_1781008698_Text,"Hello, Hiệp hội Tiên phong.","Hello, Pioneer Association."
penitent's end,76,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0014.json,InstanceDungeon_8519_DungeonDesc,"Có vẻ như Black Shores đã đạt được bước đột phá trong Infinite Reality Sandbox, mang đến môi trường chân thực hơn và những trận chiến gay cấn hơn.

Lần này, mô phỏng diễn ra tại Penitent's End, một hòn đảo hoang tàn nơi vô số linh hồn bị đày ải phải đón nhận số phận của mình.","It seems the Black Shores has made breakthroughs in its Infinite Reality Sandbox, now offering more immersive environments and thrilling battles.

This time, the simulation takes place on Penitent's End, a desolate island where countless banished souls meet their fate."
night,75,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0006.json,PrefabTextItem_1944882492_Text,Night,Night
status,74,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0004.json,PrefabTextItem_3925408383_Text,Status,Status
havoc dmg bonus,73,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0006.json,TowerChallengeBuff_92007105_Desc,Resonators nhận 30% <color=Dark>Havoc DMG Bonus</color>.,Resonators gain 30% <color=Dark>Havoc DMG Bonus</color>.
new federation,72,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0019.json,Flow_313700003_109,Ngươi lại gặp người đàn ông ăn mặc xuềnh xoàng đó. Ông ta nồng nhiệt chào đón và hỏi ý kiến ngươi về tạp chí New Federation.,"You meet the shabbily dressed man again, who fervidly greets you and asks for your opinion about the New Federation magazine."
active skill,71,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0022.json,GuideFocusNew_21666_Content,Sử dụng Active Skill của Transport Unit XE-01 để Triển khai Nhanh một Echo trên tay.,Use the Transport Unit XE-01's Active Skill to Quick-Deploy an Echo from your hand.
energy regen,71,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0002.json,LevelPlay_221700006_LevelPlaySubInfoContent_221_6,"Gây sát thương làm tăng <color=highlight>Energy Regen</color> thêm 10% trong 10 giây, có thể chồng chất lên đến 3 lần. Hiệu ứng kích hoạt mỗi giây một lần.","Dealing damage increases <color=highlight>Energy Regen</color> by 10% for 10s, stacking up to 3 times. This effect can be triggered once per second."
basic,69,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0011.json,MenuConfig_41_SubName,Basic,Basic
aero dmg bonus,69,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0012.json,InstanceDungeon_4043_MonsterTips,<color=Wind>Aero DMG Bonus</color> thêm 40%.,<color=Wind>Aero DMG</color> Bonus increased by 40%.
glacio dmg bonus,68,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0005.json,TowerChallengeBuff_92007103_Desc,Resonators nhận 30% <color=Ice>Glacio DMG Bonus</color>.,Resonators gain 30% <color=Ice>Glacio DMG Bonus</color>.
concerto effect,65,mistral_translate_work\split_by_prompt\json\ui\lang_function\lang_function__ui__part_0001.json,22,"Kỹ năng mạnh được thực hiện bởi 2 Resonators. Khi Concerto Vibrancy được nạp đầy, việc chuyển đổi Resonators sẽ tiêu hao toàn bộ và kích hoạt Concerto Effect dựa trên thuộc tính tấn công của nhân vật được chuyển đổi.","Powerful skill performed by 2 Resonators. While the Concerto Vibrancy is fully charged, switching Resonators will consume all of it, and trigger Concerto Effect base on the switched Character's attack attribute."
mode,64,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0019.json,GuideFocusNew_693_Content,{0}+{1} to exit Immersion Mode,{0}+{1} to exit Immersion Mode
echo challenge,64,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0004.json,LevelPlay_122900014_ChallengeConditionMainText_122_3,Echo Challenge: Unfinished Book,Echo Challenge: Unfinished Book
plunging attack,63,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_9702_DungeonTask_3,Chụp ảnh Zani thực hiện Plunging Attack,Photo of Zani performing a Plunging Attack
thus spoke the,63,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0206.json,ComboTeaching_14110102_DescriptionTitle,Qiuyuan: <color=#d4bf5f>Thus Spoke the Blade: Inkwash</color>,Qiuyuan: <color=#d4bf5f>Thus Spoke the Blade: Inkwash</color> Tutorial
spectro dmg bonus,63,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0005.json,TowerChallengeBuff_92007104_Desc,Resonators nhận 30% <color=Light>Spectro DMG Bonus</color>.,Resonators gain 30% <color=Light>Spectro DMG Bonus</color>.
effect,62,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0001.json,PrefabTextItem_369906027_Text,Effect Bộ,Set Effect
name,61,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0001.json,PrefabTextItem_1394227469_Text,Name nhân vật,Character Name
event,61,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0006.json,PrefabTextItem_3142136211_Text,Event mới!,New Event!
menu,57,mistral_translate_work\split_by_prompt\json\ui\lang_guide_new\lang_guide_new__ui__part_0001.json,15,"Hướng dẫn Setting Thời gian.
Nhấn {0} để mở Menu Hệ thống.","Time Setting Guide.
Tap {0} to open the System Menu."
chainsaw mode,57,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0017.json,GuideFocusNew_1418_Content,Hệ số DMG của Basic Attack và Finisher Attack trong Chainsaw Mode được tăng mạnh,The DMG Multiplier of Chainsaw Mode Basic Attack and Chainsaw Mode Finisher Attack is greatly increased
off-tune level,57,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0022.json,GuideFocusNew_1421_Content,Một số đòn tấn công tích lũy Off-Tune Level cho một số kẻ địch nhất định,Some attacks accumulate Off-Tune Level for certain enemies
then,55,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0013.json,Chengxiaoshan_main_1_1_143_5,"Và giờ đây, vào thời khắc then chốt của Núi Firmament, sự xuất hiện của các ngươi... Đúng vậy... Không phải là sự trùng hợp ngẫu nhiên.","And now, at this crucial turning point for Mt. Firmament, your arrival... Yes... It is no mere coincidence."
unlocked,53,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0003.json,PrefabTextItem_819768377_Text,Unlocked:,Unlocked:
enhanced resonance skill,53,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0017.json,GuideFocusNew_1337_Content,Đánh trúng mục tiêu bằng <color=Highlight>Resonance Skill</color> hoặc <color=Highlight>Enhanced Resonance Skill</color> sẽ nhận <color=Highlight>Forte Gauge - Purple</color>.,Hitting targets with <color=Highlight>Resonance Skill</color> or <color=Highlight>Enhanced  Resonance Skill</color> grants <color=Highlight>Forte Gauge - Purple</color>.
energy,53,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0020.json,GuideFocusNew_20866_Content,Bạn đã hết Energy. Nhưng bạn có thể <color=#8c7e51>Reconstruct</color> các Echoes không cần thiết để nhận thêm Energy.,You're out of Energy. But you can <color=#8c7e51>Reconstruct</color> unneeded Echoes to obtain more Energy.
go,53,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0024.json,HandBook_Prefab_BtnGo,Go,Go
map,52,mistral_translate_work\split_by_prompt\json\ui\lang_guide_new\lang_guide_new__ui__part_0001.json,32,"Hướng dẫn Dịch chuyển.
Nhấn {0} để mở Map.","Teleport Guide.
Tap {0} to open Map."
complete,52,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0007.json,DreamLinkWorldRun_3_Desc,"Nightmares đã xé toạc màn thực tại, gieo rắc hỗn loạn khắp thế gian. Chỉ còn mình ngươi có thể khôi phục trật tự đang sụp đổ, với ân huệ huyền bí Illusive Sprint nhận được từ con mèo trắng kỳ lạ.
<color=#c25757>Complete Nhiệm Vụ Chính ""When the Snow Clears"" to unlock the event.</color>","Nightmares have torn through the veil of reality, wreaking havoc across the world. It's down to you to restore the crumbling order to the land, with the mystic boon of Illusive Sprint received from the strange white cat.
<color=#c25757>Complete Main Quest ""When the Snow Clears"" to unlock the event.</color>"
cetus the tidebreaker,50,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0008.json,MapMark_160003_MarkDesc,Hòn đảo hoang vu nơi Cetus the Tidebreaker yên nghỉ. Bạn có thể ra khơi và giao thương tại đây.,A desolate island where Cetus the Tidebreaker rests. You can set out to sea and trade here.
an error occurred,49,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0017.json,GuideFocusNew_222_Content,An error occurred Vui lòng liên hệ Bộ phận Chăm sóc Khách hàng để được hỗ trợ,An error occurred. Please contact our Customer Service for assistance
gian cooldown,49,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0024.json,InstanceDungeon_8723_Tips,"Impulse Tide
Cấp 0: Gây <color=Highlight>DMG Heavy Attack</color> hoặc gây sát thương bằng <color=Highlight>Heavy Attack</color> sẽ nhận 60% DMG Bonus cho tất cả thuộc tính. Không thể bị hạ gục trong thử thách.
Cấp 1: Gây <color=Highlight>DMG Heavy Attack</color> hoặc gây sát thương bằng <color=Highlight>Heavy Attack</color> sẽ tạo ra Impulse Tide hút mục tiêu gần đó và gây <color=Wind>Aero DMG</color>. CD: 5 giây.
Cấp 2: Thời gian Cooldown của Impulse Tide giảm 2 giây. Mục tiêu bị ảnh hưởng nhận sát thương tăng 60%.
Cấp 3: Impulse Tide giải phóng một làn sóng xung kích, gây sát thương bổ sung.","Impulse Tide
Lv. 0: Dealing <color=Highlight>Heavy Attack DMG</color> or dealing damage with <color=Highlight>Heavy Attack</color> grants 60% All-Attribute DMG Bonus. Cannot be downed during the challenge.
Lv. 1: Dealing <color=Highlight>Heavy Attack DMG</color> or dealing damage with <color=Highlight>Heavy Attack</color>, creates an Impulse Tide t"
electro dmg bonus,49,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0005.json,Term130601_Desc,"Mỗi lớp cộng dồn tăng {0} Electro DMG Bonus, tối đa <SapTag=1>{1}</SapTag> {Cus:Sap,S=lần P=lần cộng dồn SapTag=1}. Khi <color=Highlight>Resonance Liberation - Sublime is the Sun: Everbright Protector</color> kết thúc, tất cả các lớp cộng dồn của Crown of Wills sẽ bị xóa.","Each stack grants {0} Electro DMG Bonus, stacking up to <SapTag=1>{1}</SapTag> {Cus:Sap,S=time P=times SapTag=1}. When <color=Highlight>Resonance Liberation - Sublime is the Sun: Everbright Protector</color> ends, all stacks of Crown of Wills are removed."
female,49,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0012.json,Speaker_374_Name,Female Giọng nói,Female Voice
enhanced heavy attack,48,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0017.json,GuideFocusNew_1361_Content,"Khi <color=Highlight>Forte Gauge</color> đầy, <color=Highlight>Enhanced Heavy Attack</color> sẽ khả dụng.","When <color=Highlight>Forte Gauge</color> is full, <color=Highlight>Enhanced Heavy Attack</color> becomes available."
save,47,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0003.json,PrefabTextItem_761121701_Text,Save,Save
bonus,47,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0004.json,PrefabTextItem_Moonfiesta_EventSuccessRatio_Text,Bonus,Bonus
sublime is the,47,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0005.json,Term130601_Desc,"Mỗi lớp cộng dồn tăng {0} Electro DMG Bonus, tối đa <SapTag=1>{1}</SapTag> {Cus:Sap,S=lần P=lần cộng dồn SapTag=1}. Khi <color=Highlight>Resonance Liberation - Sublime is the Sun: Everbright Protector</color> kết thúc, tất cả các lớp cộng dồn của Crown of Wills sẽ bị xóa.","Each stack grants {0} Electro DMG Bonus, stacking up to <SapTag=1>{1}</SapTag> {Cus:Sap,S=time P=times SapTag=1}. When <color=Highlight>Resonance Liberation - Sublime is the Sun: Everbright Protector</color> ends, all stacks of Crown of Wills are removed."
disliked food,47,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0077.json,FavorWord_110209_Title,Disliked Food,Disliked Food
resonance energy khi,46,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8301_MonsterTips,"Mô phỏng: Tất cả kẻ địch có 0 RES trong sự kiện Tactical Simulacra.
Dồi dào: Phục hồi toàn bộ Resonance Energy khi vào trận chiến.
Bùng nổ: Phục hồi 50 Resonance Energy khi đánh bại kẻ địch.","Simulation: All enemies have 0 RES during the Tactical Simulacra event.
Abundance: Recover all Resonance Energy when entering combat.
Surge: Recover 50 Resonance Energy when defeating an enemy."
sonata effect sau,46,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0031.json,ItemInfo_50010012_AttributesDescription,"Mở để nhận một Echo ngẫu nhiên có Sonata Effect sau: Bọt Sắc Màu.

2 món: Fusion DMG +10%.

5 món: Khi Resonator gây Fusion Burst lên kẻ địch, họ sẽ nhận các hiệu ứng sau: Nhận thêm 10% Fusion DMG trong 15 giây. Khi hiệu ứng này còn hoạt động, sử dụng Outro Skill sẽ trao cho Resonator tiếp theo 25% Fusion DMG trong 15 giây.","Open to obtain a random Echo of the following Sonata Effect: Chromatic Foam.

2pcs Set: Fusion DMG +10%.

5pcs Set: When the Resonator inflicts Fusion Burst on the enemies, they gain the following effects: Gain 10 Fusion DMG Bonus for 15s. While this effect is active, casting an Outro Skill grants the incoming Resonator 25% Fusion DMG Bonus for 15s"
investigated area,46,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0003.json,LevelPlay_229900000_QuestScheduleMainTitle_229_17,Investigated Area: 1/5,Investigated Area: 1/5
complete challenge trong,46,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0021.json,LevelPlay_451000036_ChallengeConditionSubText_0_2,Complete Challenge trong Giới Hạn Thời Gian,Complete Challenge within the Time Limit
right,44,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0003.json,PrefabTextItem_3459831713_Text,Right,Right
okay,44,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0014.json,Guide_QDMFDYX_2_6,Okay..,Okay...
heavy slash,43,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_9710_DungeonTask_3,Chụp ảnh Zani thực hiện Heavy Slash,Photo of Zani performing Heavy Slash
the black shores,43,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0217.json,FavorWord_120317_Content,Hi hi. Chào cậu! Tớ là Encore đến từ <te href=850109>the Black Shores</te>! Muốn đi phiêu lưu cùng tớ và lũ Woolies của tớ không?,"Hee-hee. Hi, there! I'm Encore from <te href=850109>the Black Shores</te>! Wanna go on an adventure with me and my Woolies?"
aerial attack,43,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0078.json,FavorWord_110442_Title,Aerial Attack,Aerial Attack
