phrase,count,sample_file,sample_key,sample_translation,sample_source
sau,3468,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,108,Kiệt tác của một nhà thiết kế súng sau nhiều nỗ lực cải tiến. Một phần sức mạnh của viên đạn được hy sinh để tăng độ chính xác và tốc độ bắn.,A masterpiece by a gun designer's improvement effort. Part of the bullet's power is sacrificed for enhanced accuracy and firing rate.
ai,3217,mistral_translate_work\split_by_prompt\json\ui\lang_influence\lang_influence__ui__part_0001.json,5,"Không thuộc quyền quản lý của bất kỳ ai, họ hành động theo ý chí và quy tắc riêng. Chúng ta cần xử lý những kẻ nguy hiểm một cách cẩn thận, đề phòng tình hình trở nên tồi tệ.","Under no jurisdiction, they act on their own will and rules. We need to deal with the dangerous ones carefully, in case the situation went dire."
quan,2908,mistral_translate_work\split_by_prompt\json\ui\lang_detection\lang_detection__ui__part_0001.json,38,"Theo báo cáo quan sát, TD này thường xuất hiện trong hệ thống mạch Tacetite và có thể gây Spectro DMG.","According to sighting reports, this TD is often found in Tacetite vein systems and can cause Spectra damage."
sinh,2685,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,106,"""Qua đêm dài, đến ngày thắng lợi."" Khắc trên khẩu súng không chỉ là lời thề của người bảo vệ, mà còn là hy vọng hồi sinh.","""Through the long night, triumph."" Inscribed on the pistol is not only oath of guard, but hope of rejuvenation."
sau khi,2655,mistral_translate_work\split_by_prompt\json\ui\lang_guide_new\lang_guide_new__ui__part_0001.json,71,"Sau khi kích hoạt Choral Beacon, mở bản đồ và chọn Choral Beacon đã kích hoạt để di chuyển nhanh.","After activating the Choral Beacon, open the map interface and select the activated Choral Beacon for fast travel."
nhau,2614,mistral_translate_work\split_by_prompt\json\ui\lang_detection\lang_detection__ui__part_0001.json,102,"Các Thủ Lĩnh Lưu Đày hầu hết đều là Resonators. Ví dụ, ở khu vực Huanglong, các Thủ Lĩnh Lưu Đày thường là những người bị trục xuất khỏi Mornguard vì nhiều lý do khác nhau, và kinh nghiệm chiến đấu cũng như khả năng của họ không thể so sánh với những Lưu Đày thông thường.","Exile Leaders are mostly Resonators. In the Huanglong region, for example, the Exile Leaders are usually those who have been expelled from the Mornguard for various reasons, and their combat experience and abilities cannot be compared with those of ordinary Exiles."
nghe,2571,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,34,"Một kỹ thuật rèn kiếm từ trước thời Lament được sử dụng, giúp lưỡi kiếm có khả năng sử dụng tương đối nhẹ nhàng dù vẻ ngoài có vẻ cồng kềnh. Âm thanh vo ve có thể nghe thấy khi vung kiếm, như một khúc hát từ vĩnh hằng.","A smith technique before the Lament is used, giving the blade a relatively light usability with its cumbersome-looking body. Buzzing sounds can be heard when slashing, like a croon from eternity."
tra,2323,mistral_translate_work\split_by_prompt\json\ui\lang_guide_new\lang_guide_new__ui__part_0001.json,82,Chạm vào đây để kiểm tra tiến độ nhiệm vụ và phần thưởng giai đoạn.,Tap here to check mission progress and stage rewards.
do,2312,mistral_translate_work\split_by_prompt\json\ui\lang_detection\lang_detection__ui__part_0001.json,30,"Tên khoa học là ""Strepoplasmidum spectrum"", thuộc chi Strepoplasmidum. Được đặt tên như vậy do thiếu trí thông minh và hành vi logic đơn giản.","Scientifically named the ""Strepoplasmidum spectrum"", a member of the genus Strepoplasmidum. Gained its name due to the lack of intelligence and simple behavioral logic."
cao,2248,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,10,Lưỡi kiếm sinh ra để phụng sự công lý. Những hoa văn giống như biểu tượng của pháp luật được khắc trên thân kiếm. Nó mang theo ý chí tối cao của người sử dụng.,A blade born of service to the law. Ornamentation resembling the law is engraved on its body. It bears the supreme will of its user.
tay,2225,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,52,Một đôi găng tay âm thanh với trọng lượng khủng khiếp và độ tin cậy tuyệt đối. Nó có thể giải phóng sức mạnh kinh hoàng đủ để dời núi trong tay những người sử dụng thành thạo.,A pair of sound gauntlets with a brutal weight and ultimate reliability. It can unleash huge power enough to move mountains in the hands of proficient users.
resonance skill,2210,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,62,"Mỗi khi sử dụng Resonance Skill, phục hồi {0} Concerto Vibrancy. Có thể kích hoạt mỗi 20 giây.","For every Resonance Skill used, restore {0} Concerto Vibrancy. Can be triggered every 20 seconds."
anh,2181,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0010.json,PrefabTextItem_3169614993_Text,Abbowser sẽ tiếp tục là chướng ngại vật tối thượng đối với mọi anh hùng muốn hoàn thành cuộc đua!,Abbowser will stick to being the ultimate roadblock for every hero trying to finish the race!
thu,2108,mistral_translate_work\split_by_prompt\json\ui\lang_calabash\lang_calabash__ui__part_0001.json,1,Lần đầu thu thập,1st acquisition
xem,2054,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,124,Khởi Đầu Của Cuộc Tranh Tài. Một lưỡi Broadblade được chế tạo đặc biệt cho Resonators mới. Ẩn chứa sức mạnh không thể xem thường dưới vẻ ngoài đơn giản.,The Beginning of Competition for Peak. A Broadblade specially made for beginner Resonators. Contains a power not to be underestimated under its simple outlook.
hai,2015,mistral_translate_work\split_by_prompt\json\ui\lang_detection\lang_detection__ui__part_0001.json,90,"Tên nhị thức ""Agaricus mimicus"". Ưa bóng râm và độ ẩm, thường mọc thành nhóm hai hoặc ba ở các hang động phía tây giàu Tacetite.","Binomial name ""Agaricus mimicus"". Prefers shade and humidity, tend to gather in groups of two or three in west caves rich in Tacetite."
ngay,1953,mistral_translate_work\split_by_prompt\json\ui\lang_generic_tips\lang_generic_tips__ui__part_0001.json,119,Bạn có thể đổi thưởng ngay bây giờ.,You can exchange for rewards now.
hay,1924,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0001.json,PrefabTextItem_1571177980_Text,Kẻ thù hay đồng minh,Foes or Allies
khu,1923,mistral_translate_work\split_by_prompt\json\ui\lang_detection\lang_detection__ui__part_0001.json,2,"Discord thường hoạt động trong các khu mỏ và vùng núi, kích thước nhỏ, mức độ nguy hiểm tương đối thấp.","Tacet Discord commonly seen active within mines and mountainous areas, small in size, relatively low danger level."
thay,1898,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0002.json,PrefabTextItem_2249094462_Text,Không thể thay đổi Ngày Sinh sau khi thiết lập,You cannot change Birthday after setting it
basic attack,1863,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0012.json,InstanceDungeon_201010_MonsterTips,"Khi đánh trúng kẻ địch, Basic Attack giảm Cooldown của Resonance Liberation đi 1 giây, kích hoạt tối đa 1 lần mỗi giây.","When hitting an enemy, Basic Attacks reduce the Cooldown of Resonance Liberation by 1 second, triggered up to once every second."
mang,1766,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,202,"Phiên bản cải tiến của nguyên mẫu Broadblade từ dự án vũ khí sản xuất hàng loạt thế hệ mới Huanglong. Với hiệu suất mạnh mẽ và công nghệ tiên tiến, thanh long này mang sức nặng chỉ có những chiến binh trải qua nhiều năm rèn luyện mới có thể sử dụng.","Improved version of a Broadblade prototype from the Huanglong next-gen mass production weaponry project. With strong performance and novel technologies, this dragon carries a weight only to be wielded by warriors of years of training."
kia,1756,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeonEntrance_2051_Description,"Tần số còn vương lại sau cuộc đọ sức dữ dội giữa hai thế lực hùng mạnh, giờ đây được định hình bởi ký ức của bạn và mang hình hài Lycrosis.
Người ca sĩ từ cõi bên kia vẫn đang chờ đợi trên sân khấu.","Lingering frequencies left by a fierce clash between two formidable forces, now shaped by your memories and taking the form of Lycrosis.
The singer from beyond still awaits on the stage."
nay,1735,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0002.json,PrefabTextItem_2794075253_Text,Nhiệm vụ hôm nay,Today's Quest
gia,1733,mistral_translate_work\split_by_prompt\json\ui\lang_detection\lang_detection__ui__part_0001.json,98,"Những cá nhân nguy hiểm lang thang nơi hoang dã ở nhiều quốc gia, thường hoạt động theo nhóm, xuất hiện theo nhóm, dễ đối phó nếu đơn lẻ. Mức độ nguy hiểm tương đối thấp.","Dangerous individuals roaming the wilderness of various nations, mostly operating in groups, appearing in groups, easy to deal with singly. Relatively low danger level."
lo,1693,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0007.json,PrefabTextItem_1571923354_Text,Đừng lo!,Don't worry!
vui,1647,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0005.json,PrefabTextItem_3414213768_Text,"Để tiếp tục nhiệm vụ này, vui lòng chạm để theo dõi và giải phóng Resonator đang bị chiếm giữ.","To proceed with this quest, please tap to track and release the occupied Resonator."
ghi,1632,mistral_translate_work\split_by_prompt\json\ui\lang_detection\lang_detection__ui__part_0001.json,140,"Một Discord được quan sát thấy ở Central Plains, chỉ có một báo cáo nhìn thấy TD này từ Rover. Không có ghi chép chi tiết về diện mạo đầy đủ của nó, và nó được đánh giá là cực kỳ nguy hiểm dựa trên mức năng lượng.","A Tacet Discord observed in the Central Plains, there has been only sighting report for this TD, that of which from the Rover. There is no detailed record of its full appearance, and it is judged to be extremely dangerous according to its energy level."
xa,1582,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,28,"Sản phẩm của công nghệ, được tạo ra để bảo vệ lý tưởng. Với hỏa lực mạnh và tầm bắn xa, nó tiết lộ và bảo vệ chân lý mà nó tin tưởng.","A creation of technology, made for the defense of idea. With strong firepower and range, it reveals and defends the truth that it believes."
heavy attack,1573,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,26,"Hiệu ứng hồi phục được tăng {0}%. Khi Normal Attack hoặc Heavy Attack trúng mục tiêu, ATK của tất cả nhân vật được tăng {1}% trong 12 giây. Hiệu ứng này có thể cộng dồn tối đa 5 lần.","Healing effects are raised by {0}%. When normal attacks or charged attacks land, ATK is raised by {1}% for all characters. Lasts for 12 seconds. This can be stacked for max. 5 times."
an,1521,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0010.json,InfoDisplay_11020113_Text,"Đừng để tay chạm vào điện, an toàn nằm trong suy nghĩ của bạn.","Don't get your hands touched by electricity, safety is in your mind."
resonance liberation,1477,mistral_translate_work\split_by_prompt\json\ui\lang_advice\lang_advice__ui__part_0001.json,2,Resonance Liberation,Resonance Liberation
trang,1403,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,64,"Với âm giai giảm, hãy trang bị lưỡi kiếm này để thống trị trận chiến bằng những âm thanh kỳ lạ. Màn trình diễn không bao giờ kết thúc.","With descending scale, equip this blade to dominate the battle with strange sounds. Curtain never falls."
cooldown,1359,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0012.json,InstanceDungeon_201010_MonsterTips,"Khi đánh trúng kẻ địch, Basic Attack giảm Cooldown của Resonance Liberation đi 1 giây, kích hoạt tối đa 1 lần mỗi giây.","When hitting an enemy, Basic Attacks reduce the Cooldown of Resonance Liberation by 1 second, triggered up to once every second."
trung,1348,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,16,Khẩu súng được chế tạo đặc biệt để trừng phạt tội ác. Những người sử dụng nó trong lịch sử đều vô cùng trung thành với công lý. Có lẽ... vũ khí tự chọn chủ nhân theo cách của riêng chúng.,"A gun specially made for crime sanction. Its historic users are all extraordinarily faithful to justice. Maybe... weapons pick their users, in their way."
tinh,1269,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,208,"Phiên bản cải tiến của nguyên mẫu Smallblade từ dự án vũ khí sản xuất hàng loạt thế hệ mới Huanglong. Với lưỡi kiếm được tinh giản và thiết kế tối ưu, nó chỉ vừa vặn trong lòng bàn tay của những kiếm khách lão luyện.","Improved version of a Smallblade prototype from the Huanglong next-gen mass production weaponry project. With streamline blade and extra-simple design, it fits only in the palm of seasoned swordsmen."
quay,1257,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0004.json,PrefabTextItem_2086892083_Text,Bạn đã rời khỏi khu vực nhiệm vụ. Vui lòng quay lại,You have left the quest area. Please return
giao,1223,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,82,"Với âm giai giảm, hãy trang bị đôi găng tay này để gầm thét và cuồng nộ cùng âm thanh của những con sóng khổng lồ, tạo nên bản giao hưởng cao vút.","With a descending scale, equip this gauntlet to roar and rage with the sound of huge waves and forge high-pitched symphony."
minh,1211,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,4,"Lưỡi kiếm sinh ra để phụng sự công lý. Những hoa văn giống như biểu tượng của pháp luật được khắc trên thân kiếm. Thề trên liên minh, vinh quang sẽ đến!","A blade born of service to the law. Ornamentation resembling the law is engraved on its body. Swear on the alliance, glory shall come!"
hoa,1210,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,4,"Lưỡi kiếm sinh ra để phụng sự công lý. Những hoa văn giống như biểu tượng của pháp luật được khắc trên thân kiếm. Thề trên liên minh, vinh quang sẽ đến!","A blade born of service to the law. Ornamentation resembling the law is engraved on its body. Swear on the alliance, glory shall come!"
nhanh,1196,mistral_translate_work\split_by_prompt\json\ui\lang_detection\lang_detection__ui__part_0001.json,83,"Sinh Vật Đột Biến thường xuất hiện ở Desorock Highland. Theo lời kể, đây là loài bò sát lớn, di chuyển nhanh và nguy hiểm hơn.","The Mutant Organism is mostly found in the Desorock Highlands. According to witnesses, it is a large reptile, fast action, more dangerous."
nguy,1175,mistral_translate_work\split_by_prompt\json\ui\lang_detection\lang_detection__ui__part_0001.json,2,"Discord thường hoạt động trong các khu mỏ và vùng núi, kích thước nhỏ, mức độ nguy hiểm tương đối thấp.","Tacet Discord commonly seen active within mines and mountainous areas, small in size, relatively low danger level."
thanh,1112,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,52,Một đôi găng tay âm thanh với trọng lượng khủng khiếp và độ tin cậy tuyệt đối. Nó có thể giải phóng sức mạnh kinh hoàng đủ để dời núi trong tay những người sử dụng thành thạo.,A pair of sound gauntlets with a brutal weight and ultimate reliability. It can unleash huge power enough to move mountains in the hands of proficient users.
danh,1010,mistral_translate_work\split_by_prompt\json\ui\lang_generic_tips\lang_generic_tips__ui__part_0001.json,90,Bạn đã được thêm vào danh sách chặn của Rover này.,You've been added to this Rover's blocklist.
duy,980,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0011.json,MenuConfig_60208_Desc,"Khi tùy chọn này được bật, Resonator sẽ duy trì trạng thái Sprinting cho đến khi bị gián đoạn bởi các hành động khác.","When this option is enabled, when the Resonator starts Sprinting, they will sustain the Sprinting state until they're interrupted by the other actions."
di,957,mistral_translate_work\split_by_prompt\json\ui\lang_detection\lang_detection__ui__part_0001.json,74,"Sinh Vật Biến Dị cỡ trung, tính khí hung dữ. Sống trên cạn, thường đi theo đàn, di chuyển và tấn công bằng cách lao tới, phân bố rộng. Mức độ nguy hiểm tương đối thấp.","A medium-sized Mutant Organism with a violent temperament. Terrestrial, mostly living in groups, good at running and rushing, widely distributed. Relatively low danger level."
tranh,930,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0010.json,InfoDisplay_31000025_Text,Page sách tranh bị rách,Torn Page from a Picture Book
thi,912,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0003.json,PrefabTextItem_2099786785_Text,Bản ghi thực thi,Execution Record
xin,902,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0002.json,PrefabTextItem_1441743152_Text,"Hành động nguy hiểm, xin đừng bắt chước.","Dangerous action, please do not imitate."
may,896,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0011.json,FunctionCondition_10144_Desc,"Trò chơi bài dành cho hai người. Để chiến thắng, bạn cần sự quan sát, chiến thuật và tất nhiên, một chút may mắn.","A card game for two. To win, you need perception, strategy, and, of course, a bit of luck."
giai,888,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,64,"Với âm giai giảm, hãy trang bị lưỡi kiếm này để thống trị trận chiến bằng những âm thanh kỳ lạ. Màn trình diễn không bao giờ kết thúc.","With descending scale, equip this blade to dominate the battle with strange sounds. Curtain never falls."
xong,887,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0007.json,PrefabTextItem_395953502_Text,"Cùng nhau, những Khối Lập Phương cuối cùng đã sửa xong chiếc Bánh Kỷ Niệm bị hỏng!","[Together, the Cubes finally fix the damaged Anniversary Cake!]"
ba,860,mistral_translate_work\split_by_prompt\json\ui\lang_detection\lang_detection__ui__part_0001.json,66,"Tên khoa học ba phần ""Ardea purpurea bipenna"", một phân loài của Ardea purpurea chỉ có ở Huanglong.","Trinomial name ""Ardea purpurea bipenna"", a subspecies of Ardea purpurea uniquely found in Huanglong."
tham gia,847,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0003.json,PrefabTextItem_2783232047_Text,Tham gia Hợp tác,Join Co-op
linh,812,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,120,"Vũ khí chuyên dụng tập trung vào tính linh hoạt, có khả năng tung ra nhiều đòn tấn công vào mục tiêu.","Special-purpose arm that focuses on flexibility, capable of delivering multiples strikes on target."
lai,792,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0005.json,PrefabTextItem_3513857089_Text,Sẽ có thêm Chrono Traces trong tương lai. Hãy đón chờ nhé.,More Chrono Traces will be available in the future. Stay tuned.
resonators trong,785,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0008.json,PrefabTextItem_742084121_Text,Không thể đổi Resonators trong buổi luyện tập,You can't switch Resonators in the drill
phong,771,mistral_translate_work\split_by_prompt\json\ui\lang_influence\lang_influence__ui__part_0001.json,3,"Hiệp hội Tiên phong được thành lập sau Chiến tranh Wuthering bởi cộng đồng loài người. Đôi khi họ được gọi tắt là PA.
Do mối quan hệ tin tưởng giữa Resonators và người dân thường ở Huanglong, PA có quy mô tương đối lớn ở Huanglong và đảm nhận nhiều trách nhiệm hơn. Gia nhập PA là điều đáng tự hào ở Huanglong.","Pioneer Association was founded after the Wuthering War by human community. They sometimes go by PA for short.
Due to the trusting relationship between Resonators and regular people in Huanglong, PA got relatively huge scale in Huanglong, and take on more responsibility. Joining the PA is something "
xe,762,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0008.json,PrefabTextItem_2044649438_Text,"Mở khóa xe máy thám hiểm trong Nhiệm Vụ Chính ""Điều Gì Cháy Dưới Vùng Đất Băng Giá"" hoặc rời Học Viện Startorch sau khi đến nơi","Unlock the expedition motorbike during the Main Quest ""What Burns Beneath Frostlands"" or leave Startorch Academy after arriving"
suy,755,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8172_Description,"Ngay cả khi nhắm mắt, bạn vẫn có thể nghe thấy âm thanh xung quanh. Đây có lẽ là điều người ta gọi là suy nhược thần kinh.
Hãy bảo vệ thiết bị thí nghiệm và giúp Cosmos hoàn thành bài test.","Even with your eyes closed, you can still hear the sounds around you. This might be what people call neurasthenia.
Please protect the experimental device and help Cosmos complete the test."
mong,742,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,40,"Thanh kiếm được ban phước bởi nhiều chiến thắng khi đồng hành cùng các chiến binh. Vậy nên, mong chiến thắng sẽ luôn ở bên bạn.","A sword of recognized blessing since it accompanies multiple fighters' triumphs. So, may victory be with you."
hao,741,mistral_translate_work\split_by_prompt\json\ui\lang_function\lang_function__ui__part_0001.json,22,"Kỹ năng mạnh được thực hiện bởi 2 Resonators. Khi Concerto Vibrancy được nạp đầy, việc chuyển đổi Resonators sẽ tiêu hao toàn bộ và kích hoạt Concerto Effect dựa trên thuộc tính tấn công của nhân vật được chuyển đổi.","Powerful skill performed by 2 Resonators. While the Concerto Vibrancy is fully charged, switching Resonators will consume all of it, and trigger Concerto Effect base on the switched Character's attack attribute."
tan,736,mistral_translate_work\split_by_prompt\json\ui\lang_function\lang_function__ui__part_0001.json,28,Ambience của những Resonators tinh thông kỹ thuật chiến đấu. Những giai điệu trong ký ức tan vỡ của họ có thể được dùng để nâng cao kỹ năng chiến đấu.,Ambience of Resonators well-versed in battle technique. The melodies in their broken memories can be used to enhance battle skill.
nghi,726,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeonEntrance_306000_Description,"Quả cầu Sonoro này ghi lại một nghi lễ cổ xưa bị bào mòn bởi Lament. Ở cuối nỗi đau khổ, mong rằng mọi tội lỗi sẽ được tha thứ.","This Sonoro Sphere records an ancient ceremony eroded by the Lament. At the end of suffering, may all transgressions be forgiven."
quen,718,mistral_translate_work\split_by_prompt\json\ui\lang_detection\lang_detection__ui__part_0001.json,62,"Sinh vật đột biến thủy sinh cỡ nhỏ, thường xuất hiện trong mạng lưới nước ngọt, có thói quen lén lút tiếp cận con mồi và ít nguy hiểm hơn.","Small aquatic Mutant Organism, mostly found in freshwater networks, seem to have a habit of sneaking up on their prey and are less dangerous."
ban,712,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,40,"Thanh kiếm được ban phước bởi nhiều chiến thắng khi đồng hành cùng các chiến binh. Vậy nên, mong chiến thắng sẽ luôn ở bên bạn.","A sword of recognized blessing since it accompanies multiple fighters' triumphs. So, may victory be with you."
