en_source,vn_translate,loi_du_doan
Only Wootters and monsters here. No human children.,Chỉ toàn Wootters và quái vật ở đây. Không có trẻ con nào đâu.,C?n ti?ng Anh nghi v?n: Wootters | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Thank you, woo! You a good human!","Cảm ơn cậu nha, woo! Cậu đúng là người tốt!",C?n ti?ng Anh nghi v?n: woo | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Are you alright, Teeny?","Con ổn chứ, Teeny?",C?n ti?ng Anh nghi v?n: Teeny | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Chunkie... I'm sorry. I couldn't protect you from the Dark Tide... If only I'd been stronger...,Chunkie... Xin lỗi cậu. Tớ không thể bảo vệ cậu khỏi Hắc Triều... Giá như tớ mạnh mẽ hơn...,C?n ti?ng Anh nghi v?n: Chunkie | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"As if recalling the painful memoriees, Chunkie begins to thrash and roar in anguish.","Như thể nhớ lại những ký ức đau đớn, Chunkie bắt đầu vùng vẫy và gầm thét trong đau đớn.",C?n ti?ng Anh nghi v?n: Chunkie | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Holmleaf Medal?,Huy chương Holmleaf?,C?n ti?ng Anh nghi v?n: Holmleaf | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Even ones with decent Resonance powers like Avidius, she eats for breakfast.","Ngay cả những Cộng Hưởng Giả có sức mạnh Tần số khá như Avidius, cô ấy cũng xử lý như ăn sáng thôi.",C?n ti?ng Anh nghi v?n: Avidius | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
I'd better find Augusta.,Tốt nhất là ta nên tìm Augusta thôi.,C?n ti?ng Anh nghi v?n: Augusta | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"...A Corrosaurus that knows how to set a trap, waiting for its hunters to walk right into it... Heh. Quite an interesting opponent.","...Một con Corrosaurus mà biết đặt bẫy, chờ thợ săn tự dấn thân vào… Hừ. Đối thủ khá thú vị đấy.",C?n ti?ng Anh nghi v?n: Corrosaurus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
But knowing Augusta... I'm sure that fool would fight till the bitter end.,Nhưng biết Augusta mà... ta chắc chắn thằng ngốc đó sẽ chiến đấu đến hơi thở cuối cùng.,C?n ti?ng Anh nghi v?n: Augusta | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Augusta spoke of the great surge we are about to face.,Augusta nói về đợt sóng lớn mà chúng ta sắp phải đối mặt.,C?n ti?ng Anh nghi v?n: Augusta | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
But then again... smooth sailing isn't always a good thing either. Too much harmony invites trouble. Tethys did pick up a strange frequency midway through the hunt.,Nhưng mà... thuận buồm xuôi gió chưa chắc đã là điều tốt. Hòa hợp quá mức lại dễ sinh rắc rối. Tethys đã bắt được một tần số lạ giữa cuộc săn đấy.,C?n ti?ng Anh nghi v?n: Tethys | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"A wise choice, Augusta...","Một lựa chọn khôn ngoan đấy, Augusta...",C?n ti?ng Anh nghi v?n: Augusta | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
(Mention Augusta and Iuno's plan.),Nhắc đến kế hoạch của Augusta và Iuno đi.,C?n ti?ng Anh nghi v?n: Augusta | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
It's most likely something to do with the <te href=750001>hunt</te>.,Chắc là có liên quan đến <te href=750001>hunt</te> này.,C?n ti?ng Anh nghi v?n: hunt | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Tyrannos's whereabouts… Heh, Aquila must have its eyes on it now.",Vị trí của Tyrannos à… Giờ chắc Aquila đã để mắt tới rồi.,C?n ti?ng Anh nghi v?n: Aquila | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Augusta, time to bring your party back to the Hunter's Den.","Augusta, đến lúc đưa bọn họ về Hang Thợ Săn rồi.",C?n ti?ng Anh nghi v?n: Augusta | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Ha. Look at those looks. I've seen them all before.,Ha. Nhìn bộ dạng đó đi. Ta đã thấy đủ rồi.,C?n ti?ng Anh nghi v?n: Ha | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Hehe. Don't let her unruly side fool you. She is as dependable as they come.,Hehe. Đừng để vẻ bướng bỉnh của cô ấy đánh lừa cậu nhé. Cô ấy đáng tin cậy lắm đấy.,C?n ti?ng Anh nghi v?n: Hehe | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
A Corrosaurus.,Một con Corrosaurus.,C?n ti?ng Anh nghi v?n: Corrosaurus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Yes. And it must be done within <te href=750006>Maroonwood</te>.,Đúng. Và phải hoàn thành nó trong <te href=750006>Maroonwood</te>.,C?n ti?ng Anh nghi v?n: Maroonwood | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"This confrontation with Tyrannos was expected, but it's not a fight anyone is eager to face...","Cuộc đối đầu với Tyrannos đã được dự đoán từ trước, nhưng chẳng ai muốn phải chiến đấu với hắn cả...",C?n ti?ng Anh nghi v?n: Tyrannos | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Now we wait. We wait for it to enter Maroonwood.,Giờ thì chúng ta đợi. Đợi nó tiến vào Maroonwood.,C?n ti?ng Anh nghi v?n: Maroonwood | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
The devastation that befell Murmurstown sixteen years ago will never be repeated.,Thảm họa đã giáng xuống Murmurstown mười sáu năm trước sẽ không bao giờ lặp lại.,C?n ti?ng Anh nghi v?n: Murmurstown | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Good. Proceed as planned, Avidius.","Tốt. Tiến hành theo kế hoạch đi, Avidius.",C?n ti?ng Anh nghi v?n: Avidius | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Are we still in Murmurstown?,Chúng ta vẫn còn ở Murmurstown à?,C?n ti?ng Anh nghi v?n: Murmurstown | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Augusta, look over there.","Augusta, nhìn đằng kia kìa.",C?n ti?ng Anh nghi v?n: Augusta | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
...I guess it is High Tide season. Uncle Filo must be busy at his forge. Even Ma and Pa are busy preparing for the hunt.,...Chắc lại đến mùa Đại Triều rồi. Chú Filo chắc đang bận rộn bên lò rèn. Cả bố và mẹ cũng đang tất bật chuẩn bị cho chuyến đi săn.,C?n ti?ng Anh nghi v?n: Filo | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Hm? That little girl… does her voice sound familiar to you, {PlayerName}?","Hm? Cô bé đó… giọng của nó có quen thuộc với cậu không, {PlayerName}?",C?n ti?ng Anh nghi v?n: Hm | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Alright, team! Let's head back to the Sonoro!","Được rồi, cả đội ơi! Quay về Sonoro thôi!",C?n ti?ng Anh nghi v?n: Sonoro | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Angel, what do we—","Angel, chúng ta phải làm gì—",C?n ti?ng Anh nghi v?n: Angel | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Again, we'll fight them outside the Sonoro.","Lại một lần nữa, chúng ta sẽ chiến đấu bên ngoài Sonoro.",C?n ti?ng Anh nghi v?n: Sonoro | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Stay close, Angel. It'll be alright.","Ở cạnh ta, Angel. Sẽ ổn thôi.",C?n ti?ng Anh nghi v?n: Angel | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Angel, hold my hand!","Angel, nắm lấy tay tôi đi!",C?n ti?ng Anh nghi v?n: Angel | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Augusta... I...,Augusta... ta...,C?n ti?ng Anh nghi v?n: Augusta | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
The Dark Tide paid me no mind. Its target was always Angel.,Thủy Triều Hắc Ám chẳng thèm để ý đến ta. Mục tiêu của nó luôn là Angel.,C?n ti?ng Anh nghi v?n: Angel | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Iuno once said something similar to me.,Iuno từng nói với ta điều gì đó tương tự.,C?n ti?ng Anh nghi v?n: Iuno | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Angel, are you...","Angel, cậu... có sao không?",C?n ti?ng Anh nghi v?n: Angel | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Hmph. You must be aware of your rather underwhelming performance during the Tyrannos hunt.,Hừm. Chắc cậu cũng biết màn trình diễn khá... nhạt nhòa của mình trong cuộc săn Tyrannos chứ?,C?n ti?ng Anh nghi v?n: Tyrannos | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Iuno, I...","Iuno à, ta...",C?n ti?ng Anh nghi v?n: Iuno | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
(Fill Buling in on the situation.),Cập nhật tình hình cho Buling đi.,C?n ti?ng Anh nghi v?n: Buling | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"I'm not made of glass, Augusta.","Tôi đâu phải làm bằng thủy tinh đâu, Augusta.",C?n ti?ng Anh nghi v?n: Augusta | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Iuno, one last question.","Iuno, ta còn một câu hỏi cuối.",C?n ti?ng Anh nghi v?n: Iuno | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
The Anchor Stone Avidius and the others set there could come in handy.,Hòn Đá Neo mà Avidius và những người khác đặt ở đó có thể sẽ hữu dụng.,C?n ti?ng Anh nghi v?n: Avidius | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
