en_source,vn_translate,loi_du_doan
Deep Sea Voyage: Pioneering,Deep Sea Voyage: Pioneering,C?n ti?ng Anh nghi v?n: Deep; Pioneering; Sea; Voyage | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Dim Forest Investigation Report,Dim Forest Investigation Report,C?n ti?ng Anh nghi v?n: Dim; Forest; Investigation; Report | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Let Sleeping Dogs Lie,Let Sleeping Dogs Lie,C?n ti?ng Anh nghi v?n: Dogs; Let; Lie; Sleeping | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Special Loong Whisker Crisps,Special Loong Whisker Crisps,C?n ti?ng Anh nghi v?n: Crisps; Loong; Special; Whisker | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Her Wish-granting Magic,Her Wish-granting Magic,C?n ti?ng Anh nghi v?n: granting; Her; Magic; Wish | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Thundering Mephis (Form I),Thundering Mephis (Form I),C?n ti?ng Anh nghi v?n: Form; I; Mephis; Thundering | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Rondo: Tides of Fury,Rondo: Tides of Fury,C?n ti?ng Anh nghi v?n: Fury; of; Rondo; Tides | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Symphony: Rain of Fire,Symphony: Rain of Fire,C?n ti?ng Anh nghi v?n: Fire; of; Rain; Symphony | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mobile Combat Boots I,Mobile Combat Boots I,C?n ti?ng Anh nghi v?n: Boots; Combat; I; Mobile | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mobile Combat Boots II,Mobile Combat Boots II,C?n ti?ng Anh nghi v?n: Boots; Combat; II; Mobile | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mobile Combat Boots III,Mobile Combat Boots III,C?n ti?ng Anh nghi v?n: Boots; Combat; III; Mobile | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Debts Paid In Full,Debts Paid In Full,C?n ti?ng Anh nghi v?n: Debts; Full; In; Paid | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Clear ""Transforming Hero: Flame Ranger""","Clear ""Biến Đổiing Hero: Flame Ranger""",C?n ti?ng Anh nghi v?n: Clear; Flame; Hero; Ranger | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Event Quest ""Cube, Cubic n Cubie""","Nhiệm Vụ Sự Kiện ""Cube, Cubic n Cubie""",C?n ti?ng Anh nghi v?n: Cube; Cubic; Cubie; n | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
COST 4 Enhanced Drop Rate,COST 4 Enhanced Drop Rate,C?n ti?ng Anh nghi v?n: COST; Drop; Enhanced; Rate | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Suggested Attribute: N/A,Suggested Attribute: N/A,C?n ti?ng Anh nghi v?n: A; Attribute; N; Suggested | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete the Stone Lift Challenge at Luminous Shore,Hoàn thành Thử Thách Stone Lift tại Luminous Shore,C?n ti?ng Anh nghi v?n: Lift; Luminous; Shore; Stone | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Defeat the Lumiscale Construct at Loong's Ridge,Đánh bại Lumiscale Construct tại Loong's Ridge,C?n ti?ng Anh nghi v?n: Construct; Loong's; Lumiscale; Ridge | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete the Stone Lift Challenge at Tianqu Tree,Hoàn thành Thử Thách Stone Lift tại Tianqu Tree,C?n ti?ng Anh nghi v?n: Lift; Stone; Tianqu; Tree | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mianloong Chamber: Upper Tier,Mianloong Chamber: Upper Tier,C?n ti?ng Anh nghi v?n: Chamber; Mianloong; Tier; Upper | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mianloong Chamber: Lower Tier,Mianloong Chamber: Lower Tier,C?n ti?ng Anh nghi v?n: Chamber; Lower; Mianloong; Tier | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Truthseeker's Pass: Upper Tier,Truthseeker's Pass: Upper Tier,C?n ti?ng Anh nghi v?n: Pass; Tier; Truthseeker's; Upper | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Truthseeker's Pass: Middle Tier,Truthseeker's Pass: Middle Tier,C?n ti?ng Anh nghi v?n: Middle; Pass; Tier; Truthseeker's | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Truthseeker's Pass: Lower Tier,Truthseeker's Pass: Lower Tier,C?n ti?ng Anh nghi v?n: Lower; Pass; Tier; Truthseeker's | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Woodveil Hall: Upper Tier,Woodveil Hall: Upper Tier,C?n ti?ng Anh nghi v?n: Hall; Tier; Upper; Woodveil | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Woodveil Hall: Middle Tier,Woodveil Hall: Middle Tier,C?n ti?ng Anh nghi v?n: Hall; Middle; Tier; Woodveil | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Woodveil Hall: Lower Tier,Woodveil Hall: Lower Tier,C?n ti?ng Anh nghi v?n: Hall; Lower; Tier; Woodveil | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Grand Warstorm: Part I,Grand Warstorm: Part I,C?n ti?ng Anh nghi v?n: Grand; I; Part; Warstorm | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Grand Warstorm: Part II,Grand Warstorm: Part II,C?n ti?ng Anh nghi v?n: Grand; II; Part; Warstorm | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Snow Moon Flower Spinner,Snow Moon Flower Spinner,C?n ti?ng Anh nghi v?n: Flower; Moon; Snow; Spinner | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Serenity of Xiehua Village,Serenity of Xiehua Village,C?n ti?ng Anh nghi v?n: of; Serenity; Village; Xiehua | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Find the Shorekeeper in the Tethys' Deep: Eidoscope,Tìm Shorekeeper tại Tethys' Deep: Eidoscope,C?n ti?ng Anh nghi v?n: Deep; Eidoscope; Shorekeeper; Tethys' | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Black Shores: Subterranean Galaxy,Black Shores: Subterranean Galaxy,C?n ti?ng Anh nghi v?n: Black; Galaxy; Shores; Subterranean | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Master Youhu's Poetry Collection,Master Youhu's Poetry Collection,C?n ti?ng Anh nghi v?n: Collection; Master; Poetry; Youhu's | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Clear Phantasm Amass IV,Clear Phantasm Amass IV,C?n ti?ng Anh nghi v?n: Amass; Clear; IV; Phantasm | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Clear Phantasm Amass V,Clear Phantasm Amass V,C?n ti?ng Anh nghi v?n: Amass; Clear; Phantasm; V | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Grand Feast Daydream (Instrumental),Grand Feast Daydream (Instrumental),C?n ti?ng Anh nghi v?n: Daydream; Feast; Grand; Instrumental | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Behind Gateway Thirty Three,Behind Gateway Thirty Three,C?n ti?ng Anh nghi v?n: Behind; Gateway; Thirty; Three | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Inside Pipe Sixty Six,Inside Pipe Sixty Six,C?n ti?ng Anh nghi v?n: Inside; Pipe; Six; Sixty | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Drowning Five Times Over,Drowning Five Times Over,C?n ti?ng Anh nghi v?n: Drowning; Five; Over; Times | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Beyond Ruin Nighty Nine,Beyond Ruin Nighty Nine,C?n ti?ng Anh nghi v?n: Beyond; Nighty; Nine; Ruin | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete Tactical Hologram: Vitreum Dancer once,Hoàn Thành Tactical Hologram: Vitreum Dancer Một Lần,C?n ti?ng Anh nghi v?n: Dancer; Hologram; Tactical; Vitreum | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
An Unfaded Recording I,An Unfaded Recording I,C?n ti?ng Anh nghi v?n: An; I; Recording; Unfaded | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
An Unfaded Recording II,An Unfaded Recording II,C?n ti?ng Anh nghi v?n: An; II; Recording; Unfaded | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Within Nimbus Sanctum I,Within Nimbus Sanctum I,C?n ti?ng Anh nghi v?n: I; Nimbus; Sanctum; Within | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Within Nimbus Sanctum II,Within Nimbus Sanctum II,C?n ti?ng Anh nghi v?n: II; Nimbus; Sanctum; Within | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Tactical Hologram: Vitreum Dancer,Tactical Hologram: Vitreum Dancer,C?n ti?ng Anh nghi v?n: Dancer; Hologram; Tactical; Vitreum | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Weekly Challenge: Bell of Archaic Chants,Thử Thách Hàng Tuần: Bell of Archaic Chants,C?n ti?ng Anh nghi v?n: Archaic; Bell; Chants; of | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mutant: Fried Egg Jellyfish,Mutant: Fried Egg Jellyfish,C?n ti?ng Anh nghi v?n: Egg; Fried; Jellyfish; Mutant | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mutant: Dead Man's Eye,Mutant: Dead Man's Eye,C?n ti?ng Anh nghi v?n: Dead; Eye; Man's; Mutant | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Gondola Strength Training I,Gondola Strength Training I,C?n ti?ng Anh nghi v?n: Gondola; I; Strength; Training | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Gondola Stamina Training II,Gondola Stamina Training II,C?n ti?ng Anh nghi v?n: Gondola; II; Stamina; Training | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Dragon of Dirge: Ultra,Dragon of Dirge: Ultra,C?n ti?ng Anh nghi v?n: Dirge; Dragon; of; Ultra | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Thunder of Bane I,Thunder of Bane I,C?n ti?ng Anh nghi v?n: Bane; I; of; Thunder | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Thunder of Bane II,Thunder of Bane II,C?n ti?ng Anh nghi v?n: Bane; II; of; Thunder | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Amusement Park Annual Pass,Amusement Park Annual Pass,C?n ti?ng Anh nghi v?n: Amusement; Annual; Park; Pass | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Xiangli Yao's Tactics Unlocked,Xiangli Yao's Tactics Unlocked,C?n ti?ng Anh nghi v?n: Tactics; Unlocked; Xiangli; Yao's | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Medium Gradation Dream Box,Medium Gradation Dream Box,C?n ti?ng Anh nghi v?n: Box; Dream; Gradation; Medium | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Advanced Gradation Dream Box,Advanced Gradation Dream Box,C?n ti?ng Anh nghi v?n: Advanced; Box; Dream; Gradation | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Premium Gradation Dream Box,Premium Gradation Dream Box,C?n ti?ng Anh nghi v?n: Box; Dream; Gradation; Premium | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Medium Devouring Dream Box,Medium Devouring Dream Box,C?n ti?ng Anh nghi v?n: Box; Devouring; Dream; Medium | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Advanced Devouring Dream Box,Advanced Devouring Dream Box,C?n ti?ng Anh nghi v?n: Advanced; Box; Devouring; Dream | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Premium Devouring Dream Box,Premium Devouring Dream Box,C?n ti?ng Anh nghi v?n: Box; Devouring; Dream; Premium | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Medium Exchange Dream Box,Medium Exchange Dream Box,C?n ti?ng Anh nghi v?n: Box; Dream; Exchange; Medium | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Advanced Exchange Dream Box,Advanced Exchange Dream Box,C?n ti?ng Anh nghi v?n: Advanced; Box; Dream; Exchange | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Premium Exchange Dream Box,Premium Exchange Dream Box,C?n ti?ng Anh nghi v?n: Box; Dream; Exchange; Premium | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Medium Dream Integration Box,Medium Dream Integration Box,C?n ti?ng Anh nghi v?n: Box; Dream; Integration; Medium | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Advanced Dream Integration Box,Advanced Dream Integration Box,C?n ti?ng Anh nghi v?n: Advanced; Box; Dream; Integration | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Premium Dream Integration Box,Premium Dream Integration Box,C?n ti?ng Anh nghi v?n: Box; Dream; Integration; Premium | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Dreamborne: Dragon of Dirge,Dreamborne: Dragon of Dirge,C?n ti?ng Anh nghi v?n: Dirge; Dragon; Dreamborne; of | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Venture Capital Fund I,Venture Capital Fund I,C?n ti?ng Anh nghi v?n: Capital; Fund; I; Venture | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Venture Capital Fund II,Venture Capital Fund II,C?n ti?ng Anh nghi v?n: Capital; Fund; II; Venture | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Venture Capital Fund III,Venture Capital Fund III,C?n ti?ng Anh nghi v?n: Capital; Fund; III; Venture | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Insider Trading Intel I,Insider Trading Intel I,C?n ti?ng Anh nghi v?n: I; Insider; Intel; Trading | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Insider Trading Intel II,Insider Trading Intel II,C?n ti?ng Anh nghi v?n: II; Insider; Intel; Trading | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Insider Trading Intel III,Insider Trading Intel III,C?n ti?ng Anh nghi v?n: III; Insider; Intel; Trading | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Dreams of Cindertide: Finale,Dreams of Cindertide: Finale,C?n ti?ng Anh nghi v?n: Cindertide; Dreams; Finale; of | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Complete Main Quest ""By Sun's Burning Hand"" to unlock","Hoàn thành Nhiệm Vụ Chính ""By Sun's Burning Hand"" để mở khóa",C?n ti?ng Anh nghi v?n: Burning; By; Hand; Sun's | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Clear Hanakage Underground Street,Clear Hanakage Underground Street,C?n ti?ng Anh nghi v?n: Clear; Hanakage; Street; Underground | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Clear Honami Central Park,Clear Honami Central Park,C?n ti?ng Anh nghi v?n: Central; Clear; Honami; Park | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Bar Counter Expansion Unlocked,Bar Counter Expansion Unlocked,C?n ti?ng Anh nghi v?n: Bar; Counter; Expansion; Unlocked | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Take down the Namipon Poster in Hanakage Underground Street,Hạ gục tấm áp phích Namipon ở Hanakage Underground Street,C?n ti?ng Anh nghi v?n: Hanakage; Namipon; Street; Underground | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Take down the Namipon Poster in Honami Central Park,Hạ gục tấm áp phích Namipon ở Honami Central Park,C?n ti?ng Anh nghi v?n: Central; Honami; Namipon; Park | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Take down the Namipon Poster in Honami Central Park,Hạ gục tấm áp phích Namipon ở Honami Central Park,C?n ti?ng Anh nghi v?n: Central; Honami; Namipon; Park | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Secret Edition Namipon Plushie,Secret Edition Namipon Plushie,C?n ti?ng Anh nghi v?n: Edition; Namipon; Plushie; Secret | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Earthly Immortal, Heavenly Sheep","Earthly Immortal, Heavenly Sheep",C?n ti?ng Anh nghi v?n: Earthly; Heavenly; Immortal; Sheep | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Sweet Tooth Namipon Circle x2,Sweet Tooth Namipon Circle x2,C?n ti?ng Anh nghi v?n: Circle; Namipon; Sweet; Tooth | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Sweet Tooth Namipon Circle x4,Sweet Tooth Namipon Circle x4,C?n ti?ng Anh nghi v?n: Circle; Namipon; Sweet; Tooth | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Sweet Tooth Namipon Circle x6,Sweet Tooth Namipon Circle x6,C?n ti?ng Anh nghi v?n: Circle; Namipon; Sweet; Tooth | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
