en_source,vn_translate,loi_du_doan
About Xiangli Yao,About Xiangli Yao,C?n ti?ng Anh nghi v?n: About; Xiangli; Yao | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: II,Aerial Attack: II,C?n ti?ng Anh nghi v?n: Aerial; Attack; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: III,Aerial Attack: III,C?n ti?ng Anh nghi v?n: Aerial; Attack; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
About Xiangli Yao,About Xiangli Yao,C?n ti?ng Anh nghi v?n: About; Xiangli; Yao | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
About Xiangli Yao,About Xiangli Yao,C?n ti?ng Anh nghi v?n: About; Xiangli; Yao | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Exile Commoner (Female),Exile Commoner (Female),C?n ti?ng Anh nghi v?n: Commoner; Exile; Female | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
New Solar Ceremony,New Solar Ceremony,C?n ti?ng Anh nghi v?n: Ceremony; New; Solar | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
First Meet Jinhsi,First Meet Jinhsi,C?n ti?ng Anh nghi v?n: First; Jinhsi; Meet | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
All Wishes Come True,Tất cả Wishes Come True,C?n ti?ng Anh nghi v?n: Come; True; Wishes | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Old Device II,Old Device II,C?n ti?ng Anh nghi v?n: Device; II; Old | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Blue Night Waltz,Blue Night Waltz,C?n ti?ng Anh nghi v?n: Blue; Night; Waltz | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Old Device I,Old Device I,C?n ti?ng Anh nghi v?n: Device; I; Old | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Old Device II,Old Device II,C?n ti?ng Anh nghi v?n: Device; II; Old | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Blue Night Waltz,Blue Night Waltz,C?n ti?ng Anh nghi v?n: Blue; Night; Waltz | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Old Device I,Old Device I,C?n ti?ng Anh nghi v?n: Device; I; Old | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Complete ""Ragunna's Visitor""","Complete ""Ragunna's Visitor""",C?n ti?ng Anh nghi v?n: Complete; Ragunna's; Visitor | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Even More Ferocious,Even More Ferocious,C?n ti?ng Anh nghi v?n: Even; Ferocious; More | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Park Min Gi,Park Min Gi,C?n ti?ng Anh nghi v?n: Gi; Min; Park | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete Main Quest: Voyage to Firmament,Hoàn thành Nhiệm Vụ Chính: Voyage to Firmament,C?n ti?ng Anh nghi v?n: Firmament; to; Voyage | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Casting Jinzhou's Hero,Casting Jinzhou's Hero,C?n ti?ng Anh nghi v?n: Casting; Hero; Jinzhou's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Bonus Wish Tags,Bonus Wish Tags,C?n ti?ng Anh nghi v?n: Bonus; Tags; Wish | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Wish Earnings Up,Wish Earnings Up,C?n ti?ng Anh nghi v?n: Earnings; Up; Wish | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Time Together: Pleasant,Time Together: Pleasant,C?n ti?ng Anh nghi v?n: Pleasant; Time; Together | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Time Together: Perfect,Time Together: Perfect,C?n ti?ng Anh nghi v?n: Perfect; Time; Together | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: I,Aerial Attack: I,C?n ti?ng Anh nghi v?n: Aerial; Attack; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: II,Aerial Attack: II,C?n ti?ng Anh nghi v?n: Aerial; Attack; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
New Rarity Unlocked,New Rarity Unlocked,C?n ti?ng Anh nghi v?n: New; Rarity; Unlocked | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
CSC Lock Puzzle,CSC Lock Puzzle,C?n ti?ng Anh nghi v?n: CSC; Lock; Puzzle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
