en_source,vn_translate,loi_du_doan
Use Aemeath or Luuk Herssen to clear Respawning Waters: Torrents in Whimpering Wastes,Dùng Aemeath hoặc Luuk Herssen để vượt Dòng Nước Trỗi Dậy: Dòng Chảy Xiết ở Vùng Đất Than Thở,C?n ti?ng Anh nghi v?n: Aemeath; Herssen; Luuk | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Clear ""Daisy Crown"" on Normal difficulty with Rank A or higher","Hoàn thành ""Daisy Crown"" ở độ khó Thường với xếp hạng A hoặc cao hơn",C?n ti?ng Anh nghi v?n: A; Crown; Daisy | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Enter Chromatic Fantasy II and the stages beyond to unlock,Vào Chromatic Fantasy II và các màn sau để mở khóa,C?n ti?ng Anh nghi v?n: Chromatic; Fantasy; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Enter Chromatic Fantasy III and the stages beyond to unlock,Vào Chromatic Fantasy III và các màn sau để mở khóa,C?n ti?ng Anh nghi v?n: Chromatic; Fantasy; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Enter Chromatic Fantasy IV and the stages beyond to unlock,Vào Chromatic Fantasy IV và các màn sau để mở khóa,C?n ti?ng Anh nghi v?n: Chromatic; Fantasy; IV | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Clear the challenge with Illusive Echo: Inferno Rider once,Hoàn thành thử thách với Illusive Echo: Inferno Rider một lần,C?n ti?ng Anh nghi v?n: Illusive; Inferno; Rider | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Clear the challenge with Illusive Echo: Thundering Mephis once,Hoàn thành thử thách với Illusive Echo: Thundering Mephis một lần,C?n ti?ng Anh nghi v?n: Illusive; Mephis; Thundering | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Clear Endless Galaxy Track 2 with 3 Stars,Hoàn thành Endless Galaxy Track 2 với 3 Sao,C?n ti?ng Anh nghi v?n: Endless; Galaxy; Track | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Clear Endless Galaxy Track 6 with 3 Stars,Hoàn thành Endless Galaxy Track 6 với 3 Sao,C?n ti?ng Anh nghi v?n: Endless; Galaxy; Track | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Clear Endless Galaxy Track 10 with 3 Stars,Hoàn thành Endless Galaxy Track 10 với 3 Sao,C?n ti?ng Anh nghi v?n: Endless; Galaxy; Track | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Clear Endless Galaxy Track 12 with 3 Stars,Hoàn thành Endless Galaxy Track 12 với 3 Sao,C?n ti?ng Anh nghi v?n: Endless; Galaxy; Track | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
The Seven Deadly Sins,The Seven Deadly Sins,C?n ti?ng Anh nghi v?n: Deadly; Seven; Sins | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
The Bell Still Rings,The Bell Still Rings,C?n ti?ng Anh nghi v?n: Bell; Rings; Still | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
The Star You Once Sought,The Star Bạn Once Sought,C?n ti?ng Anh nghi v?n: Once; Sought; Star | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Torn Plushie, Lost Song","Torn Plushie, Lost Song",C?n ti?ng Anh nghi v?n: Lost; Plushie; Torn | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"One Shot, Three Echoes","One Shot, Three Echoes",C?n ti?ng Anh nghi v?n: One; Shot; Three | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
The Dark Knight Rises,The Dark Knight Rises,C?n ti?ng Anh nghi v?n: Dark; Knight; Rises | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Her Long-awaited Guest,Her Long-awaited Guest,C?n ti?ng Anh nghi v?n: awaited; Guest; Her | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
The Myth-Laden Savior,The Myth-Laden Savior,C?n ti?ng Anh nghi v?n: Laden; Myth; Savior | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Main Quest - Huanglong - Inferno Let Loose,Nhiệm Vụ Chính - Huanglong - Inferno Let Loose,C?n ti?ng Anh nghi v?n: Inferno; Let; Loose | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Complete the Echo Challenge: Clang Bang at Hongzhen,Hoàn thành Thử Thách Echo: Clang Bang tại Hongzhen,C?n ti?ng Anh nghi v?n: Bang; Clang; Hongzhen | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Huanglong I - Act VII,Huanglong I - Act VII,C?n ti?ng Anh nghi v?n: Act; I; VII | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Xiangli Yao's ID Card,Xiangli Yao's ID Card,C?n ti?ng Anh nghi v?n: Card; Xiangli; Yao's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Gearworks of the Unthinkable,Gearworks of the Unthinkable,C?n ti?ng Anh nghi v?n: Gearworks; of; Unthinkable | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Complete Quest ""Hidden Between the Waves"" to unlock","Hoàn thành Nhiệm Vụ ""Hidden Between the Waves"" để mở khóa",C?n ti?ng Anh nghi v?n: Between; Hidden; Waves | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Nightmare: Fabricatorium of the Deep,Ác Mộng: Fabricatorium of the Deep,C?n ti?ng Anh nghi v?n: Deep; Fabricatorium; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Obtain 12,000 points in Fairy Tale's Finale",Đạt 12.000 Điểm Trong Fairy Tale's Finale,C?n ti?ng Anh nghi v?n: Fairy; Finale; Tale's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Clear Phantasm Amass VI,Clear Phantasm Amass VI,C?n ti?ng Anh nghi v?n: Amass; Clear; Phantasm | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Obtain 2600 points in Stage 6 of Tactical Simulacra II,Đạt 2600 điểm ở Giai đoạn 6 của Tactical Simulacra II,C?n ti?ng Anh nghi v?n: II; Simulacra; Tactical | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Obtain 1200 points in Stage 7 of Tactical Simulacra II,Đạt 1200 điểm ở Giai đoạn 7 của Tactical Simulacra II,C?n ti?ng Anh nghi v?n: II; Simulacra; Tactical | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
The Waves Play On,The Waves Play On,C?n ti?ng Anh nghi v?n: On; Play; Waves | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Defeat Sentry Construct in Averardo Vault,Đánh Bại Sentry Construct Trong Hầm Averardo,C?n ti?ng Anh nghi v?n: Averardo; Construct; Sentry | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Stage in the Box,Stage in the Box,C?n ti?ng Anh nghi v?n: Box; in; Stage | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
White: The Hollow Space,White: The Hollow Space,C?n ti?ng Anh nghi v?n: Hollow; Space; White | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Blue: The Indifferent Soul,Blue: The Indifferent Soul,C?n ti?ng Anh nghi v?n: Blue; Indifferent; Soul | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Orange: The Furious Roar,Orange: The Furious Roar,C?n ti?ng Anh nghi v?n: Furious; Orange; Roar | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Red: The Destructive Force,Red: The Destructive Force,C?n ti?ng Anh nghi v?n: Destructive; Force; Red | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Grey: The Insincere Face,Grey: The Insincere Face,C?n ti?ng Anh nghi v?n: Face; Grey; Insincere | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Purple: The Mysterious Flame,Purple: The Mysterious Flame,C?n ti?ng Anh nghi v?n: Flame; Mysterious; Purple | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Weekly Challenge: Statue of the Crownless,Thử Thách Hàng Tuần: Statue of the Crownless,C?n ti?ng Anh nghi v?n: Crownless; of; Statue | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Weekly Challenge: Beyond the Crimson Curtain,Thử Thách Hàng Tuần: Beyond the Crimson Curtain,C?n ti?ng Anh nghi v?n: Beyond; Crimson; Curtain | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Til the Fin-ish,Til the Fin-ish,C?n ti?ng Anh nghi v?n: Fin; ish; Til | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Obtain a total of 5,000 points in Respawning Waters: Chasm",Đạt tổng cộng 5.000 điểm trong Respawning Waters: Chasm,C?n ti?ng Anh nghi v?n: Chasm; Respawning; Waters | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Obtain a total of 7,000 points in Respawning Waters: Chasm",Đạt tổng cộng 7.000 điểm trong Respawning Waters: Chasm,C?n ti?ng Anh nghi v?n: Chasm; Respawning; Waters | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Obtain a total of 9,500 points in Respawning Waters: Chasm",Đạt tổng cộng 9.500 điểm trong Respawning Waters: Chasm,C?n ti?ng Anh nghi v?n: Chasm; Respawning; Waters | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Obtain a total of 12,000 points in Respawning Waters: Chasm",Đạt tổng cộng 12.000 điểm trong Respawning Waters: Chasm,C?n ti?ng Anh nghi v?n: Chasm; Respawning; Waters | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Obtain a total of 15,000 points in Respawning Waters: Chasm",Đạt tổng cộng 15.000 điểm trong Respawning Waters: Chasm,C?n ti?ng Anh nghi v?n: Chasm; Respawning; Waters | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Obtain a total of 3,500 points in Respawning Waters: Torrents",Đạt tổng cộng 3.500 điểm trong Respawning Waters: Torrents,C?n ti?ng Anh nghi v?n: Respawning; Torrents; Waters | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Obtain a total of 4,000 points in Respawning Waters: Torrents",Đạt tổng cộng 4.000 điểm trong Respawning Waters: Torrents,C?n ti?ng Anh nghi v?n: Respawning; Torrents; Waters | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Obtain a total of 4,500 points in Respawning Waters: Torrents",Đạt tổng cộng 4.500 điểm trong Respawning Waters: Torrents,C?n ti?ng Anh nghi v?n: Respawning; Torrents; Waters | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
All the World's His Stage,Tất cả the World's His Stage,C?n ti?ng Anh nghi v?n: His; Stage; World's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
The Magistrate's Fortune Stick,The Magistrate's Fortune Stick,C?n ti?ng Anh nghi v?n: Fortune; Magistrate's; Stick | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
The Knight's Faded Hours,The Knight's Faded Hours,C?n ti?ng Anh nghi v?n: Faded; Hours; Knight's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Echoes of turbulent waves…,Echoes of turbulent waves…,C?n ti?ng Anh nghi v?n: of; turbulent; waves | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Hologram Echo: Chest Mimic,Hologram Echo: Chest Mimic,C?n ti?ng Anh nghi v?n: Chest; Hologram; Mimic | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Catcher in the Tide,Catcher in the Tide,C?n ti?ng Anh nghi v?n: Catcher; in; Tide | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Let The Bass Kick!,Let The Bass Kick!,C?n ti?ng Anh nghi v?n: Bass; Kick; Let | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Lahai-Roi Ranked Tournament,Lahai-Roi Ranked Tournament,C?n ti?ng Anh nghi v?n: Lahai; Ranked; Tournament | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Lahai-Roi Ranked Tournament,Lahai-Roi Ranked Tournament,C?n ti?ng Anh nghi v?n: Lahai; Ranked; Tournament | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Lahai-Roi Ranked Tournament,Lahai-Roi Ranked Tournament,C?n ti?ng Anh nghi v?n: Lahai; Ranked; Tournament | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Lahai-Roi Ranked Tournament,Lahai-Roi Ranked Tournament,C?n ti?ng Anh nghi v?n: Lahai; Ranked; Tournament | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Lahai-Roi Ranked Tournament,Lahai-Roi Ranked Tournament,C?n ti?ng Anh nghi v?n: Lahai; Ranked; Tournament | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Lahai-Roi Ranked Tournament,Lahai-Roi Ranked Tournament,C?n ti?ng Anh nghi v?n: Lahai; Ranked; Tournament | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Lahai-Roi Ranked Tournament,Lahai-Roi Ranked Tournament,C?n ti?ng Anh nghi v?n: Lahai; Ranked; Tournament | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Lahai-Roi Ranked Tournament,Lahai-Roi Ranked Tournament,C?n ti?ng Anh nghi v?n: Lahai; Ranked; Tournament | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Lahai-Roi Ranked Tournament,Lahai-Roi Ranked Tournament,C?n ti?ng Anh nghi v?n: Lahai; Ranked; Tournament | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Lahai-Roi Ranked Tournament,Lahai-Roi Ranked Tournament,C?n ti?ng Anh nghi v?n: Lahai; Ranked; Tournament | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Lahai-Roi Ranked Tournament,Lahai-Roi Ranked Tournament,C?n ti?ng Anh nghi v?n: Lahai; Ranked; Tournament | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Lahai-Roi Ranked Tournament,Lahai-Roi Ranked Tournament,C?n ti?ng Anh nghi v?n: Lahai; Ranked; Tournament | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
[Storyline] Lahai-Roi Storyline Assets,[Storyline] Lahai-Roi Storyline Assets,C?n ti?ng Anh nghi v?n: Assets; Lahai; Storyline | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Card Collector: Lahai-Roi,Card Collector: Lahai-Roi,C?n ti?ng Anh nghi v?n: Card; Collector; Lahai | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
The Shape of Light,The Shape of Light,C?n ti?ng Anh nghi v?n: Light; of; Shape | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Shadow of the Void,Shadow of the Void,C?n ti?ng Anh nghi v?n: of; Shadow; Void | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Children of the Snow,Children of the Snow,C?n ti?ng Anh nghi v?n: Children; of; Snow | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
The Ultimate Lucky Dice,The Ultimate Lucky Dice,C?n ti?ng Anh nghi v?n: Dice; Lucky; Ultimate | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Use Aemeath to clear Respawning Waters: Torrents in Whimpering Wastes,Dùng Aemeath để vượt Vùng Nước Tái Sinh: Dòng Chảy Xiết ở Whimpering Wastes,C?n ti?ng Anh nghi v?n: Aemeath; Wastes; Whimpering | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Complete ""Cthugha"" on Normal with a Rating higher than A","Hoàn thành ""Cthugha"" ở độ khó Thường với Rating cao hơn A",C?n ti?ng Anh nghi v?n: A; Cthugha; Rating | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Void Storm: Enhanced Resonance,Void Storm: Enhanced Resonance,C?n ti?ng Anh nghi v?n: Enhanced; Storm; Void | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Clear SkyArk 4 in ""Star Bouncing""","Hoàn thành SkyArk 4 trong ""Star Bouncing""",C?n ti?ng Anh nghi v?n: Bouncing; SkyArk; Star | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Support 2 times in total in ""Cubie Derby: Championship""","Hỗ trợ tổng cộng 2 lần trong ""Cubie Derby: Championship""",C?n ti?ng Anh nghi v?n: Championship; Cubie; Derby | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Clear SkyArk 4 in ""Star Bouncing""","Hoàn thành SkyArk 4 trong ""Star Bouncing""",C?n ti?ng Anh nghi v?n: Bouncing; SkyArk; Star | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Inspect the Altar of Radiance,Kiểm tra Altar of Radiance,C?n ti?ng Anh nghi v?n: Altar; of; Radiance | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Complete Spacetrek Observatory: Overwatch Phase,Hoàn thành Spacetrek Observatory: Overwatch Giai đoạn,C?n ti?ng Anh nghi v?n: Observatory; Overwatch; Spacetrek | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Obtain 500 Tokens of Radiance,Thu thập 500 Tokens of Radiance,C?n ti?ng Anh nghi v?n: of; Radiance; Tokens | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Obtain 800 Tokens of Radiance,Thu thập 800 Tokens of Radiance,C?n ti?ng Anh nghi v?n: of; Radiance; Tokens | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Cannot Merge Enhanced Echoes,Cannot Merge Enhanced Echoes,C?n ti?ng Anh nghi v?n: Cannot; Enhanced; Merge | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Collapse the experimental unit during Main Quest ""Shadow of Glory""","Phá hủy đơn vị thử nghiệm trong Nhiệm vụ Chính ""Shadow of Glory""",C?n ti?ng Anh nghi v?n: Glory; of; Shadow | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Reach Union Level 14 and complete Main Quest ""Shadow of Glory""","Đạt Cấp Liên Minh 14 và hoàn thành Nhiệm vụ Chính ""Shadow of Glory""",C?n ti?ng Anh nghi v?n: Glory; of; Shadow | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Solaris's Pole: Lahai-Roi,Solaris's Pole: Lahai-Roi,C?n ti?ng Anh nghi v?n: Lahai; Pole; Solaris's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Tacet Discord Nests: Lahai-Roi,Discord Nests: Lahai-Roi,C?n ti?ng Anh nghi v?n: Discord; Lahai; Nests | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
"Clear in SkyArk 4 in ""Star Bouncing""","Hoàn thành SkyArk 4 trong ""Star Bouncing""",C?n ti?ng Anh nghi v?n: Bouncing; SkyArk; Star | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Medium Tacet Field: Transmitter,Medium Tacet Field: Transmitter,C?n ti?ng Anh nghi v?n: Field; Medium; Transmitter | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Medium Tacet Field: Tacetite,Medium Tacet Field: Tacetite,C?n ti?ng Anh nghi v?n: Field; Medium; Tacetite | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Lady of the Sea,Lady of the Sea,C?n ti?ng Anh nghi v?n: Lady; of; Sea | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Fabricatorium of the Deep Exploration Progress Reward,Phần Thưởng Tiến Độ Thám Hiểm Fabricatorium of the Deep,C?n ti?ng Anh nghi v?n: Deep; Fabricatorium; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Tacet Discords influenced by the Dark Tide,Tacet Discords bị ảnh hưởng bởi Dark Tide,C?n ti?ng Anh nghi v?n: Dark; Discords; Tide | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Sound-Keeping Tacet Core,Sound-Keeping Tacet Core,C?n ti?ng Anh nghi v?n: Core; Keeping; Sound | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Group Abomination Tacet Core,Group Abomination Tacet Core,C?n ti?ng Anh nghi v?n: Abomination; Core; Group | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Hidden Thunder Tacet Core,Hidden Thunder Tacet Core,C?n ti?ng Anh nghi v?n: Core; Hidden; Thunder | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
