en_source,vn_translate,loi_du_doan
Leora,Leora,C?n ti?ng Anh nghi v?n: Leora | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Weilin,Weilin,C?n ti?ng Anh nghi v?n: Weilin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Elowen,Elowen,C?n ti?ng Anh nghi v?n: Elowen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Leilen,Leilen,C?n ti?ng Anh nghi v?n: Leilen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Sorena,Sorena,C?n ti?ng Anh nghi v?n: Sorena | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Daryl,Daryl,C?n ti?ng Anh nghi v?n: Daryl | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Calis,Calis,C?n ti?ng Anh nghi v?n: Calis | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Ningyi,Ningyi,C?n ti?ng Anh nghi v?n: Ningyi | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Xiaoshi,Xiaoshi,C?n ti?ng Anh nghi v?n: Xiaoshi | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Tulskaya,Tulskaya,C?n ti?ng Anh nghi v?n: Tulskaya | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Maqi,Maqi,C?n ti?ng Anh nghi v?n: Maqi | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Xianchen,Xianchen,C?n ti?ng Anh nghi v?n: Xianchen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Zhuyi,Zhuyi,C?n ti?ng Anh nghi v?n: Zhuyi | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Wei,Wei,C?n ti?ng Anh nghi v?n: Wei | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Mingming,Mingming,C?n ti?ng Anh nghi v?n: Mingming | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Qinghe,Qinghe,C?n ti?ng Anh nghi v?n: Qinghe | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Xieyang,Xieyang,C?n ti?ng Anh nghi v?n: Xieyang | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Lianyue,Lianyue,C?n ti?ng Anh nghi v?n: Lianyue | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Xiaobao,Xiaobao,C?n ti?ng Anh nghi v?n: Xiaobao | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Junyan,Junyan,C?n ti?ng Anh nghi v?n: Junyan | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Jiangsheng,Jiangsheng,C?n ti?ng Anh nghi v?n: Jiangsheng | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Ya'nan,Ya'nan,C?n ti?ng Anh nghi v?n: Ya'nan | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Xuanxuan,Xuanxuan,C?n ti?ng Anh nghi v?n: Xuanxuan | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Congwang,Congwang,C?n ti?ng Anh nghi v?n: Congwang | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Hualin,Hualin,C?n ti?ng Anh nghi v?n: Hualin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Yangming,Yangming,C?n ti?ng Anh nghi v?n: Yangming | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Qianqian,Qianqian,C?n ti?ng Anh nghi v?n: Qianqian | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Niu,Niu,C?n ti?ng Anh nghi v?n: Niu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Jianye,Jianye,C?n ti?ng Anh nghi v?n: Jianye | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Lizhu,Lizhu,C?n ti?ng Anh nghi v?n: Lizhu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Jiu,Jiu,C?n ti?ng Anh nghi v?n: Jiu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Mulan,Mulan,C?n ti?ng Anh nghi v?n: Mulan | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Lingfeng,Lingfeng,C?n ti?ng Anh nghi v?n: Lingfeng | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Debiao,Debiao,C?n ti?ng Anh nghi v?n: Debiao | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Shiyu,Shiyu,C?n ti?ng Anh nghi v?n: Shiyu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Aomei,Aomei,C?n ti?ng Anh nghi v?n: Aomei | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Hanming,Hanming,C?n ti?ng Anh nghi v?n: Hanming | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Yeye,Yeye,C?n ti?ng Anh nghi v?n: Yeye | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Qingxi,Qingxi,C?n ti?ng Anh nghi v?n: Qingxi | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Tuanjin,Tuanjin,C?n ti?ng Anh nghi v?n: Tuanjin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Kangjian,Kangjian,C?n ti?ng Anh nghi v?n: Kangjian | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Po'xiao,Po'xiao,C?n ti?ng Anh nghi v?n: Po'xiao | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Chanxue,Chanxue,C?n ti?ng Anh nghi v?n: Chanxue | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Dingfeng,Dingfeng,C?n ti?ng Anh nghi v?n: Dingfeng | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Yingda,Yingda,C?n ti?ng Anh nghi v?n: Yingda | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Chenbi,Chenbi,C?n ti?ng Anh nghi v?n: Chenbi | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Shuhe,Shuhe,C?n ti?ng Anh nghi v?n: Shuhe | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Ziheng,Ziheng,C?n ti?ng Anh nghi v?n: Ziheng | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Baiju,Baiju,C?n ti?ng Anh nghi v?n: Baiju | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Jingyu,Jingyu,C?n ti?ng Anh nghi v?n: Jingyu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Lianke,Lianke,C?n ti?ng Anh nghi v?n: Lianke | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Huaijin,Huaijin,C?n ti?ng Anh nghi v?n: Huaijin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Yinxing,Yinxing,C?n ti?ng Anh nghi v?n: Yinxing | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Shitou,Shitou,C?n ti?ng Anh nghi v?n: Shitou | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Minyue,Minyue,C?n ti?ng Anh nghi v?n: Minyue | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Buling,Buling,C?n ti?ng Anh nghi v?n: Buling | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Emilio,Emilio,C?n ti?ng Anh nghi v?n: Emilio | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Lupa,Lupa,C?n ti?ng Anh nghi v?n: Lupa | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Cartur,Cartur,C?n ti?ng Anh nghi v?n: Cartur | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Augusta,Augusta,C?n ti?ng Anh nghi v?n: Augusta | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Iuno,Iuno,C?n ti?ng Anh nghi v?n: Iuno | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Picky Reporter,Picky Phóng viên,C?n ti?ng Anh nghi v?n: Picky | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Mya,Mya,C?n ti?ng Anh nghi v?n: Mya | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Fulvia,Fulvia,C?n ti?ng Anh nghi v?n: Fulvia | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Boethia,Boethia,C?n ti?ng Anh nghi v?n: Boethia | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Hermilia,Hermilia,C?n ti?ng Anh nghi v?n: Hermilia | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Valius,Valius,C?n ti?ng Anh nghi v?n: Valius | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Caia,Caia,C?n ti?ng Anh nghi v?n: Caia | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Geospider,Geospider,C?n ti?ng Anh nghi v?n: Geospider | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Loudspeaker,Loudspeaker,C?n ti?ng Anh nghi v?n: Loudspeaker | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Denia,Denia,C?n ti?ng Anh nghi v?n: Denia | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
2.7 Placeholder,2.7 Placeholder,C?n ti?ng Anh nghi v?n: Placeholder | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"""Noise""","""Noise""",C?n ti?ng Anh nghi v?n: Noise | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Aleph-1,Aleph-1,C?n ti?ng Anh nghi v?n: Aleph | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Mornye,Mornye,C?n ti?ng Anh nghi v?n: Mornye | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Arman,Arman,C?n ti?ng Anh nghi v?n: Arman | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Researcher Holding Camera,Nhà nghiên cứu Cầm Camera,C?n ti?ng Anh nghi v?n: Camera | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Nastasha,Nastasha,C?n ti?ng Anh nghi v?n: Nastasha | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
{message} Arman,{message} Arman,C?n ti?ng Anh nghi v?n: Arman | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Elska,Elska,C?n ti?ng Anh nghi v?n: Elska | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Munson,Munson,C?n ti?ng Anh nghi v?n: Munson | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Banlu,Banlu,C?n ti?ng Anh nghi v?n: Banlu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Kanna,Kanna,C?n ti?ng Anh nghi v?n: Kanna | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Gyokuro,Gyokuro,C?n ti?ng Anh nghi v?n: Gyokuro | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Chase,Chase,C?n ti?ng Anh nghi v?n: Chase | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Simulation System,Simulation Hệ thống,C?n ti?ng Anh nghi v?n: Simulation | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Voss,Voss,C?n ti?ng Anh nghi v?n: Voss | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Tianhu,Tianhu,C?n ti?ng Anh nghi v?n: Tianhu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Qingning,Qingning,C?n ti?ng Anh nghi v?n: Qingning | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Baisong,Baisong,C?n ti?ng Anh nghi v?n: Baisong | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Xinxin,Xinxin,C?n ti?ng Anh nghi v?n: Xinxin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Qixian,Qixian,C?n ti?ng Anh nghi v?n: Qixian | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Xinle,Xinle,C?n ti?ng Anh nghi v?n: Xinle | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Mingcai,Mingcai,C?n ti?ng Anh nghi v?n: Mingcai | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Weishu,Weishu,C?n ti?ng Anh nghi v?n: Weishu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Dongpo,Dongpo,C?n ti?ng Anh nghi v?n: Dongpo | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Magistrate,Magistrate,C?n ti?ng Anh nghi v?n: Magistrate | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Dami,Dami,C?n ti?ng Anh nghi v?n: Dami | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Shuyun,Shuyun,C?n ti?ng Anh nghi v?n: Shuyun | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Zhuyao,Zhuyao,C?n ti?ng Anh nghi v?n: Zhuyao | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Yangzhou,Yangzhou,C?n ti?ng Anh nghi v?n: Yangzhou | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Qiuyan,Qiuyan,C?n ti?ng Anh nghi v?n: Qiuyan | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Erzhen,Erzhen,C?n ti?ng Anh nghi v?n: Erzhen | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Huanxing,Huanxing,C?n ti?ng Anh nghi v?n: Huanxing | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Chenpi,Chenpi,C?n ti?ng Anh nghi v?n: Chenpi | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Shuhong,Shuhong,C?n ti?ng Anh nghi v?n: Shuhong | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Benetti,Benetti,C?n ti?ng Anh nghi v?n: Benetti | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Ponte,Ponte,C?n ti?ng Anh nghi v?n: Ponte | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Giordano,Giordano,C?n ti?ng Anh nghi v?n: Giordano | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Fenrico's Voice,Fenrico's Giọng nói,C?n ti?ng Anh nghi v?n: Fenrico's | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Marino,Marino,C?n ti?ng Anh nghi v?n: Marino | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"""Whispers""","""Whispers""",C?n ti?ng Anh nghi v?n: Whispers | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Research Sample,Nghiên cứu Sample,C?n ti?ng Anh nghi v?n: Sample | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Aeschylus,Aeschylus,C?n ti?ng Anh nghi v?n: Aeschylus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Donnis,Donnis,C?n ti?ng Anh nghi v?n: Donnis | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"""Triss""","""Triss""",C?n ti?ng Anh nghi v?n: Triss | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Triss,Triss,C?n ti?ng Anh nghi v?n: Triss | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"""Donnis""","""Donnis""",C?n ti?ng Anh nghi v?n: Donnis | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"""Aeschylus""","""Aeschylus""",C?n ti?ng Anh nghi v?n: Aeschylus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"""Phrolova""","""Phrolova""",C?n ti?ng Anh nghi v?n: Phrolova | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Avidius,Avidius,C?n ti?ng Anh nghi v?n: Avidius | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Cartethyia,Cartethyia,C?n ti?ng Anh nghi v?n: Cartethyia | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Leah,Leah,C?n ti?ng Anh nghi v?n: Leah | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Melissa,Melissa,C?n ti?ng Anh nghi v?n: Melissa | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Luneau,Luneau,C?n ti?ng Anh nghi v?n: Luneau | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Noemie,Noemie,C?n ti?ng Anh nghi v?n: Noemie | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
"""Leah""","""Leah""",C?n ti?ng Anh nghi v?n: Leah | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Nestor,Nestor,C?n ti?ng Anh nghi v?n: Nestor | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Hunter,Hunter,C?n ti?ng Anh nghi v?n: Hunter | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Cato,Cato,C?n ti?ng Anh nghi v?n: Cato | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Viktor,Viktor,C?n ti?ng Anh nghi v?n: Viktor | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Butler,Butler,C?n ti?ng Anh nghi v?n: Butler | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
{message} Sigrika,{message} Sigrika,C?n ti?ng Anh nghi v?n: Sigrika | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
{message} Lynae,{message} Lynae,C?n ti?ng Anh nghi v?n: Lynae | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Lucilla,Lucilla,C?n ti?ng Anh nghi v?n: Lucilla | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Xiaoshu,Xiaoshu,C?n ti?ng Anh nghi v?n: Xiaoshu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Xiaoheng,Xiaoheng,C?n ti?ng Anh nghi v?n: Xiaoheng | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Encore?,Encore?,C?n ti?ng Anh nghi v?n: Encore | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Libai,Libai,C?n ti?ng Anh nghi v?n: Libai | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Zhuifeng,Zhuifeng,C?n ti?ng Anh nghi v?n: Zhuifeng | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Shouye,Shouye,C?n ti?ng Anh nghi v?n: Shouye | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Protagonist,Protagonist,C?n ti?ng Anh nghi v?n: Protagonist | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Dufu,Dufu,C?n ti?ng Anh nghi v?n: Dufu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Shiying,Shiying,C?n ti?ng Anh nghi v?n: Shiying | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Pijin,Pijin,C?n ti?ng Anh nghi v?n: Pijin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Yimeng,Yimeng,C?n ti?ng Anh nghi v?n: Yimeng | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Yujin,Yujin,C?n ti?ng Anh nghi v?n: Yujin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Liuhuo,Liuhuo,C?n ti?ng Anh nghi v?n: Liuhuo | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Girl,Girl,C?n ti?ng Anh nghi v?n: Girl | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Yuechuan,Yuechuan,C?n ti?ng Anh nghi v?n: Yuechuan | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Hanmei,Hanmei,C?n ti?ng Anh nghi v?n: Hanmei | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Qingtang,Qingtang,C?n ti?ng Anh nghi v?n: Qingtang | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Youjin,Youjin,C?n ti?ng Anh nghi v?n: Youjin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Worker,Worker,C?n ti?ng Anh nghi v?n: Worker | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
Shang,Shang,C?n ti?ng Anh nghi v?n: Shang | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 13.0
