en_source,vn_translate,loi_du_doan
The Dustbound's Trial,The Dustbound's Trial,C?n ti?ng Anh nghi v?n: Dustbound's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Dustbound's Trial,The Dustbound's Trial,C?n ti?ng Anh nghi v?n: Dustbound's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Nightmare's Trial,The Nightmare's Trial,C?n ti?ng Anh nghi v?n: Nightmare's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Nightmare's Trial,The Nightmare's Trial,C?n ti?ng Anh nghi v?n: Nightmare's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Nightmare's Trial,The Nightmare's Trial,C?n ti?ng Anh nghi v?n: Nightmare's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Nightmare's Trial,The Nightmare's Trial,C?n ti?ng Anh nghi v?n: Nightmare's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Ironheart's Trial,The Ironheart's Trial,C?n ti?ng Anh nghi v?n: Ironheart's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Splendent's Trial,The Splendent's Trial,C?n ti?ng Anh nghi v?n: Splendent's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Agrippa the Ironheart,Agrippa the Ironheart,C?n ti?ng Anh nghi v?n: Agrippa; Ironheart | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Liliania the Splendent,Liliania the Splendent,C?n ti?ng Anh nghi v?n: Liliania; Splendent | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Marcia the Lifespring,Marcia the Lifespring,C?n ti?ng Anh nghi v?n: Lifespring; Marcia | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Raul the Dustbound,Raul the Dustbound,C?n ti?ng Anh nghi v?n: Dustbound; Raul | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Gallus the Nightmare,Gallus the Nightmare,C?n ti?ng Anh nghi v?n: Gallus; Nightmare | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Furius the Firebrand,Furius the Firebrand,C?n ti?ng Anh nghi v?n: Firebrand; Furius | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Defeat Agrippa the Ironheart,Đánh bại Agrippa the Ironheart,C?n ti?ng Anh nghi v?n: Agrippa; Ironheart | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Defeat Gallus the Nightmare,Đánh Bại Gallus the Nightmare,C?n ti?ng Anh nghi v?n: Gallus; Nightmare | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Defeat Raul the Dustbound,Đánh Bại Raul the Dustbound,C?n ti?ng Anh nghi v?n: Dustbound; Raul | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Defeat Marcia the Lifespring,Đánh bại Marcia the Lifespring,C?n ti?ng Anh nghi v?n: Lifespring; Marcia | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Defeat Gallus the Nightmare,Đánh Bại Gallus the Nightmare,C?n ti?ng Anh nghi v?n: Gallus; Nightmare | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Armor Pen Resonator,Armor Pen Resonator,C?n ti?ng Anh nghi v?n: Armor; Pen | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Echo Summon: I,Echo Summon: I,C?n ti?ng Anh nghi v?n: I; Summon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Echo Summon: II,Echo Summon: II,C?n ti?ng Anh nghi v?n: II; Summon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Supply Chest: VI,Supply Chest: VI,C?n ti?ng Anh nghi v?n: Chest; Supply | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Lone Wolf,The Lone Wolf,C?n ti?ng Anh nghi v?n: Lone; Wolf | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Death Defier,The Death Defier,C?n ti?ng Anh nghi v?n: Death; Defier | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Echo Collection Unlocked,Echo Collection Unlocked,C?n ti?ng Anh nghi v?n: Collection; Unlocked | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Resonator Tactics Unlocked,Resonator Tactics Unlocked,C?n ti?ng Anh nghi v?n: Tactics; Unlocked | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Free Deck Building and Echo Setup Unlocked,Mở Khóa Xây Dựng Bộ Free Deck Và Thiết Lập Echo,C?n ti?ng Anh nghi v?n: Deck; Free | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Duelist's Path,The Duelist's Path,C?n ti?ng Anh nghi v?n: Duelist's; Path | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Supreme Echo Medal,Supreme Echo Medal,C?n ti?ng Anh nghi v?n: Medal; Supreme | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
How to obtain: Defeat Agrippa the Ironheart,Cách nhận: Đánh bại Agrippa the Ironheart,C?n ti?ng Anh nghi v?n: Agrippa; Ironheart | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
How to obtain: Defeat Liliania the Splendent,Cách nhận: Đánh bại Liliania the Splendent,C?n ti?ng Anh nghi v?n: Liliania; Splendent | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
How to obtain: Defeat Marcia the Lifespring,Cách nhận: Đánh bại Marcia the Lifespring,C?n ti?ng Anh nghi v?n: Lifespring; Marcia | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
How to obtain: Defeat Raul the Dustbound,Cách nhận: Đánh bại Raul the Dustbound,C?n ti?ng Anh nghi v?n: Dustbound; Raul | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
How to obtain: Defeat Gallus the Nightmare,Cách nhận: Đánh bại Gallus the Nightmare,C?n ti?ng Anh nghi v?n: Gallus; Nightmare | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
How to obtain: Defeat Furius the Firebrand,Cách nhận: Đánh bại Furius the Firebrand,C?n ti?ng Anh nghi v?n: Firebrand; Furius | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
How to obtain: Obtain a record high of 500 Fame Flags,Cách nhận: Đạt kỷ lục cao nhất 500 Fame Flags,C?n ti?ng Anh nghi v?n: Fame; Flags | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"How to obtain: Obtain a record high of 1,000 Fame Flags",Cách nhận: Đạt kỷ lục cao nhất 1.000 Fame Flags,C?n ti?ng Anh nghi v?n: Fame; Flags | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"How to obtain: Obtain a record high of 1,600 Fame Flags",Cách nhận: Đạt kỷ lục cao nhất 1.600 Fame Flags,C?n ti?ng Anh nghi v?n: Fame; Flags | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Defeat Marcia the Lifespring to unlock,Đánh bại Marcia the Lifespring để mở khóa,C?n ti?ng Anh nghi v?n: Lifespring; Marcia | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Defeat Raul the Dustbound to unlock,Đánh bại Raul the Dustbound để mở khóa,C?n ti?ng Anh nghi v?n: Dustbound; Raul | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Defeat Liliania the Splendent to unlock,Đánh bại Liliania the Splendent để mở khóa,C?n ti?ng Anh nghi v?n: Liliania; Splendent | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Defeat Marcia the Lifespring to unlock,Đánh bại Marcia the Lifespring để mở khóa,C?n ti?ng Anh nghi v?n: Lifespring; Marcia | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Defeat Gallus the Nightmare to unlock,Đánh bại Gallus the Nightmare để mở khóa,C?n ti?ng Anh nghi v?n: Gallus; Nightmare | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Defeat Gallus the Nightmare to unlock,Đánh bại Gallus the Nightmare để mở khóa,C?n ti?ng Anh nghi v?n: Gallus; Nightmare | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Defeat Furius the Firebrand to unlock,Đánh bại Furius the Firebrand để mở khóa,C?n ti?ng Anh nghi v?n: Firebrand; Furius | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Defeat Furius the Firebrand to unlock,Đánh bại Furius the Firebrand để mở khóa,C?n ti?ng Anh nghi v?n: Firebrand; Furius | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Defeat Raul the Dustbound to unlock,Đánh bại Raul the Dustbound để mở khóa,C?n ti?ng Anh nghi v?n: Dustbound; Raul | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Manage Owned Echoes,Manage Owned Echoes,C?n ti?ng Anh nghi v?n: Manage; Owned | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Defeat Agrippa the Ironheart to unlock,Đánh bại Agrippa the Ironheart để mở khóa,C?n ti?ng Anh nghi v?n: Agrippa; Ironheart | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Sonance Casket: Septimont,Sonance Casket: Septimont,C?n ti?ng Anh nghi v?n: Casket; Sonance | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Perfect Gap,The Perfect Gap,C?n ti?ng Anh nghi v?n: Gap; Perfect | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Insufficient Sim Credits,Insufficient Sim Creditss,C?n ti?ng Anh nghi v?n: Insufficient; Sim | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Elite Tacet Discords,Elite Tacet Discords,C?n ti?ng Anh nghi v?n: Discords; Elite | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Dangerous Tacet Discords,Dangerous Tacet Discords,C?n ti?ng Anh nghi v?n: Dangerous; Discords | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Hologram Echo: Drake,Hologram Echo: Drake,C?n ti?ng Anh nghi v?n: Drake; Hologram | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Hologram Echo: Junrock,Hologram Echo: Junrock,C?n ti?ng Anh nghi v?n: Hologram; Junrock | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Hologram Echo: Hoartoise,Hologram Echo: Hoartoise,C?n ti?ng Anh nghi v?n: Hoartoise; Hologram | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Hologram Echo: Puff,Hologram Echo: Puff,C?n ti?ng Anh nghi v?n: Hologram; Puff | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"""TD Slayer"" Coupon","""TD Slayer"" Coupon",C?n ti?ng Anh nghi v?n: Coupon; Slayer | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Elite Tacet Discords imminent,Elite Tacet Discords sắp xuất hiện,C?n ti?ng Anh nghi v?n: Discords; Elite | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Tacet Discord Wave not configured,Tacet Discord Wave chưa được cấu hình,C?n ti?ng Anh nghi v?n: Discord; Wave | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Combat Machine entity not found in grid system,Không tìm thấy thực thể Combat Machine trong hệ thống lưới,C?n ti?ng Anh nghi v?n: Combat; Machine | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Cannot repeatedly equip the same Combat Machine,Không thể trang bị lại cùng một Combat Machine,C?n ti?ng Anh nghi v?n: Combat; Machine | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Necessary Combat Machine not equipped,Chưa trang bị Combat Machine cần thiết,C?n ti?ng Anh nghi v?n: Combat; Machine | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Insufficient Sim Credits,Insufficient Sim Creditss,C?n ti?ng Anh nghi v?n: Insufficient; Sim | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Sim Credit payment failed,Thanh toán Sim Credit thất bại,C?n ti?ng Anh nghi v?n: Credit; Sim | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Combat Machine deployment cap reached,Đã đạt giới hạn triển khai Combat Machine,C?n ti?ng Anh nghi v?n: Combat; Machine | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Resonator Ascension Planner,Resonator Ascension Planner,C?n ti?ng Anh nghi v?n: Ascension; Planner | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Runaway: Easy,The Runaway: Easy,C?n ti?ng Anh nghi v?n: Easy; Runaway | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Runaway: Expert,The Runaway: Expert,C?n ti?ng Anh nghi v?n: Expert; Runaway | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Lister the Tormentor,Lister the Tormentor,C?n ti?ng Anh nghi v?n: Lister; Tormentor | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"The ""Flawless"" Hero","The ""Flawless"" Hero",C?n ti?ng Anh nghi v?n: Flawless; Hero | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Lahai-Roi: Chapter III,Lahai-Roi: Chương III,C?n ti?ng Anh nghi v?n: III; Lahai | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Insufficient Sim Credits,Insufficient Sim Creditss,C?n ti?ng Anh nghi v?n: Insufficient; Sim | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Terminal Swap Success,Terminal Swap Success,C?n ti?ng Anh nghi v?n: Success; Swap | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Long-Range Strike,Long-Range Strike,C?n ti?ng Anh nghi v?n: Range; Strike | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Over the Horizon,Over the Horizon,C?n ti?ng Anh nghi v?n: Horizon; Over | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Insufficient Sim Credits,Insufficient Sim Creditss,C?n ti?ng Anh nghi v?n: Insufficient; Sim | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Black Shores,The Black Shores,C?n ti?ng Anh nghi v?n: Black; Shores | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Lee Da Seul,Lee Da Seul,C?n ti?ng Anh nghi v?n: Lee; Seul | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Let Me See,Let Me See,C?n ti?ng Anh nghi v?n: Let; See | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Let Me See,Let Me See,C?n ti?ng Anh nghi v?n: Let; See | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Multi-Stage DMG,Multi-Stage DMG,C?n ti?ng Anh nghi v?n: Multi; Stage | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Single-Stage DMG,Single-Stage DMG,C?n ti?ng Anh nghi v?n: Single; Stage | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Take down the Namipon Poster in Sakura Quarter,Gỡ bỏ áp phích Namipon tại Khu phố Sakura,C?n ti?ng Anh nghi v?n: Namipon; Sakura | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Take down the Namipon Poster in the Honami Convention Center,Gỡ bỏ áp phích Namipon tại Trung tâm Hội nghị Honami,C?n ti?ng Anh nghi v?n: Honami; Namipon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Take down the Namipon Poster in the Meishin Passageway,Gỡ bỏ áp phích Namipon tại Hành lang Meishin,C?n ti?ng Anh nghi v?n: Meishin; Namipon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Reach 5,000 Journey Points in ""Starpaths Intertwined""","Đạt 5.000 Điểm Hành trình trong ""Starpaths Intertwined""",C?n ti?ng Anh nghi v?n: Intertwined; Starpaths | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Reach 5,000 Journey Points in ""Starpaths Intertwined""","Đạt 5.000 Điểm Hành trình trong ""Starpaths Intertwined""",C?n ti?ng Anh nghi v?n: Intertwined; Starpaths | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
[Storyline] Storyline assets in Roya Frostlands and other areas,[Cốt truyện] Tài nguyên cốt truyện ở Roya Frostlands và các khu vực khác,C?n ti?ng Anh nghi v?n: Frostlands; Roya | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
[Storyline] Storyline assets in the Dimmr Plains and other areas,[Cốt truyện] Tài nguyên cốt truyện ở Dimmr Plains và các khu vực khác,C?n ti?ng Anh nghi v?n: Dimmr; Plains | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Roya Frostlands and other areas,Roya Frostlands và các khu vực khác,C?n ti?ng Anh nghi v?n: Frostlands; Roya | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Forte Circuit: I,Forte Circuit: I,C?n ti?ng Anh nghi v?n: Circuit; I | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Forte Circuit: II,Forte Circuit: II,C?n ti?ng Anh nghi v?n: Circuit; II | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Sunken Abyss: Glacio,Sunken Abyss: Glacio,C?n ti?ng Anh nghi v?n: Abyss; Sunken | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Flaming Remnants: Glacio,Flaming Remnants: Glacio,C?n ti?ng Anh nghi v?n: Flaming; Remnants | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Doomed Wasteland: Glacio,Doomed Wasteland: Glacio,C?n ti?ng Anh nghi v?n: Doomed; Wasteland | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Black Shores,The Black Shores,C?n ti?ng Anh nghi v?n: Black; Shores | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Show Special Echoes,Show Special Echoes,C?n ti?ng Anh nghi v?n: Show; Special | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Show Ordinary Echoes,Show Ordinary Echoes,C?n ti?ng Anh nghi v?n: Ordinary; Show | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Reach 4,800 points in Stability Accords",Đạt 4.800 điểm trong Stability Accords,C?n ti?ng Anh nghi v?n: Accords; Stability | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
