en_source,vn_translate,loi_du_doan
Immobilize Pilgrim's Shell: {挑战2统计}/1,Immobilize Pilgrim's Shell: {挑战2统计}/1,C?n ti?ng Anh nghi v?n: Immobilize; Pilgrim's; Shell | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Moon-Chasing Festival,Moon-Chasing Festival,C?n ti?ng Anh nghi v?n: Chasing; Festival; Moon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
By Moon's Grace,By Moon's Grace,C?n ti?ng Anh nghi v?n: By; Grace; Moon's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Riccioli Voyage Log,Riccioli Voyage Log,C?n ti?ng Anh nghi v?n: Log; Riccioli; Voyage | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Riccioli Voyage Log,Riccioli Voyage Log,C?n ti?ng Anh nghi v?n: Log; Riccioli; Voyage | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Childish Sketch,A Childish Sketch,C?n ti?ng Anh nghi v?n: A; Childish; Sketch | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Unknown Master's Journal,Unknown Master's Journal,C?n ti?ng Anh nghi v?n: Journal; Master's; Unknown | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tattered Personal Memo,Tattered Personal Memo,C?n ti?ng Anh nghi v?n: Memo; Personal; Tattered | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Aircraft Accident Report,Aircraft Accident Report,C?n ti?ng Anh nghi v?n: Accident; Aircraft; Report | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Untitled Family Letters,Untitled Family Letters,C?n ti?ng Anh nghi v?n: Family; Letters; Untitled | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Loong Bun Ticket,Loong Bun Ticket,C?n ti?ng Anh nghi v?n: Bun; Loong; Ticket | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Secret Diary - I,Secret Diary - I,C?n ti?ng Anh nghi v?n: Diary; I; Secret | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Secret Diary - II,Secret Diary - II,C?n ti?ng Anh nghi v?n: Diary; II; Secret | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Paintings under restoration,Paintings under restoration,C?n ti?ng Anh nghi v?n: Paintings; restoration; under | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Restoration of records,Restoration of records,C?n ti?ng Anh nghi v?n: of; records; Restoration | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Logs of Hazy Depths Prospecting Team, I",Nhật Ký Đội Thăm Dò Hazy Depths I,C?n ti?ng Anh nghi v?n: Depths; Hazy; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Logs of Hazy Depths Prospecting Team, II",Nhật Ký Đội Thăm Dò Hazy Depths II,C?n ti?ng Anh nghi v?n: Depths; Hazy; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Logs of Hazy Depths Prospecting Team, III",Nhật Ký Đội Thăm Dò Hazy Depths III,C?n ti?ng Anh nghi v?n: Depths; Hazy; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Equipment Maintenance Log,Equipment Maintenance Log,C?n ti?ng Anh nghi v?n: Equipment; Log; Maintenance | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tune of Rocks,Tune of Rocks,C?n ti?ng Anh nghi v?n: of; Rocks; Tune | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
AL XXXX Cloudy,AL XXXX Cloudy,C?n ti?ng Anh nghi v?n: AL; Cloudy; XXXX | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Notice on Safety Production,Thông báo on Safety Production,C?n ti?ng Anh nghi v?n: on; Production; Safety | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lollo Logistics Recruitment Notice,Lollo Logistics Recruitment Thông báo,C?n ti?ng Anh nghi v?n: Logistics; Lollo; Recruitment | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Obsolete Road Sign,Obsolete Road Sign,C?n ti?ng Anh nghi v?n: Obsolete; Road; Sign | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sea Watch Notes,Sea Watch Notes,C?n ti?ng Anh nghi v?n: Notes; Sea; Watch | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Electricity Safety Poster,Electricity Safety Poster,C?n ti?ng Anh nghi v?n: Electricity; Poster; Safety | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Exile's Monthly Log,Exile's Monthly Log,C?n ti?ng Anh nghi v?n: Exile's; Log; Monthly | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Unsigned Diary: I,Unsigned Diary: I,C?n ti?ng Anh nghi v?n: Diary; I; Unsigned | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Unsigned Diary: II,Unsigned Diary: II,C?n ti?ng Anh nghi v?n: Diary; II; Unsigned | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Unsigned Diary: III,Unsigned Diary: III,C?n ti?ng Anh nghi v?n: Diary; III; Unsigned | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Windy Lighthouse Journal,Windy Lighthouse Journal,C?n ti?ng Anh nghi v?n: Journal; Lighthouse; Windy | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Gulpuff Relay Leaderboard,Gulpuff Relay Leaderboard,C?n ti?ng Anh nghi v?n: Gulpuff; Leaderboard; Relay | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
List of CampPersonnel,List of CampPersonnel,C?n ti?ng Anh nghi v?n: CampPersonnel; List; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Camp Member Standing:,Camp Member Standing:,C?n ti?ng Anh nghi v?n: Camp; Member; Standing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Code of Conduct,Code of Conduct,C?n ti?ng Anh nghi v?n: Code; Conduct; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Port Business Advertisement,Port Business Advertisement,C?n ti?ng Anh nghi v?n: Advertisement; Business; Port | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Notice on Safety Production,Thông báo on Safety Production,C?n ti?ng Anh nghi v?n: on; Production; Safety | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lollo Logistics Recruitment Notice,Lollo Logistics Recruitment Thông báo,C?n ti?ng Anh nghi v?n: Logistics; Lollo; Recruitment | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Logs of Hazy Depths Prospecting Team, I",Nhật Ký Đội Thăm Dò Hazy Depths I,C?n ti?ng Anh nghi v?n: Depths; Hazy; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Logs of Hazy Depths Prospecting Team, II",Nhật Ký Đội Thăm Dò Hazy Depths II,C?n ti?ng Anh nghi v?n: Depths; Hazy; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Logs of Hazy Depths Prospecting Team, III",Nhật Ký Đội Thăm Dò Hazy Depths III,C?n ti?ng Anh nghi v?n: Depths; Hazy; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Equipment maintenance records,Equipment maintenance records,C?n ti?ng Anh nghi v?n: Equipment; maintenance; records | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tune of Rocks,Tune of Rocks,C?n ti?ng Anh nghi v?n: of; Rocks; Tune | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Person's Diary,A Person's Diary,C?n ti?ng Anh nghi v?n: A; Diary; Person's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Battlefield Record 6010: Autumn,Battlefield Record 6010: Autumn,C?n ti?ng Anh nghi v?n: Autumn; Battlefield; Record | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Battlefield Record 6010: Reorganization,Battlefield Record 6010: Reorganization,C?n ti?ng Anh nghi v?n: Battlefield; Record; Reorganization | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Port Business Advertisement,Port Business Advertisement,C?n ti?ng Anh nghi v?n: Advertisement; Business; Port | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Unnamed Wish List,Unnamed Wish List,C?n ti?ng Anh nghi v?n: List; Unnamed; Wish | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Experiment Memo SY-A038,Experiment Memo SY-A038,C?n ti?ng Anh nghi v?n: Experiment; Memo; SY | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Special Operation Diary D12547,Special Operation Diary D12547,C?n ti?ng Anh nghi v?n: Diary; Operation; Special | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Refreshment Tea Distribution Notice,Refreshment Tea Distribution Thông báo,C?n ti?ng Anh nghi v?n: Distribution; Refreshment; Tea | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
CSC Research Memo I,CSC Nghiên cứu Memo I,C?n ti?ng Anh nghi v?n: CSC; I; Memo | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
CSC Research Memo II,CSC Nghiên cứu Memo II,C?n ti?ng Anh nghi v?n: CSC; II; Memo | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
<i>Hongzhen Chronicle</i> Volume XIX: Major Events I,<i>Biên Niên Sử Hồng Trấn</i> Quyển XIX: Events Trọng Đại I,C?n ti?ng Anh nghi v?n: Events; I; XIX | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
<i>Hongzhen Chronicle</i> Volume XIX: Major Events II,<i>Biên Niên Sử Hồng Trấn</i> Quyển XIX: Events Trọng Đại II,C?n ti?ng Anh nghi v?n: Events; II; XIX | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Hongzhen Township Journal 3,Hongzhen Township Journal 3,C?n ti?ng Anh nghi v?n: Hongzhen; Journal; Township | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Hongzhen Township Journal 4,Hongzhen Township Journal 4,C?n ti?ng Anh nghi v?n: Hongzhen; Journal; Township | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Hongzhen Township Journal 5,Hongzhen Township Journal 5,C?n ti?ng Anh nghi v?n: Hongzhen; Journal; Township | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Performance Invitation Letter,Performance Invitation Letter,C?n ti?ng Anh nghi v?n: Invitation; Letter; Performance | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Exiles' Communication Records,Exiles' Communication Records,C?n ti?ng Anh nghi v?n: Communication; Exiles'; Records | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Researcher's Diary,A Researcher's Diary,C?n ti?ng Anh nghi v?n: A; Diary; Researcher's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Researcher's Diary,A Researcher's Diary,C?n ti?ng Anh nghi v?n: A; Diary; Researcher's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Researcher's Diary,A Researcher's Diary,C?n ti?ng Anh nghi v?n: A; Diary; Researcher's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Traces of Mt. Firmament V,Traces Núi Firmament V,C?n ti?ng Anh nghi v?n: Firmament; Traces; V | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Traces of Mt. Firmament II,Traces Núi Firmament II,C?n ti?ng Anh nghi v?n: Firmament; II; Traces | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Traces of Mt. Firmament VII,Traces Núi Firmament VII,C?n ti?ng Anh nghi v?n: Firmament; Traces; VII | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Traces of Mt. Firmament IX,Traces Núi Firmament IX,C?n ti?ng Anh nghi v?n: Firmament; IX; Traces | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
An Adventurer's Diary,An Adventurer's Diary,C?n ti?ng Anh nghi v?n: Adventurer's; An; Diary | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Ore Transaction Record,Ore Transaction Record,C?n ti?ng Anh nghi v?n: Ore; Record; Transaction | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Private Journal V,Private Journal V,C?n ti?ng Anh nghi v?n: Journal; Private; V | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Riddle Master's Hints,Riddle Master's Hints,C?n ti?ng Anh nghi v?n: Hints; Master's; Riddle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Stellar Matrix Analysis System Report [RC-15407],Report Hệ thống Phân tích Stellar Matrix [RC-15407],C?n ti?ng Anh nghi v?n: Matrix; Report; Stellar | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Researcher's Notes,A Researcher's Notes,C?n ti?ng Anh nghi v?n: A; Notes; Researcher's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Oracle of Quercus,Oracle of Quercus,C?n ti?ng Anh nghi v?n: of; Oracle; Quercus | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Averardo Vault Important Notice (1),Averardo Vault Important Thông báo (1),C?n ti?ng Anh nghi v?n: Averardo; Important; Vault | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Averardo Vault Important Notice (2),Averardo Vault Important Thông báo (2),C?n ti?ng Anh nghi v?n: Averardo; Important; Vault | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Averardo Vault Important Notice (3),Averardo Vault Important Thông báo (3),C?n ti?ng Anh nghi v?n: Averardo; Important; Vault | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Vault Promotional Flyer,Vault Promotional Flyer,C?n ti?ng Anh nghi v?n: Flyer; Promotional; Vault | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Notice of Auction Suspension,Thông báo of Auction Suspension,C?n ti?ng Anh nghi v?n: Auction; of; Suspension | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sheet of Paper,Sheet of Paper,C?n ti?ng Anh nghi v?n: of; Paper; Sheet | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Troupe of Fools,Troupe of Fools,C?n ti?ng Anh nghi v?n: Fools; of; Troupe | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Crimson Curtain Call,Crimson Curtain Call,C?n ti?ng Anh nghi v?n: Call; Crimson; Curtain | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Ordinary Wine List,Ordinary Wine List,C?n ti?ng Anh nghi v?n: List; Ordinary; Wine | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Perfect Curtain Call,Perfect Curtain Call,C?n ti?ng Anh nghi v?n: Call; Curtain; Perfect | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Perfect Curtain Call,Perfect Curtain Call,C?n ti?ng Anh nghi v?n: Call; Curtain; Perfect | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
<i>Averardo Vault Brochure</i>,<i>Averardo Vault Brochure</i>,C?n ti?ng Anh nghi v?n: Averardo; Brochure; Vault | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
<i>A Transgressor's Transcript</i>,<i>A Transgressor's Transcript</i>,C?n ti?ng Anh nghi v?n: A; Transcript; Transgressor's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Data File Segment,Data File Segment,C?n ti?ng Anh nghi v?n: Data; File; Segment | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Fisalia Knight's Letter,Fisalia Knight's Letter,C?n ti?ng Anh nghi v?n: Fisalia; Knight's; Letter | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Small Paper Slip,Small Paper Slip,C?n ti?ng Anh nghi v?n: Paper; Slip; Small | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Small Paper Slip,Small Paper Slip,C?n ti?ng Anh nghi v?n: Paper; Slip; Small | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Small Paper Slip,Small Paper Slip,C?n ti?ng Anh nghi v?n: Paper; Slip; Small | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Small Paper Slip,Small Paper Slip,C?n ti?ng Anh nghi v?n: Paper; Slip; Small | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Small Paper Slip,Small Paper Slip,C?n ti?ng Anh nghi v?n: Paper; Slip; Small | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"""Scattered Journal Pages""","""Scattered Journal Pages""",C?n ti?ng Anh nghi v?n: Journal; Pages; Scattered | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
