en_source,vn_translate,loi_du_doan
A Whispering Melody,A Whispering Melody,C?n ti?ng Anh nghi v?n: A; Melody; Whispering | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Encore's Wonderous Adventures,Encore's Wonderous Adventures,C?n ti?ng Anh nghi v?n: Adventures; Encore's; Wonderous | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lumi's Delivery Service,Lumi's Delivery Service,C?n ti?ng Anh nghi v?n: Delivery; Lumi's; Service | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Godlike Power I,Godlike Power I,C?n ti?ng Anh nghi v?n: Godlike; I; Power | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Godlike Power II,Godlike Power II,C?n ti?ng Anh nghi v?n: Godlike; II; Power | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Godlike Power III,Godlike Power III,C?n ti?ng Anh nghi v?n: Godlike; III; Power | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Godlike Power IV,Godlike Power IV,C?n ti?ng Anh nghi v?n: Godlike; IV; Power | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Godlike Power V,Godlike Power V,C?n ti?ng Anh nghi v?n: Godlike; Power; V | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Hard Work Pays Off,Khó Work Pays Off,C?n ti?ng Anh nghi v?n: Off; Pays; Work | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Forged In Fire,Forged In Fire,C?n ti?ng Anh nghi v?n: Fire; Forged; In | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Broken Windows Theory,Broken Windows Theory,C?n ti?ng Anh nghi v?n: Broken; Theory; Windows | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Goodnight, Snip Snaps","Goodnight, Snip Snaps",C?n ti?ng Anh nghi v?n: Goodnight; Snaps; Snip | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Silent Tick,A Silent Tick,C?n ti?ng Anh nghi v?n: A; Silent; Tick | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Deadly Weight,A Deadly Weight,C?n ti?ng Anh nghi v?n: A; Deadly; Weight | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Selective Attendance Protocol,Selective Attendance Protocol,C?n ti?ng Anh nghi v?n: Attendance; Protocol; Selective | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Final Plan Approved,Final Plan Approved,C?n ti?ng Anh nghi v?n: Approved; Final; Plan | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
High-Rise Invasion,High-Rise Invasion,C?n ti?ng Anh nghi v?n: High; Invasion; Rise | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Shadows Die Once,Shadows Die Once,C?n ti?ng Anh nghi v?n: Die; Once; Shadows | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
All Battles Won I,Tất cả Battles Won I,C?n ti?ng Anh nghi v?n: Battles; I; Won | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Beginner Pet Raising,Beginner Pet Raising,C?n ti?ng Anh nghi v?n: Beginner; Pet; Raising | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
All Battles Won II,Tất cả Battles Won II,C?n ti?ng Anh nghi v?n: Battles; II; Won | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
All Battles Won III,Tất cả Battles Won III,C?n ti?ng Anh nghi v?n: Battles; III; Won | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Practice Makes Perfect,Practice Makes Perfect,C?n ti?ng Anh nghi v?n: Makes; Perfect; Practice | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Golden Legend I,Golden Legend I,C?n ti?ng Anh nghi v?n: Golden; I; Legend | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Golden Legend II,Golden Legend II,C?n ti?ng Anh nghi v?n: Golden; II; Legend | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Golden Legend III,Golden Legend III,C?n ti?ng Anh nghi v?n: Golden; III; Legend | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Amazing Chemical Reaction,Amazing Chemical Reaction,C?n ti?ng Anh nghi v?n: Amazing; Chemical; Reaction | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Gray Ridge Bull,Gray Ridge Bull,C?n ti?ng Anh nghi v?n: Bull; Gray; Ridge | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Silver-Banded Lizard,Silver-Banded Lizard,C?n ti?ng Anh nghi v?n: Banded; Lizard; Silver | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Green Pit Lizard,Green Pit Lizard,C?n ti?ng Anh nghi v?n: Green; Lizard; Pit | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black-Striped Frog,Black-Striped Frog,C?n ti?ng Anh nghi v?n: Black; Frog; Striped | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Red Feather Butterfly,Red Feather Butterfly,C?n ti?ng Anh nghi v?n: Butterfly; Feather; Red | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Blue Feather Butterfly,Blue Feather Butterfly,C?n ti?ng Anh nghi v?n: Blue; Butterfly; Feather | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Golden-ringed Dragonfly,Golden-ringed Dragonfly,C?n ti?ng Anh nghi v?n: Dragonfly; Golden; ringed | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Gray Crested Gull,Gray Crested Gull,C?n ti?ng Anh nghi v?n: Crested; Gray; Gull | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Guardian Wall Model,Guardian Wall Model,C?n ti?ng Anh nghi v?n: Guardian; Model; Wall | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Firmament Weiqi Manual,Firmament Weiqi Manual,C?n ti?ng Anh nghi v?n: Firmament; Manual; Weiqi | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Flame-Soaked Cloth,Flame-Soaked Cloth,C?n ti?ng Anh nghi v?n: Cloth; Flame; Soaked | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Wooly-Counting Game,Wooly-Counting Game,C?n ti?ng Anh nghi v?n: Counting; Game; Wooly | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Fist of Thunder,Fist of Thunder,C?n ti?ng Anh nghi v?n: Fist; of; Thunder | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Breath of Winds,Breath of Winds,C?n ti?ng Anh nghi v?n: Breath; of; Winds | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Blossom of Slashes,Blossom of Slashes,C?n ti?ng Anh nghi v?n: Blossom; of; Slashes | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Park Ha Jin,Park Ha Jin,C?n ti?ng Anh nghi v?n: Ha; Jin; Park | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Shin Na Ri,Shin Na Ri,C?n ti?ng Anh nghi v?n: Na; Ri; Shin | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Auspicious ""Lion Head""","Auspicious ""Lion Head""",C?n ti?ng Anh nghi v?n: Auspicious; Head; Lion | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Helpful Lion,A Helpful Lion,C?n ti?ng Anh nghi v?n: A; Helpful; Lion | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Lone Journey,A Lone Journey,C?n ti?ng Anh nghi v?n: A; Journey; Lone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Quid Pro Quo,Quid Pro Quo,C?n ti?ng Anh nghi v?n: Pro; Quid; Quo | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Popular Boxing Gym,Popular Boxing Gym,C?n ti?ng Anh nghi v?n: Boxing; Gym; Popular | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Fair Exchange,A Fair Exchange,C?n ti?ng Anh nghi v?n: A; Exchange; Fair | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Perfect Duo,A Perfect Duo,C?n ti?ng Anh nghi v?n: A; Duo; Perfect | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Innocent Heart's Valor,Innocent Heart's Valor,C?n ti?ng Anh nghi v?n: Heart's; Innocent; Valor | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Work-life Balance,Work-life Balance,C?n ti?ng Anh nghi v?n: Balance; life; Work | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Her Rare Anger,Her Rare Anger,C?n ti?ng Anh nghi v?n: Anger; Her; Rare | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dodge Counter: I,Dodge Counter: I,C?n ti?ng Anh nghi v?n: Counter; Dodge; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dodge Counter: II,Dodge Counter: II,C?n ti?ng Anh nghi v?n: Counter; Dodge; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dodge Counter: III,Dodge Counter: III,C?n ti?ng Anh nghi v?n: Counter; Dodge; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dodge Counter: IV,Dodge Counter: IV,C?n ti?ng Anh nghi v?n: Counter; Dodge; IV | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dodge Counter: V,Dodge Counter: V,C?n ti?ng Anh nghi v?n: Counter; Dodge; V | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Strategic Parry: I,Strategic Parry: I,C?n ti?ng Anh nghi v?n: I; Parry; Strategic | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Strategic Parry: II,Strategic Parry: II,C?n ti?ng Anh nghi v?n: II; Parry; Strategic | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Strategic Parry: III,Strategic Parry: III,C?n ti?ng Anh nghi v?n: III; Parry; Strategic | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Strategic Parry: IV,Strategic Parry: IV,C?n ti?ng Anh nghi v?n: IV; Parry; Strategic | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Strategic Parry: V,Strategic Parry: V,C?n ti?ng Anh nghi v?n: Parry; Strategic; V | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Baby Viridblaze Saurian,Baby Viridblaze Saurian,C?n ti?ng Anh nghi v?n: Baby; Saurian; Viridblaze | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Violet-Feathered Heron,Violet-Feathered Heron,C?n ti?ng Anh nghi v?n: Feathered; Heron; Violet | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Cyan-Feathered Heron,Cyan-Feathered Heron,C?n ti?ng Anh nghi v?n: Cyan; Feathered; Heron | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Rupture Dreadmane Major,Rupture Dreadmane Major,C?n ti?ng Anh nghi v?n: Dreadmane; Major; Rupture | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Bell-Borne Geochelone,Bell-Borne Geochelone,C?n ti?ng Anh nghi v?n: Bell; Borne; Geochelone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
