en_source,vn_translate,loi_du_doan
Gray Crested Gull,Gray Crested Gull,C?n ti?ng Anh nghi v?n: Crested; Gray; Gull | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Gluttonous ""Big Cat""","Gluttonous ""Big Cat""",C?n ti?ng Anh nghi v?n: Big; Cat; Gluttonous | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Chest Mimic,Phantom: Chest Mimic,C?n ti?ng Anh nghi v?n: Chest; Mimic; Phantom | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"""Spear of Glory""","""Spear of Glory""",C?n ti?ng Anh nghi v?n: Glory; of; Spear | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Voidspawn: Nameless Explorer,Voidspawn: Nameless Explorer,C?n ti?ng Anh nghi v?n: Explorer; Nameless; Voidspawn | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Creeping Torchpine Needle,Creeping Torchpine Needle,C?n ti?ng Anh nghi v?n: Creeping; Needle; Torchpine | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
- Eyes of Resentment,- Eyes of Resentment,C?n ti?ng Anh nghi v?n: Eyes; of; Resentment | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Simulation Training Device,Simulation Training Device,C?n ti?ng Anh nghi v?n: Device; Simulation; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Voidspawn: Mining Reindeer,Voidspawn: Mining Reindeer,C?n ti?ng Anh nghi v?n: Mining; Reindeer; Voidspawn | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Open the Overflowing Picture Book,Mở cuốn *Overflowing Picture Book*,C?n ti?ng Anh nghi v?n: Book; Overflowing; Picture | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Contaminated Capsule Machine,Contaminated Capsule Machine,C?n ti?ng Anh nghi v?n: Capsule; Contaminated; Machine | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Stellar Orbit Beats,Stellar Orbit Beats,C?n ti?ng Anh nghi v?n: Beats; Orbit; Stellar | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Suspicious Ice Cube,Suspicious Ice Cube,C?n ti?ng Anh nghi v?n: Cube; Ice; Suspicious | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Premium Trophy Chest,Premium Trophy Chest,C?n ti?ng Anh nghi v?n: Chest; Premium; Trophy | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Voidspawn: Sabercat Reaver,Voidspawn: Sabercat Reaver,C?n ti?ng Anh nghi v?n: Reaver; Sabercat; Voidspawn | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Painted Mantis Shrimp,Painted Mantis Shrimp,C?n ti?ng Anh nghi v?n: Mantis; Painted; Shrimp | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Rogue: Inferno Rider,Rogue: Inferno Rider,C?n ti?ng Anh nghi v?n: Inferno; Rider; Rogue | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tacetite Fulminate: Group,Tacetite Fulminate: Group,C?n ti?ng Anh nghi v?n: Fulminate; Group; Tacetite | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Fanatic Shark Grunt,Fanatic Shark Grunt,C?n ti?ng Anh nghi v?n: Fanatic; Grunt; Shark | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Namipon Telephone Booth,Namipon Telephone Booth,C?n ti?ng Anh nghi v?n: Booth; Namipon; Telephone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
: Shadow of Resounding,Shadow of Resounding,C?n ti?ng Anh nghi v?n: of; Resounding; Shadow | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Chaotic Juncture: Ember,Chaotic Juncture: Ember,C?n ti?ng Anh nghi v?n: Chaotic; Ember; Juncture | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Safe Position Detection,Safe Position Detection,C?n ti?ng Anh nghi v?n: Detection; Position; Safe | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Nightmare: Lampylumen Myriad,Nightmare: Lampylumen Myriad,C?n ti?ng Anh nghi v?n: Lampylumen; Myriad; Nightmare | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Advanced Supply Chest,Advanced Supply Chest,C?n ti?ng Anh nghi v?n: Advanced; Chest; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Optical Path Articulator,Optical Path Articulator,C?n ti?ng Anh nghi v?n: Articulator; Optical; Path | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Strange White Cat,Strange White Cat,C?n ti?ng Anh nghi v?n: Cat; Strange; White | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Wrong Data Wall,Wrong Data Wall,C?n ti?ng Anh nghi v?n: Data; Wall; Wrong | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Small Golden Tree,Small Golden Tree,C?n ti?ng Anh nghi v?n: Golden; Small; Tree | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Exile Seeking Help,Exile Seeking Help,C?n ti?ng Anh nghi v?n: Exile; Help; Seeking | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Glowing Rocksteady Guardian,Glowing Rocksteady Guardian,C?n ti?ng Anh nghi v?n: Glowing; Guardian; Rocksteady | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Twin Lotus Seed,Twin Lotus Seed,C?n ti?ng Anh nghi v?n: Lotus; Seed; Twin | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mysterious Sea Chest,Mysterious Sea Chest,C?n ti?ng Anh nghi v?n: Chest; Mysterious; Sea | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Enter the Mind Dive Arcade,Vào Mind Dive Arcade,C?n ti?ng Anh nghi v?n: Arcade; Dive; Mind | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Strange Dark Tide trace,Dấu vết Strange Dark Tide kỳ lạ,C?n ti?ng Anh nghi v?n: Dark; Strange; Tide | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tactical Hologram: Ski,Tactical Hologram: Ski,C?n ti?ng Anh nghi v?n: Hologram; Ski; Tactical | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Exile Cooking Utensils,Exile Cooking Utensils,C?n ti?ng Anh nghi v?n: Cooking; Exile; Utensils | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Cuddle Wuddle,Phantom: Cuddle Wuddle,C?n ti?ng Anh nghi v?n: Cuddle; Phantom; Wuddle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Fanatic Shark Grunt,Fanatic Shark Grunt,C?n ti?ng Anh nghi v?n: Fanatic; Grunt; Shark | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Voidspawn: Thundering Mephis,Voidspawn: Thundering Mephis,C?n ti?ng Anh nghi v?n: Mephis; Thundering; Voidspawn | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Patch Bullet Launcher,Patch Bullet Launcher,C?n ti?ng Anh nghi v?n: Bullet; Launcher; Patch | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Voidspawn: Twin Nova,Voidspawn: Twin Nova,C?n ti?ng Anh nghi v?n: Nova; Twin; Voidspawn | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Nightmare: Mourning Aix,Nightmare: Mourning Aix,C?n ti?ng Anh nghi v?n: Aix; Mourning; Nightmare | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lollo Logistics Courier,Lollo Logistics Courier,C?n ti?ng Anh nghi v?n: Courier; Logistics; Lollo | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Care-Refusing Patient,Care-Refusing Patient,C?n ti?ng Anh nghi v?n: Care; Patient; Refusing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
KU-Money Exchange,KU-Money Exchange,C?n ti?ng Anh nghi v?n: Exchange; KU; Money | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom Sovereign Mitosis,Phantom Sovereign Mitosis,C?n ti?ng Anh nghi v?n: Mitosis; Phantom; Sovereign | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black Shores Consultant,Black Shores Consultant,C?n ti?ng Anh nghi v?n: Black; Consultant; Shores | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Advanced Supply Pack,Advanced Supply Pack,C?n ti?ng Anh nghi v?n: Advanced; Pack; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Young Dreadmane: Ice,Young Dreadmane: Ice,C?n ti?ng Anh nghi v?n: Dreadmane; Ice; Young | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tank Guardian: Dark,Tank Guardian: Dark,C?n ti?ng Anh nghi v?n: Dark; Guardian; Tank | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Sentry Construct,Phantom: Sentry Construct,C?n ti?ng Anh nghi v?n: Construct; Phantom; Sentry | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sound Capture Device,Sound Capture Device,C?n ti?ng Anh nghi v?n: Capture; Device; Sound | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Moon-Chasing Festival,Moon-Chasing Festival,C?n ti?ng Anh nghi v?n: Chasing; Festival; Moon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Gluttonous Chuubill Gulpy,Gluttonous Chuubill Gulpy,C?n ti?ng Anh nghi v?n: Chuubill; Gluttonous; Gulpy | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Blue Feather Butterfly,Blue Feather Butterfly,C?n ti?ng Anh nghi v?n: Blue; Butterfly; Feather | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Nightmare: Inferno Rider,Nightmare: Inferno Rider,C?n ti?ng Anh nghi v?n: Inferno; Nightmare; Rider | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Bell-Borne Geochelone,Bell-Borne Geochelone,C?n ti?ng Anh nghi v?n: Bell; Borne; Geochelone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Carapace: Engine Zero,Carapace: Engine Zero,C?n ti?ng Anh nghi v?n: Carapace; Engine; Zero | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant Organism: Chirpuff,Mutant Organism: Chirpuff,C?n ti?ng Anh nghi v?n: Chirpuff; Mutant; Organism | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Fae Ignis,Phantom: Fae Ignis,C?n ti?ng Anh nghi v?n: Fae; Ignis; Phantom | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Rider: Solari Blaze,Rider: Solari Blaze,C?n ti?ng Anh nghi v?n: Blaze; Rider; Solari | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Harvest Wonder Bubble,Harvest Wonder Bubble,C?n ti?ng Anh nghi v?n: Bubble; Harvest; Wonder | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Broken Spacetrek Explorer,Broken Spacetrek Explorer,C?n ti?ng Anh nghi v?n: Broken; Explorer; Spacetrek | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Hoartoise: Flashy Dance,Hoartoise: Flashy Dance,C?n ti?ng Anh nghi v?n: Dance; Flashy; Hoartoise | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dragon of Dirge,Dragon of Dirge,C?n ti?ng Anh nghi v?n: Dirge; Dragon; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Soundless Zone Ambience_Mainstory Exclusive,Soundless Zone Ambience_Mainstory Exclusive,C?n ti?ng Anh nghi v?n: Exclusive; Soundless; Zone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Bulletin Board: City,Bulletin Board: City,C?n ti?ng Anh nghi v?n: Board; Bulletin; City | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Nightmare: Feilian Beringal,Nightmare: Feilian Beringal,C?n ti?ng Anh nghi v?n: Beringal; Feilian; Nightmare | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Voidspawn: Impermanence Heron,Voidspawn: Impermanence Heron,C?n ti?ng Anh nghi v?n: Heron; Impermanence; Voidspawn | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lampylumen Myriad: Impact,Lampylumen Myriad: Impact,C?n ti?ng Anh nghi v?n: Impact; Lampylumen; Myriad | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Denia: Illusory Descent,Denia: Illusory Descent,C?n ti?ng Anh nghi v?n: Denia; Descent; Illusory | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black Shores Gardener,Black Shores Gardener,C?n ti?ng Anh nghi v?n: Black; Gardener; Shores | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Elite Dreadmane: Ice,Elite Dreadmane: Ice,C?n ti?ng Anh nghi v?n: Dreadmane; Elite; Ice | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Messy Animal Tracks,Messy Animal Tracks,C?n ti?ng Anh nghi v?n: Animal; Messy; Tracks | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Glowing Thundering Mephis,Glowing Thundering Mephis,C?n ti?ng Anh nghi v?n: Glowing; Mephis; Thundering | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Pioneer Association Commissions,Pioneer Association Commissions,C?n ti?ng Anh nghi v?n: Association; Commissions; Pioneer | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Large Fishing Spot,Large Fishing Spot,C?n ti?ng Anh nghi v?n: Fishing; Large; Spot | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Doll Vendor Invidia,Doll Vendor Invidia,C?n ti?ng Anh nghi v?n: Doll; Invidia; Vendor | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Voidspawn: Reactor Husk,Voidspawn: Reactor Husk,C?n ti?ng Anh nghi v?n: Husk; Reactor; Voidspawn | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Legendary Fishing Spot,Legendary Fishing Spot,C?n ti?ng Anh nghi v?n: Fishing; Legendary; Spot | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tree Cage Opening,Tree Cage Opening,C?n ti?ng Anh nghi v?n: Cage; Opening; Tree | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Wutheride Transmitter Base,Wutheride Transmitter Base,C?n ti?ng Anh nghi v?n: Base; Transmitter; Wutheride | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Glowing Impermanence Heron,Glowing Impermanence Heron,C?n ti?ng Anh nghi v?n: Glowing; Heron; Impermanence | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Curious Young Fisherman,Curious Young Fisherman,C?n ti?ng Anh nghi v?n: Curious; Fisherman; Young | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"""Port Business Advertisement""","""Port Business Advertisement""",C?n ti?ng Anh nghi v?n: Advertisement; Business; Port | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
House of Wonders Chest,Rương House of Wonders,C?n ti?ng Anh nghi v?n: House; of; Wonders | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Small Fishing Spot,Small Fishing Spot,C?n ti?ng Anh nghi v?n: Fishing; Small; Spot | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Green Pit Lizard,Green Pit Lizard,C?n ti?ng Anh nghi v?n: Green; Lizard; Pit | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Pioneer Association Photographer,Pioneer Association Photographer,C?n ti?ng Anh nghi v?n: Association; Photographer; Pioneer | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Secret Bookshelf Door,Secret Bookshelf Door,C?n ti?ng Anh nghi v?n: Bookshelf; Door; Secret | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Young Dreadmane: Thunder,Young Dreadmane: Thunder,C?n ti?ng Anh nghi v?n: Dreadmane; Thunder; Young | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Haven of Sprouts Access Door,Cửa vào Haven of Sprouts,C?n ti?ng Anh nghi v?n: Haven; of; Sprouts | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tank Guardian: Light,Tank Guardian: Light,C?n ti?ng Anh nghi v?n: Guardian; Light; Tank | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mourning Aix: Cannon,Mourning Aix: Cannon,C?n ti?ng Anh nghi v?n: Aix; Cannon; Mourning | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Port 1 Fast Travel,Port 1 Fast Travel,C?n ti?ng Anh nghi v?n: Fast; Port; Travel | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Inspect Shorekeeper's Illusion,Inspect Shorekeeper's Illusion,C?n ti?ng Anh nghi v?n: Illusion; Inspect; Shorekeeper's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Eastern Forest Cage,Eastern Forest Cage,C?n ti?ng Anh nghi v?n: Cage; Eastern; Forest | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Strange Telephone Booth,Strange Telephone Booth,C?n ti?ng Anh nghi v?n: Booth; Strange; Telephone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Zealous Pioneer Association Reporter,Zealous Pioneer Association Phóng viên,C?n ti?ng Anh nghi v?n: Association; Pioneer; Zealous | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
: Shadow of Fisalia,Shadow of Fisalia,C?n ti?ng Anh nghi v?n: Fisalia; of; Shadow | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Whiff Whaff: Wind,Whiff Whaff: Wind,C?n ti?ng Anh nghi v?n: Whaff; Whiff; Wind | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Suspicious TARD-E,Suspicious TARD-E,C?n ti?ng Anh nghi v?n: E; Suspicious; TARD | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Young Dreadmane: Fire,Young Dreadmane: Fire,C?n ti?ng Anh nghi v?n: Dreadmane; Fire; Young | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Glowing Frostbite Tertoise,Glowing Frostbite Tertoise,C?n ti?ng Anh nghi v?n: Frostbite; Glowing; Tertoise | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Register Personal Info,Register Personal Info,C?n ti?ng Anh nghi v?n: Info; Personal; Register | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Questless Knight,Phantom: Questless Knight,C?n ti?ng Anh nghi v?n: Knight; Phantom; Questless | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Cyan-Feathered Heron,Cyan-Feathered Heron,C?n ti?ng Anh nghi v?n: Cyan; Feathered; Heron | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mad King: Caligula,Mad King: Caligula,C?n ti?ng Anh nghi v?n: Caligula; King; Mad | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Creeping Torchpine Cone,Creeping Torchpine Cone,C?n ti?ng Anh nghi v?n: Cone; Creeping; Torchpine | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Unfreeze Statue Mirror Gameplay,Unfreeze Statue Mirror Lối chơi,C?n ti?ng Anh nghi v?n: Mirror; Statue; Unfreeze | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Impermanence Heron: Cyclone,Impermanence Heron: Cyclone,C?n ti?ng Anh nghi v?n: Cyclone; Heron; Impermanence | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Universal Training Automaton,Universal Training Automaton,C?n ti?ng Anh nghi v?n: Automaton; Training; Universal | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Group AI Manager,Group AI Manager,C?n ti?ng Anh nghi v?n: AI; Group; Manager | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Voidspawn: Lampylumen Myriad,Voidspawn: Lampylumen Myriad,C?n ti?ng Anh nghi v?n: Lampylumen; Myriad; Voidspawn | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Ancient Monument Striker,Ancient Monument Striker,C?n ti?ng Anh nghi v?n: Ancient; Monument; Striker | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom: Inferno Rider,Phantom: Inferno Rider,C?n ti?ng Anh nghi v?n: Inferno; Phantom; Rider | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Electric Current Circuit,Electric Current Circuit,C?n ti?ng Anh nghi v?n: Circuit; Current; Electric | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phrolova's Ultimate - Hecate,Phrolova's Ultimate - Hecate,C?n ti?ng Anh nghi v?n: Hecate; Phrolova's; Ultimate | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Shifty-eyed Septimontian,Shifty-eyed Septimontian,C?n ti?ng Anh nghi v?n: eyed; Septimontian; Shifty | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Carefully Kept Notebooks,Carefully Kept Notebooks,C?n ti?ng Anh nghi v?n: Carefully; Kept; Notebooks | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sacred Flame Altar,Sacred Flame Altar,C?n ti?ng Anh nghi v?n: Altar; Flame; Sacred | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Levitation Regression: Bridge,Levitation Regression: Bridge,C?n ti?ng Anh nghi v?n: Bridge; Levitation; Regression | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
