en_source,vn_translate,loi_du_doan
Complete Bright Moon in the Dark - Normal Mode,Hoàn thành Bright Moon Trong Đêm Tối - Thường Mode,C?n ti?ng Anh nghi v?n: Bright; Mode; Moon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Capture the first frame,Capture the first frame,C?n ti?ng Anh nghi v?n: Capture; first; frame | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Memories about the Isles,Memories about the Isles,C?n ti?ng Anh nghi v?n: about; Isles; Memories | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Where the Pincers Lead,Where the Pincers Lead,C?n ti?ng Anh nghi v?n: Lead; Pincers; Where | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Head to Lahai-Roi,Head to Lahai-Roi,C?n ti?ng Anh nghi v?n: Head; Lahai; to | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Challenge: The Strongest Shape,Challenge: The Strongest Shape,C?n ti?ng Anh nghi v?n: Challenge; Shape; Strongest | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Challenge: The Solar Surveyor,Challenge: The Solar Surveyor,C?n ti?ng Anh nghi v?n: Challenge; Solar; Surveyor | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
To the Farthest Horizon,To the Farthest Horizon,C?n ti?ng Anh nghi v?n: Farthest; Horizon; To | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Night Fishing: Light in the Deep,Night Fishing: Light Trong Lòng Vực,C?n ti?ng Anh nghi v?n: Fishing; Light; Night | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Gaze from the Dead,Gaze from the Dead,C?n ti?ng Anh nghi v?n: Dead; from; Gaze | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Gaze from the Dead,Gaze from the Dead,C?n ti?ng Anh nghi v?n: Dead; from; Gaze | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Main Echo not equipped,Main Echo not equipped,C?n ti?ng Anh nghi v?n: equipped; Main; not | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Phantom: The False Sovereign,Phantom: The False Sovereign,C?n ti?ng Anh nghi v?n: False; Phantom; Sovereign | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Show Phantom Echoes First,Show Phantom Echoes First,C?n ti?ng Anh nghi v?n: First; Phantom; Show | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Max Resonator selection reached,Max Resonator selection reached,C?n ti?ng Anh nghi v?n: Max; reached; selection | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Starry Night Over Ragunna,Starry Night Over Ragunna,C?n ti?ng Anh nghi v?n: Night; Over; Starry | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Faith Leading the People,Faith Leading the People,C?n ti?ng Anh nghi v?n: Faith; Leading; People | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Goal 1: Reach Battle Rank S for more than 10s,Mục tiêu 1: Đạt Battle Rank S trong hơn 10 giây,C?n ti?ng Anh nghi v?n: Battle; Rank; S | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Goal 1: Reach Battle Rank S when the challenge ends,Mục tiêu 1: Đạt Battle Rank S khi thử thách kết thúc,C?n ti?ng Anh nghi v?n: Battle; Rank; S | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Goal 1: Reach Battle Rank S for more than 10s,Mục tiêu 1: Đạt Battle Rank S trong hơn 10 giây,C?n ti?ng Anh nghi v?n: Battle; Rank; S | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Goal 1: Reach Battle Rank S for more than 10s,Mục tiêu 1: Đạt Battle Rank S trong hơn 10 giây,C?n ti?ng Anh nghi v?n: Battle; Rank; S | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Goal 2: Attack Capitaneus from behind to immobilize it once,Mục tiêu 2: Attack Capitaneus từ phía sau để immobilize nó 1 lần,C?n ti?ng Anh nghi v?n: Attack; Capitaneus; immobilize | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Walk with the Dark,Walk with the Dark,C?n ti?ng Anh nghi v?n: Dark; Walk; with | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Smash 'Em All: Primary Buff,Smash 'Em Tất cả: Primary Buff,C?n ti?ng Anh nghi v?n: Buff; Primary; Smash | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Smash 'Em All: Enhanced Buff,Smash 'Em Tất cả: Enhanced Buff,C?n ti?ng Anh nghi v?n: Buff; Enhanced; Smash | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Smash 'Em All: Ultimate Buff,Smash 'Em Tất cả: Ultimate Buff,C?n ti?ng Anh nghi v?n: Buff; Smash; Ultimate | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Smash 'Em All: Default Buff,Smash 'Em Tất cả: Default Buff,C?n ti?ng Anh nghi v?n: Buff; Default; Smash | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
The Final Has Ended,The Final Has Ended,C?n ti?ng Anh nghi v?n: Ended; Final; Has | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
The Match Has Ended,The Match Has Ended,C?n ti?ng Anh nghi v?n: Ended; Has; Match | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
The Final Has Ended,The Final Has Ended,C?n ti?ng Anh nghi v?n: Ended; Final; Has | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Not on the Board,Not on the Board,C?n ti?ng Anh nghi v?n: Board; Not; on | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
One With the Shadows,One With the Shadows,C?n ti?ng Anh nghi v?n: One; Shadows; With | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
The Match Has Ended,The Match Has Ended,C?n ti?ng Anh nghi v?n: Ended; Has; Match | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Solaris New Voyage Celebration,Solaris New Voyage Celebration,C?n ti?ng Anh nghi v?n: Celebration; New; Voyage | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Daily necessities from Jinzhou,Daily necessities from Jinzhou,C?n ti?ng Anh nghi v?n: Daily; from; necessities | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
At the last show,At the last show,C?n ti?ng Anh nghi v?n: At; last; show | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
"We fear no death,","We fear no death,",C?n ti?ng Anh nghi v?n: death; fear; We | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
"Check portrait permissions, select ""Time Capsule Delivery,"" and tag the event theme…","Kiểm tra quyền ảnh đại diện, chọn ""Time Capsule Delivery"" và gắn thẻ chủ đề sự kiện…",C?n ti?ng Anh nghi v?n: Capsule; Delivery; Time | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
(Pick up the Soliskin）,(Pick up the Soliskin),C?n ti?ng Anh nghi v?n: Pick; Soliskin; up | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
To the realm beyond,To the realm beyond,C?n ti?ng Anh nghi v?n: beyond; realm; To | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
: Queen of the Night,Queen of the Night,C?n ti?ng Anh nghi v?n: Night; of; Queen | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Aero Erosion Effect: I,Aero Erosion Effect: I,C?n ti?ng Anh nghi v?n: Effect; Erosion; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Aero Erosion Effect: II,Aero Erosion Effect: II,C?n ti?ng Anh nghi v?n: Effect; Erosion; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Electro Flare Effect: I,Electro Flare Effect: I,C?n ti?ng Anh nghi v?n: Effect; Flare; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Glacio Chafe Effect: I,Glacio Chafe Effect: I,C?n ti?ng Anh nghi v?n: Chafe; Effect; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Glacio Chafe Effect: II,Glacio Chafe Effect: II,C?n ti?ng Anh nghi v?n: Chafe; Effect; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Fusion Burst Effect: I,Fusion Burst Effect: I,C?n ti?ng Anh nghi v?n: Burst; Effect; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Fusion Burst Effect: II,Fusion Burst Effect: II,C?n ti?ng Anh nghi v?n: Burst; Effect; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Spectro Frazzle Effect: I,Spectro Frazzle Effect: I,C?n ti?ng Anh nghi v?n: Effect; Frazzle; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Spectro Frazzle Effect: II,Spectro Frazzle Effect: II,C?n ti?ng Anh nghi v?n: Effect; Frazzle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Havoc Bane Effect: I,Havoc Bane Effect: I,C?n ti?ng Anh nghi v?n: Bane; Effect; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Havoc Bane Effect: II,Havoc Bane Effect: II,C?n ti?ng Anh nghi v?n: Bane; Effect; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Tacet Field: Special Bonus,Tacet Field: Special Bonus,C?n ti?ng Anh nghi v?n: Bonus; Field; Special | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Tacet Field: Special Bonus,Tacet Field: Special Bonus,C?n ti?ng Anh nghi v?n: Bonus; Field; Special | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Echo Challenge: Plushie Leap,Echo Challenge: Plushie Leap,C?n ti?ng Anh nghi v?n: Challenge; Leap; Plushie | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Echo Challenge: Plushie Climber,Echo Challenge: Plushie Climber,C?n ti?ng Anh nghi v?n: Challenge; Climber; Plushie | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Echo Challenge: Plushie Punch,Echo Challenge: Plushie Punch,C?n ti?ng Anh nghi v?n: Challenge; Plushie; Punch | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Echo Challenge: Clear Cloud,Echo Challenge: Clear Cloud,C?n ti?ng Anh nghi v?n: Challenge; Clear; Cloud | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Echo Challenge: Unfinished Book,Echo Challenge: Unfinished Book,C?n ti?ng Anh nghi v?n: Book; Challenge; Unfinished | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Echo Challenge: Clear Cloud,Echo Challenge: Clear Cloud,C?n ti?ng Anh nghi v?n: Challenge; Clear; Cloud | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Echo Challenge: Wind Trail,Echo Challenge: Wind Trail,C?n ti?ng Anh nghi v?n: Challenge; Trail; Wind | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Echo Challenge: Wind Ring,Echo Challenge: Wind Ring,C?n ti?ng Anh nghi v?n: Challenge; Ring; Wind | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Venturing Into Tacet Fields,Venturing Into Tacet Fields,C?n ti?ng Anh nghi v?n: Fields; Into; Venturing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Echo Challenge: Dancer Hacking,Echo Challenge: Dancer Hacking,C?n ti?ng Anh nghi v?n: Challenge; Dancer; Hacking | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Solaris New Voyage Celebration,Solaris New Voyage Celebration,C?n ti?ng Anh nghi v?n: Celebration; New; Voyage | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Dreamland Echoes and Yield,Dreamland Echoes and Yield,C?n ti?ng Anh nghi v?n: and; Dreamland; Yield | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Unique Effect: Enemies with 10 or more stacks of Status - Waveworn Bane take extra DMG.,Hiệu ứng Đặc biệt: Kẻ địch có từ 10 tầng Status - Waveworn Bane trở lên sẽ nhận thêm DMG.,C?n ti?ng Anh nghi v?n: Bane; Status; Waveworn | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Applause for the Swift,Applause for the Swift,C?n ti?ng Anh nghi v?n: Applause; for; Swift | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
"The ""Outdoor Lounge"" Area","The ""Outdoor Lounge"" Area",C?n ti?ng Anh nghi v?n: Area; Lounge; Outdoor | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
"The ""Screening Room"" Area","The ""Screening Room"" Area",C?n ti?ng Anh nghi v?n: Area; Room; Screening | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Clear the challenge with Illusive Echo: False Sovereign once,Hoàn thành thử thách với Illusive Echo: False Sovereign một lần,C?n ti?ng Anh nghi v?n: False; Illusive; Sovereign | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Tacet Field Survival Guide,Tacet Field Survival Guide,C?n ti?ng Anh nghi v?n: Field; Guide; Survival | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
The Wind Ends Here,The Wind Ends Here,C?n ti?ng Anh nghi v?n: Ends; Here; Wind | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
The Story You Don't Know,The Story Bạn Don't Know,C?n ti?ng Anh nghi v?n: Don't; Know; Story | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Enhanced Resonance Skill: I,Enhanced Resonance Skill: I,C?n ti?ng Anh nghi v?n: Enhanced; I; Skill | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Enhanced Resonance Skill: II,Enhanced Resonance Skill: II,C?n ti?ng Anh nghi v?n: Enhanced; II; Skill | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Enhanced Resonance Skill: III,Enhanced Resonance Skill: III,C?n ti?ng Anh nghi v?n: Enhanced; III; Skill | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Tacet Field Survival Guide,Tacet Field Survival Guide,C?n ti?ng Anh nghi v?n: Field; Guide; Survival | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Cheers To The Soldiers,Cheers To The Soldiers,C?n ti?ng Anh nghi v?n: Cheers; Soldiers; To | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Complete Main Quest: When the Snow Clears,Hoàn thành Nhiệm Vụ Chính: When the Snow Clears,C?n ti?ng Anh nghi v?n: Clears; Snow; When | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
New Phantom Echo Unlocked,New Phantom Echo Unlocked,C?n ti?ng Anh nghi v?n: New; Phantom; Unlocked | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
"Complete Quest ""Beyond the Shore's End"" to unlock","Hoàn thành Nhiệm Vụ ""Beyond the Shore's End"" để mở khóa",C?n ti?ng Anh nghi v?n: Beyond; End; Shore's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Yellow: The Warning Sign,Yellow: The Warning Sign,C?n ti?ng Anh nghi v?n: Sign; Warning; Yellow | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Green: The False Appearance,Green: The False Appearance,C?n ti?ng Anh nghi v?n: Appearance; False; Green | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Endless Challenge - Normal and Echo Appearance Upgrade Unlocked,Mở Khóa Nâng Cấp Endless Challenge - Thường Và Echo Appearance,C?n ti?ng Anh nghi v?n: Appearance; Challenge; Endless | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
The Tactic configuration does not exist in Deathtrap Mode,Cấu hình Tactic không tồn tại trong Deathtrap Mode,C?n ti?ng Anh nghi v?n: Deathtrap; Mode; Tactic | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Failed to randomize Tactic rarity in Deathtrap Mode,Không thể ngẫu nhiên hóa độ hiếm của Tactic trong Deathtrap Mode,C?n ti?ng Anh nghi v?n: Deathtrap; Mode; Tactic | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
"""The First Blood Pact""","""The First Blood Pact""",C?n ti?ng Anh nghi v?n: Blood; First; Pact | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
A Return Long Awaited,A Return Long Awaited,C?n ti?ng Anh nghi v?n: A; Awaited; Return | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Phantom: The False Sovereign,Phantom: The False Sovereign,C?n ti?ng Anh nghi v?n: False; Phantom; Sovereign | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
The Last Moon Fang,The Last Moon Fang,C?n ti?ng Anh nghi v?n: Fang; Last; Moon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Rover Appearance Switch assets,Rover Appearance Switch assets,C?n ti?ng Anh nghi v?n: Appearance; assets; Switch | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
In Rover We Trust,In Rover We Trust,C?n ti?ng Anh nghi v?n: In; Trust; We | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Complete Rift Runner VI,Complete Rift Runner VI,C?n ti?ng Anh nghi v?n: Complete; Rift; Runner | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Human Exiles - Male Barehand,Human Exiles - Male Barehand,C?n ti?ng Anh nghi v?n: Barehand; Human; Male | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Human Exiles - Female Barehand,Human Exiles - Female Barehand,C?n ti?ng Anh nghi v?n: Barehand; Female; Human | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Human Exiles - Male Sniper,Human Exiles - Male Sniper,C?n ti?ng Anh nghi v?n: Human; Male; Sniper | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Human Exiles - Female Crowbar,Human Exiles - Female Crowbar,C?n ti?ng Anh nghi v?n: Crowbar; Female; Human | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Human Exiles - Female Flamethrower,Human Exiles - Female Flamethrower,C?n ti?ng Anh nghi v?n: Female; Flamethrower; Human | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Human Exiles - Female Chainsaw,Human Exiles - Female Chainsaw,C?n ti?ng Anh nghi v?n: Chainsaw; Female; Human | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Teleport-to-Gameplay GM's Creation Point does not exist,Điểm Creation của GM Teleport-to-Lối chơi không tồn tại,C?n ti?ng Anh nghi v?n: Creation; Teleport; to | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Teleport-to-Gameplay GM directs to other region,GM Teleport-to-Lối chơi chuyển hướng đến khu vực khác,C?n ti?ng Anh nghi v?n: GM; Teleport; to | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
4-Star Resonators Rate Up,4-Star Resonators Rate Up,C?n ti?ng Anh nghi v?n: Rate; Star; Up | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Echo Challenge: Plushie Punch,Echo Challenge: Plushie Punch,C?n ti?ng Anh nghi v?n: Challenge; Plushie; Punch | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Echo skin not available,Echo skin not available,C?n ti?ng Anh nghi v?n: available; not; skin | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Echo interaction not available,Echo interaction not available,C?n ti?ng Anh nghi v?n: available; interaction; not | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Soar to the Beat quest configuration not found,Không tìm thấy cấu hình nhiệm vụ Soar to the Beat,C?n ti?ng Anh nghi v?n: Beat; Soar; to | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Soar to the Beat event configuration not found,Không tìm thấy cấu hình sự kiện Soar to the Beat,C?n ti?ng Anh nghi v?n: Beat; Soar; to | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Soar to the Beat sub-stage configuration not found,Không tìm thấy cấu hình phân đoạn Soar to the Beat,C?n ti?ng Anh nghi v?n: Beat; Soar; to | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Soar to the Beat event data not found,Không tìm thấy dữ liệu sự kiện Soar to the Beat,C?n ti?ng Anh nghi v?n: Beat; Soar; to | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Soar to the Beat rewards can't be claimed,Không thể nhận thưởng Soar to the Beat,C?n ti?ng Anh nghi v?n: Beat; Soar; to | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Soar to the Beat event mismatch,Sự kiện Soar to the Beat không khớp,C?n ti?ng Anh nghi v?n: Beat; Soar; to | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Soar to the Beat battle data missing,Thiếu dữ liệu trận đấu Soar to the Beat,C?n ti?ng Anh nghi v?n: Beat; Soar; to | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
Soar to the Beat sub-stage data mismatch,Dữ liệu phân đoạn Soar to the Beat không khớp,C?n ti?ng Anh nghi v?n: Beat; Soar; to | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 19.5
