en_source,vn_translate,loi_du_doan
Instance 170000100 Step 11 Completed,Instance 170000100 Step 11 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 12 Completed,Instance 170000100 Step 12 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 13 Completed,Instance 170000100 Step 13 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 14 Completed,Instance 170000100 Step 14 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 15 Completed,Instance 170000100 Step 15 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 16 Completed,Instance 170000100 Step 16 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 17 Completed,Instance 170000100 Step 17 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 18 Completed,Instance 170000100 Step 18 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 19 Completed,Instance 170000100 Step 19 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 20 Completed,Instance 170000100 Step 20 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 21 Completed,Instance 170000100 Step 21 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 22 Completed,Instance 170000100 Step 22 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 23 Completed,Instance 170000100 Step 23 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 24 Completed,Instance 170000100 Step 24 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 25 Completed,Instance 170000100 Step 25 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 26 Completed,Instance 170000100 Step 26 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 27 Completed,Instance 170000100 Step 27 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 28 Completed,Instance 170000100 Step 28 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 29 Completed,Instance 170000100 Step 29 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 30 Completed,Instance 170000100 Step 30 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 31 Completed,Instance 170000100 Step 31 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 32 Completed,Instance 170000100 Step 32 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 33 Completed,Instance 170000100 Step 33 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 34 Completed,Instance 170000100 Step 34 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 35 Completed,Instance 170000100 Step 35 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 36 Completed,Instance 170000100 Step 36 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 37 Completed,Instance 170000100 Step 37 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 38 Completed,Instance 170000100 Step 38 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 39 Completed,Instance 170000100 Step 39 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 40 Completed,Instance 170000100 Step 40 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 41 Completed,Instance 170000100 Step 41 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 170000100 Step 42 Completed,Instance 170000100 Step 42 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 6000 Step 1 Completed,Instance 6000 Step 1 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 6000 Step 2 Completed,Instance 6000 Step 2 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 6000 Step 3 Completed,Instance 6000 Step 3 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 6000 Step 4 Completed,Instance 6000 Step 4 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 6000 Step 5 Completed,Instance 6000 Step 5 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Instance 6000 Step 6 Completed,Instance 6000 Step 6 Completed,C?n ti?ng Anh nghi v?n: Completed; Instance; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Bell-Borne Geochelone,Bell-Borne Geochelone,C?n ti?ng Anh nghi v?n: Bell; Borne; Geochelone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Cyan-Feathered Heron,Cyan-Feathered Heron,C?n ti?ng Anh nghi v?n: Cyan; Feathered; Heron | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Violet-Feathered Heron,Violet-Feathered Heron,C?n ti?ng Anh nghi v?n: Feathered; Heron; Violet | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Little Fire Wolf,Little Fire Wolf,C?n ti?ng Anh nghi v?n: Fire; Little; Wolf | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Little Thorny Mushroom,Little Thorny Mushroom,C?n ti?ng Anh nghi v?n: Little; Mushroom; Thorny | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Teleport - Small Huabiao,Teleport - Small Huabiao,C?n ti?ng Anh nghi v?n: Huabiao; Small; Teleport | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Teleport - Medium Huabiao,Teleport - Medium Huabiao,C?n ti?ng Anh nghi v?n: Huabiao; Medium; Teleport | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Determine Mephis kill,Determine Mephis kill,C?n ti?ng Anh nghi v?n: Determine; kill; Mephis | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Complete the mission of killing Mephis in the Dragon's Tear,Hoàn thành nhiệm vụ tiêu diệt Mephis ở Dragon's Tear,C?n ti?ng Anh nghi v?n: Dragon's; Mephis; Tear | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lampy Cat gameplay test completed,Đã hoàn thành thử nghiệm gameplay Lampy Cat,C?n ti?ng Anh nghi v?n: Cat; gameplay; Lampy | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
COST Limit Reached,COST Limit Reached,C?n ti?ng Anh nghi v?n: COST; Limit; Reached | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Data Bank Experience,Data Bank Experience,C?n ti?ng Anh nghi v?n: Bank; Data; Experience | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Insufficient Decipher items,Insufficient Decipher items,C?n ti?ng Anh nghi v?n: Decipher; Insufficient; items | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
All Lunar Phases deciphered,Tất cả Lunar Phases deciphered,C?n ti?ng Anh nghi v?n: deciphered; Lunar; Phases | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Empty Consumable Inventory,Empty Consumable Inventory,C?n ti?ng Anh nghi v?n: Consumable; Empty; Inventory | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
No Storage Bag Configuration,Không Storage Bag Configuration,C?n ti?ng Anh nghi v?n: Bag; Configuration; Storage | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Cannot remove as non-World host,Không thể loại bỏ với tư cách non-World host,C?n ti?ng Anh nghi v?n: host; non; World | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Cannot set team status as non-World host,Không thể đặt trạng thái đội với tư cách non-World host,C?n ti?ng Anh nghi v?n: host; non; World | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Choice Supply Pack,Choice Supply Pack,C?n ti?ng Anh nghi v?n: Choice; Pack; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tower of Adversity F1,Tower of Adversity F1,C?n ti?ng Anh nghi v?n: Adversity; of; Tower | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tower of Adversity F2,Tower of Adversity F2,C?n ti?ng Anh nghi v?n: Adversity; of; Tower | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tower of Adversity F3,Tower of Adversity F3,C?n ti?ng Anh nghi v?n: Adversity; of; Tower | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tower of Adversity F4,Tower of Adversity F4,C?n ti?ng Anh nghi v?n: Adversity; of; Tower | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tower of Adversity F5,Tower of Adversity F5,C?n ti?ng Anh nghi v?n: Adversity; of; Tower | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tower of Adversity F6,Tower of Adversity F6,C?n ti?ng Anh nghi v?n: Adversity; of; Tower | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tower of Adversity F7,Tower of Adversity F7,C?n ti?ng Anh nghi v?n: Adversity; of; Tower | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tower of Adversity F8,Tower of Adversity F8,C?n ti?ng Anh nghi v?n: Adversity; of; Tower | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tower of Adversity F9,Tower of Adversity F9,C?n ti?ng Anh nghi v?n: Adversity; of; Tower | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Log Upload Canceled,Log Upload Canceled,C?n ti?ng Anh nghi v?n: Canceled; Log; Upload | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Memo Limit Reached,Memo Limit Reached,C?n ti?ng Anh nghi v?n: Limit; Memo; Reached | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Insider Channel Unlocked,Insider Channel Unlocked,C?n ti?ng Anh nghi v?n: Channel; Insider; Unlocked | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Connoisseur Channel Unlocked,Connoisseur Channel Unlocked,C?n ti?ng Anh nghi v?n: Channel; Connoisseur; Unlocked | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Connoisseur Channel Unlocked,Connoisseur Channel Unlocked,C?n ti?ng Anh nghi v?n: Channel; Connoisseur; Unlocked | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Heterogeneous Residual Sound,Heterogeneous Residual Sound,C?n ti?ng Anh nghi v?n: Heterogeneous; Residual; Sound | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Filter On/Off,Filter On/Off,C?n ti?ng Anh nghi v?n: Filter; Off; On | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Quick Access Wheel,Quick Access Wheel,C?n ti?ng Anh nghi v?n: Access; Quick; Wheel | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Join Upon Approval,Join Upon Approval,C?n ti?ng Anh nghi v?n: Approval; Join; Upon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom Appearance On,Phantom Appearance On,C?n ti?ng Anh nghi v?n: Appearance; On; Phantom | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phantom Appearance Unlocked,Phantom Appearance Unlocked,C?n ti?ng Anh nghi v?n: Appearance; Phantom; Unlocked | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Shell Credit Owned,Shell Credit Owned,C?n ti?ng Anh nghi v?n: Credit; Owned; Shell | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Insufficient Shell Credit,Insufficient Shell Credit,C?n ti?ng Anh nghi v?n: Credit; Insufficient; Shell | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sort By Rarity,Sort By Rarity,C?n ti?ng Anh nghi v?n: By; Rarity; Sort | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Kuro User Agreement,Kuro User Agreement,C?n ti?ng Anh nghi v?n: Agreement; Kuro; User | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Insufficient Shell Credit for Syntonize,Shell Credit không đủ để Syntonize,C?n ti?ng Anh nghi v?n: Credit; Shell; Syntonize | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Insufficient Adventure Logs,Insufficient Adventure Logs,C?n ti?ng Anh nghi v?n: Adventure; Insufficient; Logs | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Complete Tutorial Quest ""Dream Patrol I"" to unlock","Hoàn thành Nhiệm Vụ Hướng Dẫn ""Dream Patrol I"" để mở khóa",C?n ti?ng Anh nghi v?n: Dream; I; Patrol | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Complete Tutorial Quest ""Dream Patrol I"" to unlock","Hoàn thành Nhiệm Vụ Hướng Dẫn ""Dream Patrol I"" để mở khóa",C?n ti?ng Anh nghi v?n: Dream; I; Patrol | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Complete Tutorial Quest ""Dream Patrol I"" to unlock","Hoàn thành Nhiệm Vụ Hướng Dẫn ""Dream Patrol I"" để mở khóa",C?n ti?ng Anh nghi v?n: Dream; I; Patrol | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Complete Tutorial Quest ""Dream Patrol I"" to unlock","Hoàn thành Nhiệm Vụ Hướng Dẫn ""Dream Patrol I"" để mở khóa",C?n ti?ng Anh nghi v?n: Dream; I; Patrol | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Discover all Dream Patrol challenges in the Fagaceae Peninsula to unlock,Hoàn thành tất cả thử thách Dream Patrol tại Bán đảo Fagaceae để mở khóa,C?n ti?ng Anh nghi v?n: Dream; Fagaceae; Patrol | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Complete Tutorial Quest ""Dream Patrol I"" to unlock","Hoàn thành Nhiệm Vụ Hướng Dẫn ""Dream Patrol I"" để mở khóa",C?n ti?ng Anh nghi v?n: Dream; I; Patrol | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Insufficient Dream Fragments,Insufficient Dream Fragments,C?n ti?ng Anh nghi v?n: Dream; Fragments; Insufficient | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Pre-download Resources,Pre-download Resources,C?n ti?ng Anh nghi v?n: download; Pre; Resources | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Insufficient ""Sweet Puff""","Insufficient ""Sweet Puff""",C?n ti?ng Anh nghi v?n: Insufficient; Puff; Sweet | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Clear ""Dream: Infinite I"" to unlock","Hoàn thành ""Dream: Infinite I"" để mở khóa",C?n ti?ng Anh nghi v?n: Dream; I; Infinite | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Clear ""Dream: Infinite II"" to unlock","Hoàn thành ""Dream: Infinite II"" để mở khóa",C?n ti?ng Anh nghi v?n: Dream; II; Infinite | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Clear ""Dream: Infinite III"" to unlock","Hoàn thành ""Dream: Infinite III"" để mở khóa",C?n ti?ng Anh nghi v?n: Dream; III; Infinite | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Insufficient Frequency Crystals,Insufficient Frequency Crystals,C?n ti?ng Anh nghi v?n: Crystals; Frequency; Insufficient | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sigil Refreshing Failed,Sigil Refreshing Failed,C?n ti?ng Anh nghi v?n: Failed; Refreshing; Sigil | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sigil List Empty,Sigil List Empty,C?n ti?ng Anh nghi v?n: Empty; List; Sigil | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sigil Log Incorrect,Sigil Log Incorrect,C?n ti?ng Anh nghi v?n: Incorrect; Log; Sigil | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Complete Main Quest ""Shadow of Glory""","Hoàn thành Nhiệm vụ Chính ""Shadow of Glory""",C?n ti?ng Anh nghi v?n: Glory; of; Shadow | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Clear SkyArk Space Station to unlock,Hoàn thành SkyArk Space Station để mở khóa,C?n ti?ng Anh nghi v?n: SkyArk; Space; Station | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Bell-Borne Geochelone,Bell-Borne Geochelone,C?n ti?ng Anh nghi v?n: Bell; Borne; Geochelone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Scar - Early Access,Scar - Early Access,C?n ti?ng Anh nghi v?n: Access; Early; Scar | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lioness of Glory,Lioness of Glory,C?n ti?ng Anh nghi v?n: Glory; Lioness; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Hyvatia - Early Access,Hyvatia - Early Access,C?n ti?ng Anh nghi v?n: Access; Early; Hyvatia | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Luuk Herssen's Waveband,Luuk Herssen's Waveband,C?n ti?ng Anh nghi v?n: Herssen's; Luuk; Waveband | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
LF Exoswarm Core,LF Exoswarm Core,C?n ti?ng Anh nghi v?n: Core; Exoswarm; LF | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
MF Exoswarm Core,MF Exoswarm Core,C?n ti?ng Anh nghi v?n: Core; Exoswarm; MF | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
HF Exoswarm Core,HF Exoswarm Core,C?n ti?ng Anh nghi v?n: Core; Exoswarm; HF | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
FF Exoswarm Core,FF Exoswarm Core,C?n ti?ng Anh nghi v?n: Core; Exoswarm; FF | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
LF Mech Core,LF Mech Core,C?n ti?ng Anh nghi v?n: Core; LF; Mech | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
MF Mech Core,MF Mech Core,C?n ti?ng Anh nghi v?n: Core; Mech; MF | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
HF Mech Core,HF Mech Core,C?n ti?ng Anh nghi v?n: Core; HF; Mech | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
FF Mech Core,FF Mech Core,C?n ti?ng Anh nghi v?n: Core; FF; Mech | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
