Term100001_Title	Tune Break
Term150806_Title	Electro Rage
Term150811_Title	Negative Status DMG
Term150901_Title	Optical Sampling Stage
Term150902_Title	Kaleidoscopic Parade
Term150903_Title	Photochromic Flux
Term150904_Title	Spray Paint
Term150905_Title	Overflow
Term150906_Title	Lumiflow
Term150907_Title	True Color
Term151001_Title	Endnotes on the Endgame
Term151002_Title	Ichor Flow
Term151003_Title	Dawnlit Keep
Term151004_Title	Ichor Blade
Term151005_Title	Ichor Deposit
Term160801_Title	Volatile Note
Term160802_Title	Resolving Chord
Term160803_Title	Aftersound
Term160804_Title	Maestro
Term160805_Title	Reincarnate
Term260001_Title	Internal Security Agency
Term260002_Title	Ministry of Sentinel Affairs
Term260003_Title	Mindsight
Term260004_Title	Lahai-Roi
Term260005_Title	Chimera
Term260006_Title	Fabianum
Term260007_Title	Paradimensional Tacet Field
Term260008_Title	Grand Marshal
Term260009_Title	Mingting
Term260010_Title	Ministry of War
Term260011_Title	Censorate
Term260012_Title	Fenrico the First
Term270001_Title	Land of Xuanfang
Term700004_Title	Voidworm
Term700005_Title	Infirmary
Term700006_Title	Rabelle Cassette
Term700007_Title	Frequency Cassette Recorder
Term700008_Title	Exostrider
Term700009_Title	Synchronist
Term700010_Title	Reactor Drive
Term700011_Title	Starward Riseway
Term700012_Title	Greatsword
Term700013_Title	Hyvatia
Term700014_Title	Voidmatter Barrier
Term700015_Title	Roya Tribe
Term700016_Title	New Solar Ceremony
Term700017_Title	Helios
Term700018_Title	Solisylum
Term700019_Title	Heliogyre
Term700020_Title	The Heliodic Six
Term700021_Title	Bjartr Woods
Term700022_Title	Exoswarm
Term700023_Title	Exoswarm Material
Term700024_Title	Shepherd
Term700025_Title	Solsworn
Term700026_Title	Soliskin
Term700027_Title	Solistrees
Term700028_Title	Rite of Return
Term700029_Title	Void Storm
Term700030_Title	Lahai-Roi
Term700031_Title	Startorch Academy
Term750001_Title	Hunt
Term750002_Title	Dark Tide Creation
Term750003_Title	Earthrend Wedge
Term750004_Title	Tempest Cliffs
Term750005_Title	Tetragon Temple
Term750006_Title	Maroonwood
Term750007_Title	Hornett
Term750008_Title	Canyons
Term750009_Title	Sacred Flame
Term750010_Title	Manes Deep
Term750011_Title	Holmleaf Medal
Term750012_Title	Griffrex
Term750013_Title	Anchor Stone
Term750014_Title	Anchor Obelisk
Term750015_Title	Asphodel Barrens
Term750016_Title	Murmurstown
Term750017_Title	Wastelands
Term750018_Title	Mesona
Term750019_Title	Hollow Figure
Term750020_Title	Waystone
Term750021_Title	Echo-Type Combat Machine
Term750022_Title	Glacio-Type Combat Machine
Term750023_Title	Fusion-Type Combat Machine
Term750024_Title	Aero-Type Combat Machine
Term750025_Title	Electro-Type Combat Machine
Term750026_Title	Lucky Coin
Term750027_Title	KU-Money's Shop
Term750028_Title	Silent Lightning
Term750029_Title	Silver Bullet
Term750030_Title	Saturation Fire
Term750031_Title	Core
Term750032_Title	DMG Enhancement
Term750033_Title	Enhancement Field
Term750034_Title	Hunting Trap
Term750035_Title	Etheric Sea
Term750036_Title	Stridergate
Term750037_Title	Fluctuating Voidmatter Levels
Term750038_Title	Module Adapter
Term750039_Title	SkyArk Space Station
Term750040_Title	Voidspace
Term750041_Title	Snowfluff Seal
Term750042_Title	Ichor
Term750043_Title	Novialle Regenerative Group
Term800001_Title	Golden Anthem
Term800002_Title	Anniversary Cake
Term800003_Title	Second Coming of Solaris
Term800004_Title	Cube
Term800005_Title	Chamber of Discipline
Term800006_Title	Sonoro Sphere
Term800007_Title	Channel
Term800008_Title	Ghost Hounds
Term800009_Title	The Golden Bough
Term800010_Title	Requiem Paradise
Term800011_Title	Celestial Steed
Term800012_Title	Melody
Term800013_Title	Isomer Bolt
Term800014_Title	Zenith Windblade
Term800015_Title	Sanguine Wheel
Term800016_Title	Glittering Ray
Term800017_Title	Phaser
Term800018_Title	Breeze Breaker
Term800019_Title	Ashen Oath
Term800020_Title	Waxing Moon
Term800021_Title	Zephyr Symphony
Term800022_Title	Blazing Star
Term800023_Title	Rampant Fire
Term800024_Title	Feilian Shock
Term800025_Title	Explosive Omen
Term800026_Title	Bullet Weapon
Term800027_Title	Summon Weapon
Term800028_Title	Beam Weapon
Term800029_Title	Morph Weapon
Term800030_Title	Synergistic Evo
Term800031_Title	New Solar Celebration
Term800032_Title	Academy's Dark Side
Term800033_Title	Reflection
Term800034_Title	Minerva's Treasure
Term800035_Title	Vortex's Eye
Term850001_Title	Incarnation
Term850002_Title	Incandescence
Term850003_Title	True Sight
Term850004_Title	Enflamement
Term850005_Title	Photosynthesis Energy
Term850006_Title	Concerto Energy
Term850007_Title	Ring of Mirrors
Term850008_Title	Spectro Frazzle
Term850009_Title	Aero Erosion
Term850010_Title	Glacio Chafe
Term850011_Title	Fusion Burst
Term850012_Title	Havoc Bane
Term850013_Title	Electro Flare
Term850014_Title	Divine Voice
Term850015_Title	Imagination
Term850016_Title	Beyond Imagination
Term850017_Title	Moldable Crystal
Term850018_Title	Substance
Term850019_Title	Deconstruction
Term850020_Title	Dispersion
Term850021_Title	Budding Mode
Term850022_Title	Collapsed Core
Term850023_Title	Stellarealm
Term850024_Title	Outer Stellarealm
Term850025_Title	Intuition
Term850026_Title	Phatasmic Imprint
Term850027_Title	Resonance Energy
Term850028_Title	Afflatus
Term850029_Title	Sinner's Mark
Term850030_Title	Judgement Points
Term850031_Title	Qingloong Mode
Term850032_Title	Resolve
Term850033_Title	Concentration
Term850034_Title	Dark Surge
Term850035_Title	Ice Prism
Term850036_Title	Ice Thorn
Term850037_Title	Glacier
Term850038_Title	Burning Rhapsody
Term850039_Title	Ruby Blossom
Term850040_Title	Incinerating Will
Term850041_Title	Thermobaric Bullets
Term850042_Title	Chi
Term850043_Title	Yellow Light Mode
Term850044_Title	Red Light Mode
Term850045_Title	Lucky Draw
Term850046_Title	Antique
Term850047_Title	Rocksteady Shield
Term850048_Title	Mist
Term850049_Title	Gate of Quandary
Term850050_Title	Bravo
Term850051_Title	Aflame
Term850052_Title	Theatrical Moment
Term850053_Title	Waves of Acclaims
Term850054_Title	Mirage
Term850055_Title	Hazy Dream
Term850056_Title	Windstring
Term850057_Title	Euphonia
Term850058_Title	Striding Lion
Term850059_Title	Ensemble Sylph
Term850060_Title	Solo Concert
Term850061_Title	Musical Essence
Term850062_Title	Vibration Strength
Term850063_Title	Redundant Energy
Term850064_Title	Inferno Mode
Term850065_Title	Blaze
Term850066_Title	Heliacal Ember
Term850067_Title	Rabelle's Curve
Term850068_Title	Congenital Resonator
Term850069_Title	Mutant Resonator
Term850070_Title	Natural Resonator
Term850071_Title	Induced Resonator
Term850072_Title	Tacet Mark
Term850073_Title	Overclocking
Term850074_Title	Threnodian
Term850075_Title	Lament
Term850076_Title	Remnant Energy
Term850077_Title	Sonoro Sphere
Term850078_Title	Tacet Field
Term850079_Title	Solaris
Term850080_Title	Waveworn Phenomena
Term850081_Title	Tacet Discord
Term850082_Title	Echo
Term850083_Title	Sentinel
Term850084_Title	Magistrate
Term850085_Title	Ministry of Development
Term850086_Title	Midnight Rangers
Term850087_Title	Patroller
Term850088_Title	Public Security Bureau
Term850089_Title	Patrol Station
Term850090_Title	Lollo Logistics
Term850091_Title	Jinzhou
Term850092_Title	Huaxu Academy
Term850093_Title	Huanglong
Term850094_Title	Fisalia
Term850095_Title	Porto-Veno Castle
Term850096_Title	Rinascita
Term850097_Title	Ragunna
Term850098_Title	Cathedral of Mercury
Term850099_Title	Order of the Deep
Term850100_Title	Acolyte
Term850101_Title	Montelli
Term850102_Title	Carnevale
Term850103_Title	Laurel
Term850104_Title	Shell Credit
Term850105_Title	Imperator
Term850106_Title	Cetus the Tidebreaker
Term850107_Title	Averardo Bank
Term850108_Title	Troupe of Fools
Term850109_Title	The Black Shores
Term850110_Title	Tethys
Term850111_Title	Modulator
Term850112_Title	Jinzhou Patroller
Term850113_Title	Overdash
Term850114_Title	Leihuangquan
Term850115_Title	Loong Whiskers Crisp
Term850116_Title	Sentinel Jué
Term850117_Title	Grand Library
Term850118_Title	Magistrate of Jinzhou
Term850119_Title	Illusory Dream
Term850120_Title	Velvet Dream
Term850121_Title	The Other Side of the Dream
Term850122_Title	Pero
Term850123_Title	Magic Box
Term850124_Title	Magistrate's Bodyguard
Term850125_Title	Golden Anthem
Term850126_Title	Shelter Home
Term850127_Title	Master Xuanmiao
Term850128_Title	Jinzhou Counselor
Term850129_Title	Riverside Games
Term850130_Title	Liondance Troupe
Term850131_Title	Liondance
Term850132_Title	Lion Head
Term850133_Title	Starflower
Term850134_Title	Fengyiquan
Term850135_Title	Bank
Term850136_Title	Black Alley
Term850137_Title	The Second Dark Tide
Term850138_Title	Carnevale Event A Decade Ago
Term850139_Title	Outrider
Term850140_Title	You'tan
Term850141_Title	Necrostar
Term850142_Title	Somnoire
Term850143_Title	Cinema Solaris
Term850144_Title	Solaris Film Festival
Term850145_Title	Nightmare Tacet Discord
Term850146_Title	Ebony Gatekeeper
Term850147_Title	Ivory Doorkeeper
Term850148_Title	Deep Water Zone
Term850149_Title	Great Agon
Term850150_Title	Gryphon's Fortress
Term850151_Title	Heartpour
Term850152_Title	Priestess
Term850153_Title	Play
Term850154_Title	Mengzhou
Term850155_Title	Team
Term850156_Title	Solis
Term850157_Title	Ephor
Term850158_Title	Copper Mirror
Term850159_Title	High Tide
Term850160_Title	Vale of Glory
Term850161_Title	Tidal Blight
Term850162_Title	Marvis Industry
Term850163_Title	Border Mountains
Term850164_Title	Gladiator
Term850165_Title	Echo Gladiating
Term850166_Title	Hero's Legacy Armor
Term850167_Title	Capitoline Hill
Term850168_Title	Guardian Echo
Term850169_Title	House Silva
Term850170_Title	Senate
Term850171_Title	Blightcloud
Term850172_Title	Cliffside Harbor
Term850173_Title	Ready Stance
Term850174_Title	Wolflame
Term850175_Title	Wolfaith
Term850176_Title	Pack Hunt
Term850177_Title	Burning Matchpoint
Term850178_Title	Glory
Term850179_Title	Conviction
Term850180_Title	Negative Status
Term850181_Title	Heart of Virtue
Term850182_Title	Mandate of Divinity
Term850183_Title	Power of Discord
Term850184_Title	Sword of Virtue's Shadow
Term850185_Title	Sword of Discord's Shadow
Term850186_Title	Sword of Divinity's Shadow
Term851000_Title	Dream of Gradation
Term851001_Title	Dream of Devouring
Term851002_Title	Dream of Exchange
Term851003_Title	Dream of Integration
Term851004_Title	Dream of Connection
Term851005_Title	Gradation
Term851006_Title	Devour
Term851007_Title	Exchange
Term851008_Title	Integration
Term851009_Title	Daily Coupon
Term851010_Title	Dreamland Coupon
Term851011_Title	Frequency Crystal
Term851012_Title	Echo Recruitment
Term851013_Title	Item of Exchange
Term851014_Title	Rooted
Term851015_Title	Dream Block: Gravel
Term851016_Title	Dream Block: Ice Shards
Term851017_Title	Lillibet
Term851018_Title	Book of Prophecies
Term851019_Title	Hero of Heroes
Term851020_Title	Fabricatorium of the Deep
Term851021_Title	The Lost Beyond
Term851022_Title	Echo Brooder
Term851023_Title	Dark Tide
Term851024_Title	Retroact Rain
Term851025_Title	Harbinger
Term851026_Title	Beyond
Term851027_Title	Threnodian's Gem
Term851028_Title	Sanguis Plateaus
Term851029_Title	Figurine: Conductor
Term851030_Title	Fortune Bell
Term851031_Title	Figurine: Gulpuff
Term851032_Title	Dreaming Round n' Round
Term851033_Title	Dreamy Firework
Term851034_Title	Kaleidoscope
Term851035_Title	Surprise Box
Term851036_Title	Clockwork Illuminator
Term851037_Title	Figurine: Excarat
Term851038_Title	Dreamscape Train
Term851039_Title	Stamp Book
Term851040_Title	Figurine: Clang Bang
Term851041_Title	Remove
Term851042_Title	Stonewall Bracer
Term851043_Title	Rage Against the Statue
Term851044_Title	Crownless
Term851045_Title	Basic Form
Term851046_Title	Fission Junrock
Term851047_Title	Roseshroom
Term851048_Title	Dream Block: Obsidian
Term851049_Title	Chop Chop
Term851050_Title	Prism
Term851051_Title	Adjacent
Term851052_Title	Same Row
Term851053_Title	Any Rarity
Term851054_Title	Questless Knight
Term851055_Title	Adjacent
Term851056_Title	Roseshroom
Term851057_Title	Violet-Feathered Heron
Term851058_Title	Fusion Cube
Term851059_Title	Vanguard Junrock
Term851060_Title	Hoochief Cyclone
Term851061_Title	Mourning Aix
Term851062_Title	Dreamborne: Roseshroom
Term851063_Title	Dream Block: Watermirror
Term851064_Title	Neon Tower
Term851065_Title	Left Behind
Term851066_Title	Irideglow
Term851067_Title	Longings
Term851068_Title	Irideglow Crystal
Term851069_Title	Startorch Academy
Term851070_Title	Void Storm
Term851071_Title	Spacetrek Collective
Term851072_Title	Namipon
Term851073_Title	Missing Namipons
Term851074_Title	Ashinohara
Term851075_Title	Dimmr Plains
Term851076_Title	Keystone
Term851077_Title	Stridergate
Term851078_Title	Seal of Flaming Sakura
Term851100_Title	Combo - Rice Dango Missile
Term851101_Title	Combo - Rice Dango Missile: Enhanced
Term851102_Title	Burst - Blazing Pillar
Term851103_Title	Burst - Scorching Impact
Term851104_Title	Boost - Namipon Aid
Term851105_Title	Boost - Sprint
Term851106_Title	Combo - Support Missile: Enhanced
Term851107_Title	Combo - Support Missile
Term851108_Title	Status - Waveworn Bane
Term851109_Title	Boost - Dessert Prep
Term851110_Title	Combo - Dessert Strike
Term851111_Title	Combo - Dessert Strike: Enhanced
Term851112_Title	Boost - Satisfaction
Term851113_Title	Burst - Coffee Impact
Term851114_Title	Boost - Coffee's Shelter
Term851115_Title	Critical State
Term851116_Title	Burst - Shock Impact
