priority,phrase,count,sample_file,sample_key,sample_translation,sample_source
1,skill dmg,91,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0002.json,PrefabTextItem_2933674891_Text,Skill DMG,Skill DMG
1,echo challenge,64,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0004.json,LevelPlay_122900014_ChallengeConditionMainText_122_3,Echo Challenge: Unfinished Book,Echo Challenge: Unfinished Book
1,skill,58,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0002.json,PrefabTextItem_4197251610_Text,Skill,Skill
1,resonance chain,57,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0003.json,PrefabTextItem_278672591_Text,Resonance Chain,Resonance Chain
1,go,53,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0024.json,HandBook_Prefab_BtnGo,Go,Go
1,an error occurred,49,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0017.json,GuideFocusNew_222_Content,An error occurred Vui lòng liên hệ Bộ phận Chăm sóc Khách hàng để được hỗ trợ,An error occurred. Please contact our Customer Service for assistance
1,second coming of,48,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0124.json,Side_CPHBZJ_5_6,"Rồi tao tình cờ nghe lỏm mấy <ano=NPCs>sinh vật ảo</ano> ở Học viện Startorch nói về một trò chơi tên là ""Second Coming of Solaris.""","Then I overheard the <ano=NPCs>virtual beings</ano> at Startorch Academy talking about a game called ""Second Coming of Solaris."""
1,disliked food,47,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0077.json,FavorWord_110209_Title,Disliked Food,Disliked Food
1,investigated area,46,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0003.json,LevelPlay_229900000_QuestScheduleMainTitle_229_17,Investigated Area: 1/5,Investigated Area: 1/5
1,resonance beacon,46,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0002.json,PrefabTextItem_2231935931_Text,Resonance Beacon,Resonance Beacon
1,aerial attack,43,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0078.json,FavorWord_110442_Title,Aerial Attack,Aerial Attack
1,female,43,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0014.json,Speaker_700178_Name,Female - {PlayerName} (Contemplating),Female - {PlayerName} (Contemplating)
1,resonance mode,42,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0005.json,Term150903_Desc,"Khi trúng mục tiêu bằng <color=Highlight>Photochromic Flux</color>, <color=Highlight>Basic Attack - Polychrome Leap</color>, <color=Highlight>Basic Attack - Iridescent Splash</color> hoặc <color=Highlight>Basic Attack - Visual Impact</color>, gây hiệu ứng <color=Highlight>Intro Skill - Time to Show Some Colors!</color>. Khi Lynae ở trạng thái <color=Highlight>Photochromic Flux</color>/<color=Highlight>Tune Rupture - Shifting</color>, <color=Highlight>Tune Strain - Shifting</color> sẽ gây <color=Highlight>Resonance Mode - Tune Rupture</color>/<color=Highlight>Resonance Mode - Tune Strain</color> lên mục tiêu trong 25 giây.","Inflict <color=Highlight>Photochromic Flux</color> when hitting a target with <color=Highlight>Basic Attack - Polychrome Leap</color>, <color=Highlight>Basic Attack - Iridescent Splash</color>, <color=Highlight>Basic Attack - Visual Impact</color> and <color=Highlight>Intro Skill - Time to Show Some Colors!</color>. <color=Highlight>Photochromic Flux</color> inflicts <color=Highlight>Tune Rupture - Shifting</color>/<color=Highlight>Tune Strain - Shifting</color> on targets for 25s when Lynae is "
1,enhanced heavy attack,41,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0017.json,GuideFocusNew_1361_Content,"Khi <color=Highlight>Forte Gauge</color> đầy, <color=Highlight>Enhanced Heavy Attack</color> sẽ khả dụng.","When <color=Highlight>Forte Gauge</color> is full, <color=Highlight>Enhanced Heavy Attack</color> becomes available."
1,challenge failed,40,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0001.json,LevelPlay_221700000_ChallengeFailMainText_221_1,Challenge failed,Challenge failed
1,resonance cost,40,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0013.json,SkillDescription_1104019_AttributeName,Resonance Cost,Resonance Cost
1,the black shores,40,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0217.json,FavorWord_120317_Content,Hi hi. Chào cậu! Tớ là Encore đến từ <te href=850109>the Black Shores</te>! Muốn đi phiêu lưu cùng tớ và lũ Woolies của tớ không?,"Hee-hee. Hi, there! I'm Encore from <te href=850109>the Black Shores</te>! Wanna go on an adventure with me and my Woolies?"
1,tower of adversity,40,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0007.json,WorldNewJourney_100004_SourceDesc,Hoàn thành <color=#c19f51>Tower of Adversity</color>: Khu Vực Ổn Định,Clear <color=#c19f51>Tower of Adversity</color>: Stable Zone
1,enhanced resonance skill,39,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0019.json,GuideFocusNew_1301_Content,<color=Highlight>Resonance Skill</color> được thay thế bằng <color=Highlight>Enhanced Resonance Skill</color>.,<color=Highlight>Resonance Skill</color> is replaced with <color=Highlight>Enhanced Resonance Skill</color>.
1,switch,38,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0001.json,PrefabTextItem_3526358274_Text,Switch,Switch
1,food,37,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0080.json,ItemHandBook_42300010_Title,Food,Food
1,off-tune level,37,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0022.json,GuideFocusNew_1421_Content,Một số đòn tấn công tích lũy Off-Tune Level cho một số kẻ địch nhất định,Some attacks accumulate Off-Tune Level for certain enemies
1,healing complete,36,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0005.json,LevelPlay_316700000_GeneralFloatingTipMainText_316_14,Healing complete,Healing complete
1,highest collection record,36,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0002.json,LevelPlay_122900014_QuestScheduleSubTitle_161_1,<color=#c9f797>Highest collection record: {q_count}%</color>,<color=#c9f797>Highest collection record: {q_count}%</color>
1,beyond the waves,33,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0027.json,Event_TCTL_1_8,"""Để khuyến khích các Tiên Phong và nhân viên giao hàng chia sẻ thêm về hành trình khám phá Jinzhou, Lollo Logistics đã hợp tác với Hiệp Hội Tiên Phong hân hạnh giới thiệu chiến dịch: Beyond the Waves!""","""As a way to encourage our Pioneers and couriers to further share their Jinzhou explorations, Lollo Logistics has partnered with the Pioneer Association to proudly present the campaign: Beyond the Waves!"""
1,adventures in the,32,mistral_translate_work\split_by_prompt\json\quest\lang_multi_text\lang_multi_text__quest__part_0015.json,Quest_222900003_QuestDesc_222_2,Adventures in the Water City - Aria Mummer,Adventures in the Water City-Aria Mummer
1,energy regen,32,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0002.json,LevelPlay_221700006_LevelPlaySubInfoContent_221_6,"Gây sát thương làm tăng <color=highlight>Energy Regen</color> thêm 10% trong 10 giây, có thể chồng chất lên đến 3 lần. Hiệu ứng kích hoạt mỗi giây một lần.","Dealing damage increases <color=highlight>Energy Regen</color> by 10% for 10s, stacking up to 3 times. This effect can be triggered once per second."
1,warning,31,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0002.json,PrefabTextItem_378880930_Text,Warning,Warning
1,energy,30,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0020.json,GuideFocusNew_20866_Content,Bạn đã hết Energy. Nhưng bạn có thể <color=#8c7e51>Reconstruct</color> các Echoes không cần thiết để nhận thêm Energy.,You're out of Energy. But you can <color=#8c7e51>Reconstruct</color> unneeded Echoes to obtain more Energy.
1,active skill,29,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0022.json,GuideFocusNew_21753_Content,"Ngoài Active Skill, Khu Vực này còn có hiệu ứng Nạp Năng.","Aside from the Active Skill, this Domain also has a Recharge effect."
1,investigation area,29,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0003.json,LevelPlay_229900000_ChallengeConditionMainText_229_3,Investigation Area 1,Investigation Area 1
1,level,29,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0002.json,PrefabTextItem_355180868_Text,Level {3},Level {3}
1,activated upon having,28,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0005.json,RogueResSynergyDesc_1001001_L1,"<color=Highlight>Activated upon having 3 Bond Members in the team</color>
Khi ở trạng thái Synergy Burst:
- Basic Attack hoặc Heavy Attack tiếp theo trúng mục tiêu, hoặc Dodge thành công kích hoạt Consecutive Punches, liên tục tấn công mục tiêu phía trước, gây Physical DMG bằng {1} ATK {0} times, được tính là Basic Attack DMG.
- Khi trúng mục tiêu bằng Basic Attack hoặc Heavy Attack hoặc thực hiện Dodge thành công, nhận thêm <SapTag=2>{2}</SapTag> {Cus:Sap,S=tầng P=tầng SapTag=2} Invisibility.","<color=Highlight>Activated upon having 3 Bond Members in the team</color>
When in Synergy Burst:
- The next Basic Attack or Heavy Attack hit, or a successful Dodge triggers Consecutive Punches, continuously striking the target ahead, dealing Physical DMG equal to {1} of ATK {0} times, considered Basic Attack DMG.
- When hitting a target with Basic Attack or Heavy Attack or performing a successful Dodge, gain <SapTag=2>{2}</SapTag> additional {Cus:Sap,S=stack P=stacks SapTag=2} of Invisibility."
1,bond members in,28,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0005.json,RogueResSynergyDesc_1001001_L1,"<color=Highlight>Activated upon having 3 Bond Members in the team</color>
Khi ở trạng thái Synergy Burst:
- Basic Attack hoặc Heavy Attack tiếp theo trúng mục tiêu, hoặc Dodge thành công kích hoạt Consecutive Punches, liên tục tấn công mục tiêu phía trước, gây Physical DMG bằng {1} ATK {0} times, được tính là Basic Attack DMG.
- Khi trúng mục tiêu bằng Basic Attack hoặc Heavy Attack hoặc thực hiện Dodge thành công, nhận thêm <SapTag=2>{2}</SapTag> {Cus:Sap,S=tầng P=tầng SapTag=2} Invisibility.","<color=Highlight>Activated upon having 3 Bond Members in the team</color>
When in Synergy Burst:
- The next Basic Attack or Heavy Attack hit, or a successful Dodge triggers Consecutive Punches, continuously striking the target ahead, dealing Physical DMG equal to {1} of ATK {0} times, considered Basic Attack DMG.
- When hitting a target with Basic Attack or Heavy Attack or performing a successful Dodge, gain <SapTag=2>{2}</SapTag> additional {Cus:Sap,S=stack P=stacks SapTag=2} of Invisibility."
1,plunging attack,28,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0206.json,ComboTeaching_14110202_DescriptionTitle,Qiuyuan: <color=#d4bf5f>Plunging Attack</color>,Qiuyuan: <color=#d4bf5f>Plunging Attack</color> Tutorial
1,resonance liberation dmg,28,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8154_MonsterTips,"Rapido Alloy:
Tốc độ phục hồi <color=highlight>Concerto Energy</color> của Resonators được tăng lên. Sau khi Resonators sử dụng Intro Skill, <color=highlight>Resonance Energy</color> sẽ được phục hồi đầy đủ và <color=highlight>Resonance Liberation DMG</color> sẽ tăng thêm 225%.","Rapido Alloy:
Resonators' <color=highlight>Concert Energy</color> regeneration rate is increased. After Resonators cast Intro Skills, <color=highlight>Resonance Energy</color> will be fully restored and <color=highlight>Resonance Liberation DMG</color> will be increased by 225%."
1,the team,28,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0005.json,RogueResSynergyDesc_1001001_L1,"<color=Highlight>Activated upon having 3 Bond Members in the team</color>
Khi ở trạng thái Synergy Burst:
- Basic Attack hoặc Heavy Attack tiếp theo trúng mục tiêu, hoặc Dodge thành công kích hoạt Consecutive Punches, liên tục tấn công mục tiêu phía trước, gây Physical DMG bằng {1} ATK {0} times, được tính là Basic Attack DMG.
- Khi trúng mục tiêu bằng Basic Attack hoặc Heavy Attack hoặc thực hiện Dodge thành công, nhận thêm <SapTag=2>{2}</SapTag> {Cus:Sap,S=tầng P=tầng SapTag=2} Invisibility.","<color=Highlight>Activated upon having 3 Bond Members in the team</color>
When in Synergy Burst:
- The next Basic Attack or Heavy Attack hit, or a successful Dodge triggers Consecutive Punches, continuously striking the target ahead, dealing Physical DMG equal to {1} of ATK {0} times, considered Basic Attack DMG.
- When hitting a target with Basic Attack or Heavy Attack or performing a successful Dodge, gain <SapTag=2>{2}</SapTag> additional {Cus:Sap,S=stack P=stacks SapTag=2} of Invisibility."
1,stay tuned,27,mistral_translate_work\split_by_prompt\json\name_title\lang_role\lang_role__name_title__part_0001.json,32,Stay tuned,Stay tuned
1,area investigated,25,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0003.json,LevelPlay_229900000_ChallengeSuccessMainText_229_4,Area Investigated,Area Investigated
1,banner of conquest,25,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0011.json,HelpText_322_Content,"Sau khi hoàn thành tất cả thử thách ""Banner of Conquest: Medium"" và ""Banner of Conquest: Major"", cậu có thể vô hiệu hóa chế độ ""Banners Never Fall"" thông qua Nhiệm Vụ Tutorial ""Path of the Victorious"".
Khi chế độ này bị vô hiệu hóa, kẻ địch thông thường sẽ xuất hiện trở lại trong khu vực, và hệ thống Glory Level sẽ bị tắt. Tuy nhiên, cậu vẫn có thể nhận được buff trong các vùng thử thách.
Các Rương Chiến Lợi phẩm chưa nhận trong vùng thử thách sẽ vẫn còn để thu thập.","After completing all ""Banner of Conquest: Medium"" and ""Banner of Conquest: Major"" challenges, you can deactivate the ""Banners Never Fall"" gameplay through the Tutorial Quest ""Path of the Victorious.""
Once the gameplay is deactivated, normal enemy spawning will resume in the area, and the Glory Level system will be disabled. However, you can still gain buffs within challenge zones.
Any unclaimed Trophy Chests in the challenge zones will remain available for collection."
1,breakthrough material for,25,mistral_translate_work\split_by_prompt\json\name_title\lang_handbook\lang_handbook__name_title__part_0001.json,176,Breakthrough Material for weapon,Breakthrough Material for weapon
1,cetus the tidebreaker,25,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0045.json,Main_Linaxita_2_0_8_4,"Vùng nước này đầy rẫy những Tacet Discord khổng lồ và huyền bí. Con quái vật cậu vừa thấy kia gọi là ""Cetus the Tidebreaker"".","These waters teem with colossal, mystical Tacet Discords. That behemoth you saw is called ""Cetus the Tidebreaker."""
1,ku ku ku,25,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0026.json,Heihaian_main_1_3_5641_3,"Ku ku ku... Ta thích cậu đấy, {PlayerName}！","Ku ku ku... I like you, {PlayerName}！"
1,menu,25,mistral_translate_work\split_by_prompt\json\ui\lang_menu\lang_menu__ui__part_0001.json,146,Menu,Menu
1,of their max,24,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0004.json,BabelDebuff_10000169_BuffDesc,"Khi bước vào trận chiến, tất cả kẻ địch nhận được Shield tương đương <color=#b72924ff>50% of their Max HP</color>. <color=#5cc96aff>Casting Resonance Liberation</color> sẽ trao cho tất cả Resonator trong đội Shield tương đương <color=#5cc96aff>10% of their Max HP</color> của họ.","Upon entering the battle, all enemies gain a Shield equal to <color=#b72924ff>50% of their Max HP</color>. <color=#5cc96aff>Casting Resonance Liberation</color> grants all Resonator in the team a Shield equal to <color=#5cc96aff>10% of their Max HP</color>."
1,tds defeated,24,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0006.json,LevelPlay_316700003_QuestScheduleSubTitle_316_1,TDs defeated: {击杀怪物数}/{怪物单日上限数},TDs defeated: {击杀怪物数}/{怪物单日上限数}
1,co-op,23,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8180_MonsterTips,Cooldown sinh: 10 giây (Solo & Co-op),Revival Time: 10s (Solo & Co-op)
1,final test,23,mistral_translate_work\split_by_prompt\json\quest\lang_multi_text\lang_multi_text__quest__part_0007.json,LevelPlay_213850000_ChildQuestTip_30_36,Bước vào Final Test,Proceed to the Final Test
1,head to the,23,mistral_translate_work\split_by_prompt\json\quest\lang_multi_text\lang_multi_text__quest__part_0001.json,LevelPlay_151000003_ChildQuestTip_151_54,Head to the designated location qua cổng không gian,Head to the designated location via the portal
1,dreams of cindertide,22,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0237.json,ItemInfo_71280002_ObtainedShowDescription,"Mã thông báo cho thành tích hoàn thành tất cả thử thách trong ""Dreams of Cindertide: Septimont"".","A token of your successful completion of all the challenges in ""Dreams of Cindertide: Septimont."""
1,queen of the,22,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0002.json,LevelPlay_317850023_GeneralFloatingTipMainText_317_6,"Queen of the Night học được kỹ năng mới - Bong Bóng Hồi Phục, chữa trị cho Cộng Hưởng Giả và Tacet Discord trên chiến trường","Queen of the Night gains a new ability - Healing Bubble, providing healing to Resonators and Tacet Discords on the field"
1,sublime is the,22,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0005.json,Term130601_Desc,"Mỗi lớp cộng dồn tăng {0} Electro DMG Bonus, tối đa <SapTag=1>{1}</SapTag> {Cus:Sap,S=lần P=lần cộng dồn SapTag=1}. Khi <color=Highlight>Resonance Liberation - Sublime is the Sun: Everbright Protector</color> kết thúc, tất cả các lớp cộng dồn của Crown of Wills sẽ bị xóa.","Each stack grants {0} Electro DMG Bonus, stacking up to <SapTag=1>{1}</SapTag> {Cus:Sap,S=time P=times SapTag=1}. When <color=Highlight>Resonance Liberation - Sublime is the Sun: Everbright Protector</color> ends, all stacks of Crown of Wills are removed."
1,tactic points obtained,22,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0001.json,LevelPlay_224750000_QuestScheduleSubTitle_224_54,<color=yellow>Tactic Points obtained: {q_count}</color>,<color=yellow>Tactic Points obtained: {q_count}</color>
1,thus spoke the,22,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0206.json,ComboTeaching_14110102_DescriptionTitle,Qiuyuan: <color=#d4bf5f>Thus Spoke the Blade: Inkwash</color>,Qiuyuan: <color=#d4bf5f>Thus Spoke the Blade: Inkwash</color> Tutorial
1,chain resonance skill,21,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0010.json,ComboTeaching_11050901_DescriptionContent,"Khi <color=Highlight>Forte Gauge</color> đầy, hãy dùng <color=Highlight>Resonance Skill</color> rồi <color=Highlight>Basic Attack</color> để triệu hồi 3 <color=Highlight>Phantasmic Imprints</color>. Mỗi <color=Highlight>Phantasmic Imprint</color> cho phép Zhezhi thi triển 1 <color=Highlight>Chain Resonance Skill</color>.","When the <color=Highlight>Forte Gauge</color> is full, use <color=Highlight>Resonance Skill</color> and then <color=Highlight>Basic Attack</color> to summon 3 <color=Highlight>Phantasmic Imprints</color>. Each <color=Highlight>Phantasmic Imprint</color> allows Zhezhi to cast 1 <color=Highlight>Chain Resonance Skill</color>."
1,complete challenge,21,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0005.json,LevelPlay_316700000_QuestScheduleMainTitle_316_1,Complete Challenge: {BOSS击杀}/{击杀目标数},Complete Challenge: {BOSS击杀}/{击杀目标数}
1,fabricatorium of the,21,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0007.json,PrefabTextItem_426659740_Text,Fabricatorium of the Deep,Fabricatorium of the Deep
1,inherent skill,21,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0005.json,Term160801_Desc,"Phrolova có thể giữ tối đa 6 <color=Highlight>Âm Giai Bất Định</color>. Khi <color=Highlight>Âm Giai Bất Định</color> đạt số lượng tối đa, tất cả sẽ dịch chuyển một ô sang trái, và <color=Highlight>Âm Giai Bất Định - Dây</color> hoặc <color=Highlight>Âm Giai Bất Định - Gió</color> ở ô ngoài cùng bên trái sẽ bị loại bỏ.
Tấn công mục tiêu bằng <color=Highlight>Basic Attack Stage 3</color> hoặc <color=Highlight>Điệu Nhảy Fate và Tận Cùng</color> sẽ nhận được 1 <color=Highlight>Âm Giai Bất Định - Dây</color>.
Tấn công mục tiêu bằng Resonance Skill <color=Highlight>Lời Thì Thầm Trong Giấc Mơ Phù Du</color> hoặc Resonance Skill <color=Highlight>Lời Thì Thầm Trong Giấc Mơ Kinh Hoàng</color> sẽ nhận được 1 <color=Highlight>Âm Giai Bất Định - Gió</color>.
Khi <color=Highlight>Inherent Skill - Ngẫu ","Phrolova can hold up to 6 <color=Highlight>Volatile Notes</color>. When <color=Highlight>Volatile Notes</color> reach the max number, all <color=Highlight>Volatile Notes</color> shift one slot to the left, and the leftmost <color=Highlight>Volatile Note - Strings</color> or <color=Highlight>Volatile Note - Winds</color> will be removed.
Hitting a target with <color=Highlight>Basic Attack Stage 3</color> or <color=Highlight>Movement of Fate and Finality</color> grants 1 <color=Highlight>Volatile "
1,proceed to second,21,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0022.json,LevelPlay_222700000_QuestScheduleMainTitle_222_15,Proceed to Second Half,Proceed to Second Half
1,increase crit,20,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0006.json,RiskHarvest_buffDesc_13,Increase Crit. Rate thêm 10% cho toàn đội.,Increase Crit. Rate by 10% for all team members.
1,resonance nexus,20,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0006.json,MapMark_300202_MarkTitle,Resonance Nexus,Resonance Nexus
1,soar to the,20,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0225.json,Achievement_400302_Desc,"Hoàn thành bất kỳ màn nào với xếp hạng S trở lên ở chế độ ""Soar to the Beat"" 1 lần.","Complete any difficulty of any stage with S Rating and above in ""Soar to the Beat"" once."
1,test weapon,20,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0067.json,WeaponConf_21010054_AttributesDescription,test weapon,test weapon
1,zig zag,20,mistral_translate_work\split_by_prompt\json\ui\lang_calabash\lang_calabash__ui__part_0001.json,7,Zig Zag,Zig Zag
1,atk is increased,19,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0018.json,WeaponConf_21010014_Desc,"Khi chịu sát thương, ATK is increased by {0}% và Phòng Ngự tăng {1}% trong 10 giây. Có thể tích lũy tối đa 3 lần.","When receiving damage, ATK is increased by {0}% and DEF by {1}% for 10s. Can be stacked up to 3 times."
