phrase,count,sample_file,sample_key,sample_translation,sample_source
talk,277,mistral_translate_work\split_by_prompt\json\quest\lang_multi_text\lang_multi_text__quest__part_0001.json,Quest_139900000_InteractContent_139_1,Talk,Talk
intro skill,256,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8163_MonsterTips,"Hợp kim Aftersound:
Increase DMG của Resonators không hoạt động khi <color=highlight>Attack Phối Hợp</color> trúng mục tiêu. Hiệu ứng này có thể cộng dồn.
Tất cả thành viên trong đội nhận thêm Resonance Energy và Concerto Energy khi <color=highlight>Attack Phối Hợp</color> trúng mục tiêu.
Increase Crit. Rate và Crit. DMG cho tất cả thành viên trong đội trong 8 giây khi <color=highlight>Intro Skill</color> trúng mục tiêu.","Aftersound Alloy:
Increase inactive Resonators' DMG when <color=highlight>Coordinated Attack</color> hits the target. This effect can be stacked.
All party members gain extra Resonance Energy and Concerto Energy when <color=highlight>Coordinated Attack</color> hits the target.
Increase all party members' Crit. Rate and Crit. DMG for 8s when <color=highlight>Intro Skill</color> hits the target."
glacio dmg,250,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0012.json,InstanceDungeon_4041_MonsterTips,<color=Ice>Glacio DMG</color> Bonus tăng 40%.,<color=Ice>Glacio DMG</color> Bonus increased by 40%.
electro dmg,241,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0012.json,InstanceDungeon_4044_MonsterTips,<color=Thunder>Electro DMG</color> Bonus tăng 40%.,<color=Thunder>Electro DMG</color> Bonus increased by 40%.
normal attack,164,mistral_translate_work\split_by_prompt\json\ui\lang_menu\lang_menu__ui__part_0001.json,96,Normal Attack,Normal Attack
attack,107,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0017.json,GuideFocusNew_1478_Content,Tiêu hao 50% Tỷ lệ Đồng bộ để tung đòn Attack Đồng bộ Nâng cao,Consume 50% Synchronization Rate to launch Enhanced Sync Attack
challenge,107,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_93_MapName,test 子 Challenge 相关测试,test 子 Challenge 相关测试
basic attack stage,106,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0018.json,GuideFocusNew_1157_Content,"{0} Khi Jinhsi sử dụng <color=Highlight>Basic Attack Stage 4</color>, Resonance Skill của cô sẽ được thay thế bằng Resonance Skill: <color=Highlight>Overflowing Radiance</color>.","{0} When Jinhsi casts <color=Highlight>Basic Attack Stage 4</color>, her Resonance Skill is replaced with Resonance Skill: <color=Highlight>Overflowing Radiance</color>."
rate,101,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0001.json,PrefabTextItem_630318351_Text,Crit. Rate,Crit. Rate
resonance energy,96,mistral_translate_work\split_by_prompt\json\ui\lang_advice\lang_advice__ui__part_0001.json,3,Resonance Energy,Resonance energy
skill dmg,91,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0002.json,PrefabTextItem_2933674891_Text,Skill DMG,Skill DMG
concerto energy,74,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8155_MonsterTips,"Hợp Kim Công Kích:
Tốc độ phục hồi <color=highlight>Concerto Energy</color> của Resonators được tăng. Sau khi Resonators sử dụng <color=highlight>Intro Skill</color>, <color=highlight>Crit. Rate</color> của họ tăng 100% và <color=highlight>Crit. DMG</color> tăng 30%. Hiệu ứng tăng Crit. DMG có thể cộng dồn tối đa 15 lần.","Striking Alloy:
Resonators' <color=highlight>Concerto Energy</color> regeneration rate is increased. After Resonators cast <color=highlight>Intro Skills</color>, their <color=highlight>Crit. Rate</color> is increased by 100% and <color=highlight>Crit. DMG</color> is increased by 30%. The effect of Crit. DMG boost can stack up to 15 times."
echo challenge,64,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0004.json,LevelPlay_122900014_ChallengeConditionMainText_122_3,Echo Challenge: Unfinished Book,Echo Challenge: Unfinished Book
echo skill,62,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0003.json,PrefabTextItem_1101170257_Text,Echo Skill,Echo Skill
skill,58,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0002.json,PrefabTextItem_4197251610_Text,Skill,Skill
fusion dmg bonus,57,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0006.json,TowerChallengeBuff_92007102_Desc,Resonators nhận 30% <color=Fire>Fusion DMG Bonus</color>.,Resonators gain 30% <color=Fire>Fusion DMG Bonus</color>.
havoc dmg bonus,57,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0006.json,TowerChallengeBuff_92007105_Desc,Resonators nhận 30% <color=Dark>Havoc DMG Bonus</color>.,Resonators gain 30% <color=Dark>Havoc DMG Bonus</color>.
outro skill,57,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0012.json,InstanceDungeon_4008_MapName,Outro Skill,Outro Skill
enemies near,53,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0078.json,FavorWord_110257_Title,Enemies Near,Enemies Near
go,53,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0024.json,HandBook_Prefab_BtnGo,Go,Go
glacio dmg bonus,50,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0005.json,TowerChallengeBuff_92007103_Desc,Resonators nhận 30% <color=Ice>Glacio DMG Bonus</color>.,Resonators gain 30% <color=Ice>Glacio DMG Bonus</color>.
an error occurred,49,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0017.json,GuideFocusNew_222_Content,An error occurred Vui lòng liên hệ Bộ phận Chăm sóc Khách hàng để được hỗ trợ,An error occurred. Please contact our Customer Service for assistance
spectro dmg bonus,48,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0005.json,TowerChallengeBuff_92007104_Desc,Resonators nhận 30% <color=Light>Spectro DMG Bonus</color>.,Resonators gain 30% <color=Light>Spectro DMG Bonus</color>.
disliked food,47,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0077.json,FavorWord_110209_Title,Disliked Food,Disliked Food
aero dmg bonus,46,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0006.json,TowerChallengeBuff_92007101_Desc,Resonators nhận 30% <color=Wind>Aero DMG Bonus</color>.,Resonators gain 30% <color=Wind>Aero DMG Bonus</color>.
dodge counter dmg,45,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0007.json,Activity_1112_Description,Dodge Counter DMG tăng thêm 500%,Dodge Counter DMG is increased by 500%
aerial attack,43,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0078.json,FavorWord_110442_Title,Aerial Attack,Aerial Attack
resonance mode,42,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0005.json,Term150903_Desc,"Khi trúng mục tiêu bằng <color=Highlight>Photochromic Flux</color>, <color=Highlight>Basic Attack - Polychrome Leap</color>, <color=Highlight>Basic Attack - Iridescent Splash</color> hoặc <color=Highlight>Basic Attack - Visual Impact</color>, gây hiệu ứng <color=Highlight>Intro Skill - Time to Show Some Colors!</color>. Khi Lynae ở trạng thái <color=Highlight>Photochromic Flux</color>/<color=Highlight>Tune Rupture - Shifting</color>, <color=Highlight>Tune Strain - Shifting</color> sẽ gây <color=Highlight>Resonance Mode - Tune Rupture</color>/<color=Highlight>Resonance Mode - Tune Strain</color> lên mục tiêu trong 25 giây.","Inflict <color=Highlight>Photochromic Flux</color> when hitting a target with <color=Highlight>Basic Attack - Polychrome Leap</color>, <color=Highlight>Basic Attack - Iridescent Splash</color>, <color=Highlight>Basic Attack - Visual Impact</color> and <color=Highlight>Intro Skill - Time to Show Some Colors!</color>. <color=Highlight>Photochromic Flux</color> inflicts <color=Highlight>Tune Rupture - Shifting</color>/<color=Highlight>Tune Strain - Shifting</color> on targets for 25s when Lynae is "
enhanced heavy attack,41,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0017.json,GuideFocusNew_1361_Content,"Khi <color=Highlight>Forte Gauge</color> đầy, <color=Highlight>Enhanced Heavy Attack</color> sẽ khả dụng.","When <color=Highlight>Forte Gauge</color> is full, <color=Highlight>Enhanced Heavy Attack</color> becomes available."
challenge failed,40,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0001.json,LevelPlay_221700000_ChallengeFailMainText_221_1,Challenge failed,Challenge failed
electro dmg bonus,39,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0005.json,Term130601_Desc,"Mỗi lớp cộng dồn tăng {0} Electro DMG Bonus, tối đa <SapTag=1>{1}</SapTag> {Cus:Sap,S=lần P=lần cộng dồn SapTag=1}. Khi <color=Highlight>Resonance Liberation - Sublime is the Sun: Everbright Protector</color> kết thúc, tất cả các lớp cộng dồn của Crown of Wills sẽ bị xóa.","Each stack grants {0} Electro DMG Bonus, stacking up to <SapTag=1>{1}</SapTag> {Cus:Sap,S=time P=times SapTag=1}. When <color=Highlight>Resonance Liberation - Sublime is the Sun: Everbright Protector</color> ends, all stacks of Crown of Wills are removed."
enhanced resonance skill,39,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0019.json,GuideFocusNew_1301_Content,<color=Highlight>Resonance Skill</color> được thay thế bằng <color=Highlight>Enhanced Resonance Skill</color>.,<color=Highlight>Resonance Skill</color> is replaced with <color=Highlight>Enhanced Resonance Skill</color>.
switch,38,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0001.json,PrefabTextItem_3526358274_Text,Switch,Switch
food,37,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0080.json,ItemHandBook_42300010_Title,Food,Food
havoc res,33,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0004.json,Bossch_detail_6,[Kháng cự]: Kẻ địch này có <color=Dark>Havoc RES</color> cao hơn.,[Resistance]: This enemy has a higher <color=Dark>Havoc RES</color>.
energy regen,32,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0002.json,LevelPlay_221700006_LevelPlaySubInfoContent_221_6,"Gây sát thương làm tăng <color=highlight>Energy Regen</color> thêm 10% trong 10 giây, có thể chồng chất lên đến 3 lần. Hiệu ứng kích hoạt mỗi giây một lần.","Dealing damage increases <color=highlight>Energy Regen</color> by 10% for 10s, stacking up to 3 times. This effect can be triggered once per second."
warning,31,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0002.json,PrefabTextItem_378880930_Text,Warning,Warning
energy,30,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0020.json,GuideFocusNew_20866_Content,Bạn đã hết Energy. Nhưng bạn có thể <color=#8c7e51>Reconstruct</color> các Echoes không cần thiết để nhận thêm Energy.,You're out of Energy. But you can <color=#8c7e51>Reconstruct</color> unneeded Echoes to obtain more Energy.
spectro res,30,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0004.json,Bossch_detail_5,[Kháng Cự]: Kẻ địch này có <color=Light>Spectro RES</color> cao hơn.,[Resistance]: This enemy has a higher <color=Light>Spectro RES</color>.
active skill,29,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0022.json,GuideFocusNew_21753_Content,"Ngoài Active Skill, Khu Vực này còn có hiệu ứng Nạp Năng.","Aside from the Active Skill, this Domain also has a Recharge effect."
aero res,29,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0004.json,Bossch_detail_4,[Kháng Hiệu Ứng]: Kẻ địch này có <color=Wind>Aero RES</color> cao hơn.,[Resistance]: This enemy has a higher <color=Wind>Aero RES</color>.
plunging attack,28,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0206.json,ComboTeaching_14110202_DescriptionTitle,Qiuyuan: <color=#d4bf5f>Plunging Attack</color>,Qiuyuan: <color=#d4bf5f>Plunging Attack</color> Tutorial
resonance liberation dmg,28,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8154_MonsterTips,"Rapido Alloy:
Tốc độ phục hồi <color=highlight>Concerto Energy</color> của Resonators được tăng lên. Sau khi Resonators sử dụng Intro Skill, <color=highlight>Resonance Energy</color> sẽ được phục hồi đầy đủ và <color=highlight>Resonance Liberation DMG</color> sẽ tăng thêm 225%.","Rapido Alloy:
Resonators' <color=highlight>Concert Energy</color> regeneration rate is increased. After Resonators cast Intro Skills, <color=highlight>Resonance Energy</color> will be fully restored and <color=highlight>Resonance Liberation DMG</color> will be increased by 225%."
fusion res,27,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0003.json,Term850178_Desc,"<size=40><color=Title>Resonance Liberation - Glory</color></size>
Kích hoạt Resonance Liberation <color=Highlight>Fire-Kissed Glory</color> sẽ nhận <color=Highlight>Glory</color>. Trong vòng 35 giây:
Các đòn tấn công của tất cả Resonators trong đội sẽ bỏ qua 3% Fusion RES. Với mỗi Resonators hệ Fusion khác trong đội ngoài Lupa, hiệu ứng này tăng thêm 3%, tối đa 9%. Khi đội có 3 Resonators hệ Fusion, các đòn tấn công của Resonators sẽ bỏ qua thêm 6% Fusion RES.","<size=40><color=Title>Resonance Liberation - Glory</color></size>
Casting Resonance Liberation <color=Highlight>Fire-Kissed Glory</color> grants <color=Highlight>Glory</color>. Within 35s:
Attacks of all Resonators in the team ignore 3% Fusion RES. For each Fusion Resonator in the team other than Lupa, this effect increases by 3%, up to the maximum of 9%. When there are 3 Fusion Resonators in the team, Resonators' attacks further ignore 6% Fusion RES."
electro res,26,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0004.json,Bossch_detail_3,[Kháng]: Kẻ địch này có <color=Thunder>Electro RES</color> cao hơn.,[Resistance]: This enemy has a higher <color=Thunder>Electro RES</color>.
chain resonance skill,21,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0010.json,ComboTeaching_11050901_DescriptionContent,"Khi <color=Highlight>Forte Gauge</color> đầy, hãy dùng <color=Highlight>Resonance Skill</color> rồi <color=Highlight>Basic Attack</color> để triệu hồi 3 <color=Highlight>Phantasmic Imprints</color>. Mỗi <color=Highlight>Phantasmic Imprint</color> cho phép Zhezhi thi triển 1 <color=Highlight>Chain Resonance Skill</color>.","When the <color=Highlight>Forte Gauge</color> is full, use <color=Highlight>Resonance Skill</color> and then <color=Highlight>Basic Attack</color> to summon 3 <color=Highlight>Phantasmic Imprints</color>. Each <color=Highlight>Phantasmic Imprint</color> allows Zhezhi to cast 1 <color=Highlight>Chain Resonance Skill</color>."
complete challenge,21,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0005.json,LevelPlay_316700000_QuestScheduleMainTitle_316_1,Complete Challenge: {BOSS击杀}/{击杀目标数},Complete Challenge: {BOSS击杀}/{击杀目标数}
inherent skill,21,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0005.json,Term160801_Desc,"Phrolova có thể giữ tối đa 6 <color=Highlight>Âm Giai Bất Định</color>. Khi <color=Highlight>Âm Giai Bất Định</color> đạt số lượng tối đa, tất cả sẽ dịch chuyển một ô sang trái, và <color=Highlight>Âm Giai Bất Định - Dây</color> hoặc <color=Highlight>Âm Giai Bất Định - Gió</color> ở ô ngoài cùng bên trái sẽ bị loại bỏ.
Tấn công mục tiêu bằng <color=Highlight>Basic Attack Stage 3</color> hoặc <color=Highlight>Điệu Nhảy Fate và Tận Cùng</color> sẽ nhận được 1 <color=Highlight>Âm Giai Bất Định - Dây</color>.
Tấn công mục tiêu bằng Resonance Skill <color=Highlight>Lời Thì Thầm Trong Giấc Mơ Phù Du</color> hoặc Resonance Skill <color=Highlight>Lời Thì Thầm Trong Giấc Mơ Kinh Hoàng</color> sẽ nhận được 1 <color=Highlight>Âm Giai Bất Định - Gió</color>.
Khi <color=Highlight>Inherent Skill - Ngẫu ","Phrolova can hold up to 6 <color=Highlight>Volatile Notes</color>. When <color=Highlight>Volatile Notes</color> reach the max number, all <color=Highlight>Volatile Notes</color> shift one slot to the left, and the leftmost <color=Highlight>Volatile Note - Strings</color> or <color=Highlight>Volatile Note - Winds</color> will be removed.
Hitting a target with <color=Highlight>Basic Attack Stage 3</color> or <color=Highlight>Movement of Fate and Finality</color> grants 1 <color=Highlight>Volatile "
increase crit,20,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0006.json,RiskHarvest_buffDesc_13,Increase Crit. Rate thêm 10% cho toàn đội.,Increase Crit. Rate by 10% for all team members.
resonance rate,19,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0017.json,GuideFocusNew_1481_Content,Kích hoạt Enhanced Sync Attack để tăng Resonance Rate,Launch Enhanced Sync Attack to increase Resonance Rate
air attack,18,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0060.json,ComboTeaching_11020301_IconText_1,Air Attack,Air Attack
dreamscape energy,18,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0027.json,Werouge_BuffDesc_2101,"Resonators Hỗ Trợ Giấc Mơ Hiện Tại: <color=#ffd12f>Phoebe, Jinhsi, Shorekeeper, and Verina</color>. Hãy sử dụng ít nhất một Resonators Hỗ Trợ Giấc Mơ để <color=#ffd12f>gain a 150% Point Bonus!</color>

Hiệu ứng Hỗ Trợ Giấc Mơ Hiện Tại:
- Tất cả Resonators trong đội <color=#ffd12f>gain 30% Spectro DMG Bonus.</color>
- Đánh trúng mục tiêu bằng Basic Attack sẽ nhận được 20 Năng Lượng Giấc Mơ. Hiệu ứng này có thể kích hoạt mỗi giây một lần. <color=#ffd12f>Casting Resonance Skill grants 50 Dreamscape Energy, and healing a Resonator with Resonance Skill grants another 50 Dreamscape Energy. This effect can be triggered once every 10s. Damaging a target affected by Spectro Frazzle grants 30 Dreamscape Energy. This effect can be triggered once every second.</color>
- Khi Năng Lượng Giấc Mơ đạt 500,","Current Dreamscape Aid Resonators: <color=#ffd12f>Phoebe, Jinhsi, Shorekeeper, and Verina</color>. Use at least one Dreamscape Aid Resonator to <color=#ffd12f>gain a 150% Point Bonus!</color>

Current Dreamscape Aid Effects:
- All Resonators in the team <color=#ffd12f>gain 30% Spectro DMG Bonus.</color>
- Hitting a target with Basic Attack grants 20 Dreamscape Energy. This effect can be triggered once every second. <color=#ffd12f>Casting Resonance Skill grants 50 Dreamscape Energy, and healing a"
echo skill dmg,18,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8156_MonsterTips,"Hợp Kim Đe Dọa:
<color=highlight>Echo Skill DMG</color> tăng 20% mỗi khi <color=highlight>Echo Skill</color> được thi triển. Hiệu ứng này có thể cộng dồn tối đa 15 lần. **Cooldown** của <color=highlight>Echo Skill</color> thi triển trong vòng 8 giây sau <color=highlight>Resonance Liberation</color> sẽ giảm 100%.","Intimidating Alloy:
<color=highlight>Echo Skill DMG</color> is increased by 20% every time <color=highlight>Echo Skill</color> is cast. This effect can stack up to 15 times. The CD of <color=highlight>Echo Skills</color> cast within 8s after a <color=highlight>Resonance Liberation</color> is reduced by 100%."
glacio res,18,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0004.json,Bossch_detail_1,[Kháng Cự]: Kẻ địch này có <color=Ice>Glacio RES</color> cao hơn.,[Resistance]: This enemy has a higher <color=Ice>Glacio RES</color>.
