severity,suspicious_count,ratio,words,domain,file,primary_key,translation,source_en
37.0,5,1.0,and; challenge; collect; Complete; tokens,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0021.json,LevelPlay_124000080_QuestScheduleMainTitle_0_2,Complete challenge and collect tokens,Complete challenge and collect tokens
37.0,5,1.0,and; challenge; collect; Complete; tokens,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0021.json,LevelPlay_124000081_QuestScheduleMainTitle_0_2,Complete challenge and collect tokens,Complete challenge and collect tokens
37.0,5,1.0,and; challenge; collect; Complete; tokens,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0021.json,LevelPlay_135000010_QuestScheduleMainTitle_0_2,Complete challenge and collect tokens,Complete challenge and collect tokens
37.0,5,1.0,and; challenge; collect; Complete; tokens,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0021.json,LevelPlay_135000011_QuestScheduleMainTitle_0_2,Complete challenge and collect tokens,Complete challenge and collect tokens
37.0,5,1.0,been; equipped; has; module; This,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0038.json,EquipLockTipsText,This module has been equipped,This module has been equipped
37.0,5,1.0,be; here; said; to; was,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0045.json,Character_Cantarella_122_4,was said to be here,was said to be here
36.5,6,0.75,Left; Overtime; Right; To; Vacation,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0043.json,Dango_SkillPage_Name_Zanni,"Overtime To the Left, Vacation To the Right","Overtime To the Left, Vacation To the Right"
36.0,9,0.9,Brutal; Iron; March; of; Packs; Resolve; Stress; Swarm; Tough,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0070.json,ConditionGroup_12900814_HintText,Hoàn thành March of Brutal Packs với Stress Mô-đun Tough Swarm và Iron Resolve trang bị,Clear March of Brutal Packs with Stress Module Tough Swarm and Iron Resolve equipped
35.75,7,0.875,Applause; Crisis; for; Level; Stress; Swift; Trial,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0070.json,ConditionGroup_12900903_HintText,Hoàn thành Crisis Trial - Applause for the Swift ở Stress Level 6,Clear Crisis Trial - Applause for the Swift at Stress Level 6
35.75,7,0.875,Duel; Level; of; Peaks; Prestige; Rank; Rekindled,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0098.json,MotorBike_TechCube_Task_311001,"Đạt Rank Level 15 trong ""Peaks of Prestige: Rekindled Duel""","Reach Rank Level 15 in ""Peaks of Prestige: Rekindled Duel"""
35.75,7,0.875,A; My; Name; O; Rating; Sun; Witness,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0098.json,RhythmTask_1012_Name,"Hoàn thành ""O Sun, Witness My Name"" ở độ khó Thường với Rating cao hơn A","Complete ""O Sun, Witness My Name"" on Normal with a Rating higher than A"
35.57,6,0.857,Cascade; Down; Level; Stars; Vibe; Where,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0098.json,MotorBike_TechCube_Task_312002,"Đạt Vibe Level 6 trong ""Where Stars Cascade Down""","Reach Vibe Level 6 in ""Where Stars Cascade Down"""
35.57,6,0.857,Cascade; Down; Level; Stars; Vibe; Where,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0098.json,MotorBike_TechCube_Task_312003,"Đạt Vibe Level 9 trong ""Where Stars Cascade Down""","Reach Vibe Level 9 in ""Where Stars Cascade Down"""
35.0,9,0.9,Brutal; Healing; Leech; March; of; Packs; Rage; Stress,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0070.json,ConditionGroup_12900813_HintText,Hoàn thành March of Brutal Packs với Stress Mô-đun Rage Leech và Rage Healing trang bị,Clear March of Brutal Packs with Stress Module Rage Leech and Rage Healing equipped
35.0,7,1.0,Bed; Early; Rise; Soliskin; to,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0019.json,Speaker_850503_Name,Early to Bed Early to Rise Soliskin,Early to Bed Early to Rise Soliskin
34.78,7,0.778,Although; Colors; Form; Have; Night; Over; Starry,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0086.json,LongShanTask_1901_TaskName,Đạt 2.000 điểm trong Starry Night Over Ragunna của Although Colors Have Không Form,"Obtain 2,000 points in Starry Night Over Ragunna of Although Colors Have No Form"
34.78,7,0.778,Although; Colors; Faith; Form; Have; Leading; People,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0086.json,LongShanTask_1903_TaskName,Đạt 4.400 điểm trong Faith Leading the People của Although Colors Have Không Form,"Obtain 4,400 points in Faith Leading the People of Although Colors Have No Form"
34.78,7,0.778,A; Easy; My; Name; O; Sun; Witness,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0098.json,RhythmLock_13_Desc,"Đạt Đánh giá cao hơn A ở độ khó Easy hoặc Thường trong ""O Sun, Witness My Name"" để mở khóa","Earn a Rating higher than A on Easy or Normal in ""O Sun, Witness My Name"" to unlock"
34.14,5,0.714,Attack; Basic; Cooldown; Namipon; Skill,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0068.json,ResonantChain_30171_Attributes,"Hiệu ứng Đặc biệt: Mỗi <color=Highlight>{0}</color> lần Basic Attack gây DMG, Cooldown của Namipon Hỗ Trợ Skill sẽ giảm <color=Highlight>{1}</color> giây (nhiều lần gây sát thương trong vòng <color=Highlight>{2}</color> giây chỉ được tính là <color=Highlight>{3}</color> lần gây sát thương).","Unique Effect: Every <color=Highlight>{0}</color> times Basic Attack deals DMG, Namipon Support Skill Cooldown is reduced by <color=Highlight>{1}</color>s (multiple instances of damage dealt within <color=Highlight>{2}s</color> are counted as <color=Highlight>{3}</color> hit only)."
34.0,8,1.0,Club; Essential; Excerpt; Fan; Freshman; Picks; Startorch's; Top,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0014.json,Speaker_700579_Name,Freshman Essential: Startorch's Top Fan Club Picks (Excerpt),Freshman Essential: Startorch's Top Fan Club Picks (Excerpt)
34.0,8,0.8,Clouds; Elegy; from; Mirage; Stress; Surge; Volatile,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0070.json,ConditionGroup_12900810_HintText,Hoàn thành Elegy from the Clouds với Stress Mô-đun Volatile Mirage và Surge Mirage trang bị,Clear Elegy from the Clouds with Stress Module Volatile Mirage and Surge Mirage equipped
34.0,8,1.0,Aemeath; Herssen; Luuk; Respawning; Torrents; Wastes; Waters; Whimpering,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0074.json,LongShanTask_33011_TaskName,Sử dụng Aemeath hoặc Luuk Herssen để vượt ải Respawning Waters: Torrents tại Whimpering Wastes,Use Aemeath or Luuk Herssen to clear Respawning Waters: Torrents in Whimpering Wastes
34.0,7,1.0,and; Classics; I; Occidental; Oriental; Part; Springs,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_item\lang_item__name_title__part_0001.json,967,Oriental Springs and Occidental Classics: Part I,Oriental Springs and Occidental Classics: Part I
34.0,7,1.0,environment; Express; new; preparation; sampling; site; Squeaky,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_item\lang_item__name_title__part_0001.json,998,Squeaky Express new site preparation environment sampling,Squeaky Express new site preparation environment sampling
34.0,7,1.0,environment; Express; new; preparation; sampling; site; Squeaky,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_item\lang_item__name_title__part_0001.json,1002,Squeaky Express new site preparation environment sampling,Squeaky Express new site preparation environment sampling
34.0,7,1.0,environment; Express; new; preparation; sampling; site; Squeaky,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_item\lang_item__name_title__part_0001.json,1006,Squeaky Express new site preparation environment sampling,Squeaky Express new site preparation environment sampling
34.0,7,1.0,City; Empty; old; Pioneer; Podcast; Waves; Wuthering,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0098.json,MusicJet_10033_Desc,Wuthering Waves Pioneer Podcast / Empty old City,Wuthering Waves Pioneer Podcast / Empty old City
34.0,6,1.0,Buff; Defense; of; Primary; Right; Self,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0042.json,Activity_1112_Title,Right of Self-Defense: Primary Buff,Right of Self-Defense: Primary Buff
34.0,6,1.0,Buff; Defense; Enhanced; of; Right; Self,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0042.json,Activity_1113_Title,Right of Self-Defense: Enhanced Buff,Right of Self-Defense: Enhanced Buff
34.0,6,1.0,Buff; Defense; of; Right; Self; Ultimate,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0042.json,Activity_1114_Title,Right of Self-Defense: Ultimate Buff,Right of Self-Defense: Ultimate Buff
34.0,6,1.0,Buff; Default; Defense; of; Right; Self,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0042.json,Activity_1122_Title,Right of Self-Defense: Default Buff,Right of Self-Defense: Default Buff
34.0,6,1.0,Debts; for; John; Men; Old; Wicktorio,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0051.json,Entity_27aea8c2bf3f76af17ccfd464cada693ef4d0f66c66e65dceddbf5945b2754c8,Hoàn thành John Wicktorio: Không Debts for Old Men để mở khóa,Complete John Wicktorio: No Debts for Old Men to unlock
34.0,6,1.0,Debts; for; John; Men; Old; Wicktorio,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0062.json,HelpText_174_Title,John Wicktorio: Không Debts for Old Men,John Wicktorio: No Debts for Old Men
34.0,6,1.0,Crisis; Effect; Level; Snowball; Stress; Trial,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0070.json,ConditionGroup_12900907_HintText,Hoàn thành Crisis Trial - Snowball Effect ở Stress Level 6,Clear Crisis Trial - Snowball Effect at Stress Level 6
34.0,6,1.0,Celestial; Realms; Returns; to; Where; Wind,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0086.json,MapTravelTaskName_27,"Hoàn thành Nhiệm Vụ Thám Hiểm ""Where Wind Returns to Celestial Realms""","Complete Exploration Quest ""Where Wind Returns to Celestial Realms"""
34.0,6,1.0,End; Penitent's; Roam; Ruins; Shadows; Where,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0107.json,Condition_12400008_Description_1,Hoàn thành tất cả thử thách Ruins Where Shadows Roam tại Penitent's End để mở khóa,Complete all Ruins Where Shadows Roam challenges in Penitent's End to unlock
34.0,5,1.0,Challenge; Complete; Limit; Time; Within,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0022.json,LevelPlay_451000010_ChallengeConditionSubText_0_2,Complete Challenge Within Time Limit,Complete Challenge Within Time Limit
34.0,5,1.0,Challenge; Complete; Gulpuff; Limited; Time,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0025.json,LevelPlay_136000081_QuestScheduleMainTitle_0_2,Complete Gulpuff Limited Time Challenge,Complete Gulpuff Limited Time Challenge
34.0,5,1.0,Challenge; Complete; Gulpuff; Limited; Time,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0025.json,LevelPlay_146000039_QuestScheduleMainTitle_0_2,Complete Gulpuff Limited Time Challenge,Complete Gulpuff Limited Time Challenge
34.0,5,1.0,Challenge; Complete; Gulpuff; Limited; Time,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0025.json,LevelPlay_146000041_QuestScheduleMainTitle_0_2,Complete Gulpuff Limited Time Challenge,Complete Gulpuff Limited Time Challenge
34.0,5,1.0,Challenge; Complete; Gulpuff; Limited; Time,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0025.json,LevelPlay_111000048_QuestScheduleMainTitle_0_2,Complete Gulpuff Limited Time Challenge,Complete Gulpuff Limited Time Challenge
34.0,5,1.0,is; level; maxed; Resonator's; This,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0038.json,ErrorCode_1100394_Text,This Resonator's level is maxed,This Resonator's level is maxed
34.0,5,1.0,dismount; only; press; Short; to,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0039.json,KeySetting_352_DetailTextId,Short press to dismount only,Short press to dismount only
34.0,5,1.0,Choose; one; picture; to; view,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0039.json,HotKeyText_SelectPicTips_Name,Choose one picture to view,Choose one picture to view
34.0,5,1.0,deciphered; message; not; Previous; yet,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0044.json,Activity_ArtemisChatLockedTips_1,Previous message not deciphered yet,Previous message not deciphered yet
34.0,5,1.0,and; blood; our; tears; was,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0045.json,Character_Cantarella_122_11,was our blood and tears,was our blood and tears
